coin_name,coin_symbol,first_date_price
ProsperCoin,PRC,2014-02-20
Kittehcoin,MEOW,2014-01-24
Particle,PRT,2014-01-22
Chancecoin,CHA,2014-05-20
ChainCoin,CHC,2015-07-16
Murraycoin,MRY,2014-03-03
Unrealcoin,URC,2015-03-31
MMNXT,MMNXT,2014-10-22
Uro,URO,2014-06-12
Marscoin,MRS,2014-02-24
020LondonCoin,020,2015-09-15
Qibuck,QBK,2014-08-17
Joulecoin,XJO,2013-12-06
microCoin,MRC,2014-03-03
MonetaryUnit,MUE,2014-11-01
Viacoin,VIA,2014-07-18
Doubloons,DBL,2013-07-04
MMBTCD,MMBTCD,2015-07-07
SaffronCoin,SFR,2014-06-15
8Bit,8BIT,2015-04-18
Applecoin,APC,2014-02-09
Nexus,NIRO,2015-01-25
Paycoin,PYC,2014-12-06
Grexit,GREXIT,2015-07-23
Stellar,XLM,2014-08-05
Argentum,ARG,2013-07-04
KoreCoin,KORE,2014-06-21
FreedomCoin,FRDC,2015-09-21
Libertycoin,XLB,2014-05-12
CAIx,CAIx,2014-04-15
Infinitecoin,IFC,2013-07-10
Silkcoin,SILK,2014-05-11
Sling,SLING,2015-04-21
PLNcoin,PLNC,2014-04-15
ParkByte,PKB,2015-05-18
PseudoCash,PSEUD,2014-07-21
Coinaid,CAID,2015-09-15
Gulden,NLG,2014-04-08
TenneT,TENNET,2015-08-10
GuccioneCoin,GCC,2015-08-20
Resumeo Shares,RMS,2015-10-08
DogeCoinDark,DOGED,2014-10-25
WorldPay,WOP,2015-10-12
CasinoCoin,CSC,2013-07-24
Diggits,DIGS,2015-07-16
SHACoin,SHA,2014-06-25
Global Currency Reserve,GCR,2015-08-26
Shift,SHF,2015-09-05
RotoCoin,RT2,2014-03-29
Moneta,MONETA,2015-10-24
vTorrent,VTR,2014-12-24
CageCoin,CAGE,2014-04-15
BitQuark,BTQ,2014-07-29
BitShares,BTS,2014-07-20
Cerium,XCE,2015-06-10
ClearingHouse,XCH,2014-10-04
SSVCoin,SSV,2014-09-07
Cryptonite,XCN,2014-08-02
BitcoinTX,BTX,2015-04-26
Mooncoin,MOON,2014-01-06
Bytecoin,BTE,2013-05-10
Bitgem,BTG,2013-07-04
MGW,MGW,2014-08-22
Bitcoin,BTC,2013-04-28
BitBar,BTB,2013-05-09
Bitmark,BTM,2014-08-19
Sonic,SSD,2014-08-12
Jumbucks,JBS,2014-09-07
CoinoIndex,INDEX,2015-06-18
Isracoin,ISR,2014-04-08
Jay,JAY,2015-04-17
XCash,XCASH,2014-09-11
23 Skidoo,CHAO,2015-07-25
Sphere,SPHR,2015-05-02
UtilityCoin,UTIL,2014-09-30
Octo,OCTO,2015-03-22
CureCoin,CURE,2014-05-26
IslaCoin,ISL,2015-09-28
DigiByte,DGB,2014-02-06
Digitalcoin,DGC,2013-06-09
ECCoin,ECC,2014-03-20
EmerCoin,EMC,2014-08-23
EBOLAShares,EBS,2015-07-21
Spots,SPT,2013-07-25
BitBean,BITB,2015-02-18
AsicCoin,ASC,2013-12-31
Bitz,BITZ,2015-03-08
Kumacoin,KUMA,2014-08-02
Quatloo,QTL,2014-07-12
Bitstar,BITS,2014-04-23
Junkcoin,JKC,2013-06-14
Virtacoin,VTA,2014-08-09
Vertcoin,VTC,2014-01-20
ParallelCoin,DUO,2015-10-24
Franko,FRK,2013-06-09
XCurrency,XC,2014-05-23
Dubstep,DUB,2015-06-30
BlockShares,BKS,2015-09-09
Eurocoin,EUC,2015-08-23
UnbreakableCoin,UNB,2014-05-23
UNCoin,UNC,2015-03-22
Carboncoin,CARB,2014-08-02
CleverCoin,CLV,2015-05-13
Boolberry,BBR,2014-06-24
Yacoin,YAC,2013-06-09
Unobtanium,UNO,2013-12-21
Omnicoin,OMC,2014-05-11
SecretCoin,SCRT,2015-11-16
Zedcoin,ZED,2014-03-06
Heavycoin,HVC,2014-03-12
Crave,CRAVE,2015-03-26
Zetacoin,ZET,2013-09-10
Influxcoin,INFX,2015-09-15
MazeCoin,MAZE,2015-10-19
bitCNY,BITCNY,2014-09-23
Freicoin,FRC,2013-05-02
bitGBP,BITGBP,1969-12-31
Selfiecoin,SLFI,2015-03-22
AmsterdamCoin,AMS,2015-08-20
Agoras Tokens,AGRS,2015-08-23
WildBeastBitcoin,WBB,2015-02-28
DuckDuckCoin,DUCK,2014-02-22
DarkToken,DT,2014-09-17
DigitalPrice,DP,2014-10-04
CryptoEscudo,CESC,2014-04-03
Cypher,CYP,2015-04-11
Cryptokenz,CYT,2015-09-21
PotCoin,POT,2014-02-09
FreeMarket,MRKT,2014-09-23
PopularCoin,POP,2014-04-23
Conspiracycoin,CYC,2014-07-05
Tigercoin,TGC,2013-12-21
RonPaulCoin,RPC,2014-01-06
FedoraCoin,TIPS,2013-12-31
Node,NODE,2014-09-13
bitGold,BITGOLD,2015-01-04
Rubycoin,RBY,2014-03-20
bitBTC,BITBTC,2014-09-23
DopeCoin,DOPE,2014-02-22
Rimbit,RBT,2014-10-26
RibbitRewards,RBR,2015-01-23
SolarCoin,SLR,2014-03-29
Sterlingcoin,SLG,2014-09-23
MonetaVerde,MCN,2014-08-25
NeoDICE,DICE,2014-11-08
Noirbits,NRB,2013-07-04
LegendaryCoin,LGD,2014-04-27
Quarkbar,QB,2014-05-26
MangoCoinz,MCZ,2015-03-22
BDSM,BDSM,2014-10-20
NoirShares,NRS,2014-04-20
GoldReserve,XGR,2014-06-28
Money,$$$,2015-11-12
Axron,AXR,2014-08-27
Execoin,EXE,2014-03-10
Extremecoin,EXC,2014-01-16
Checkcoin,CKC,2014-09-19
MUSE,MUSE,2015-05-06
Swarm,SWARM,2014-09-16
Paccoin,PAC,2015-11-02
Woodshares,WS,2015-07-02
Expanse,EXP,2015-09-15
LIQUID,LQD,2015-02-06
Pakcoin,PAK,2015-09-15
GlobalBoost-Y,BSTY,2014-10-03
iBits,IBITS,2015-07-27
CryptoBuck,BUK,2014-10-04
Vanillacoin,VNL,2015-03-05
Ringo,RIN,2014-08-02
LTBcoin,LTBC,2014-08-20
Copperlark,CLR,2013-11-03
bitUSD,BITUSD,2014-09-23
DeltaCredits,DCR,2015-08-29
Riecoin,RIC,2014-02-27
Halcyon,HAL,2014-08-19
HamRadioCoin,HAM,2014-10-26
SongCoin,SONG,2015-03-22
BoostCoin,BOST,2014-05-30
Botcoin,BOT,2015-09-08
KhanCoin,KNC,2015-09-28
Dash,DASH,2014-02-14
TRMB,TRMB,2015-05-25
BnB Coin,BNB,2015-06-08
HempCoin,THC,2014-06-28
Cetuscoin,CETI,2015-01-31
Photon,PHO,2014-05-23
Burst,BURST,2014-08-30
Zeitcoin,ZEIT,2014-03-20
GeoCoin,GEO,2015-02-21
SysCoin,SYS,2014-08-20
Hirocoin,HIRO,2014-03-26
Cannacoin,CCN,2014-04-25
Librexcoin,LXC,2014-08-05
MazaCoin,MZC,2014-02-27
Philosopher Stones,PHS,2013-12-17
Navajo,NAV,2014-06-12
BitSeeds,XSEED,2015-04-21
Emerald Crypto,EMD,2013-08-04
Diamond,DMD,2013-12-19
CrownCoin,CRW,2014-11-08
CRTCoin,CRT,2014-05-11
BellaCoin,BELA,2014-03-20
Sync,SYNC,2014-05-20
Droidz,DRZ,2015-04-27
CraftCoin,CRC,2013-07-07
Skeincoin,SKC,2014-03-15
SkullBuzz,SKB,2015-10-14
FlappyCoin,FLAP,2014-02-22
Prototanium,PR,2015-10-12
Acoin,ACOIN,2014-09-13
DigitalNote,XDN,2014-06-24
TacoCoin,TCO,2014-07-21
BunnyCoin,BUN,2014-09-11
Dirac,XDQ,2014-05-26
Dogeparty,XDP,2014-08-28
Bubble,BUB,2015-05-06
BitSwift,SWIFT,2014-10-05
Fibre,FIBRE,2014-08-30
LimeCoinX,LIMX,2014-06-08
KeyCoin,KEY,2014-07-18
TAGRcoin,TAGR,2015-07-16
UniCoin,UNIC,2015-06-14
Ratecoin,XRA,2015-06-26
VegasCoin,VGC,2014-05-06
Cryptofund,FUND,2015-09-21
ShellPay,SHELL,2015-06-18
Electronic Gulden,EFL,2014-03-26
Ripple,XRP,2013-08-04
Universal Currency,UNIT,2015-05-06
Umbrella-LTC,ULTC,2014-08-31
MaryJane,MARYJ,2014-10-04
Anoncoin,ANC,2013-07-14
CryptBit,CBIT,2015-10-01
EmpoCredits,XEMP,2015-09-14
Storjcoin X,SJCX,2014-08-20
Novacoin,NVC,2013-04-28
FreshCoin,FRSH,2014-08-22
jl777hodl,JLH,2014-07-23
Helleniccoin,HNC,2015-07-21
Myriadcoin,MYR,2014-03-08
Dashcoin,DSH,2014-10-07
Coven,COV,2015-04-21
ChipCoin,CHIP,2015-08-04
Devcoin,DVC,2013-04-28
BattleCoin,BCX,2014-01-30
iCash,ICASH,2015-03-27
FistBump,FIST,2015-06-08
Ethereum,ETH,2015-08-07
Colossuscoin,COL,2013-11-30
Bitcredits,BCR,2015-03-29
PayCon,CON,2015-02-15
BitCent,BCENT,2015-02-06
Gridmaster,GRM,2015-06-26
Cashcoin,CASH,2014-02-27
KlondikeCoin,KDC,2014-02-02
VeriCoin,VRC,2014-05-16
The Cypherfunks,FUNK,2015-06-18
Qora,QORA,2014-05-26
Coin2.1,C2,2014-06-08
ZimStake,ZS,2014-05-02
Save and Gain,SANDG,2015-10-12
FairCoin,FAIR,2014-03-22
Dimecoin,DIME,2014-01-06
CyberCoin,CC,2015-04-03
CryptoByte,CB,2015-10-24
Magi,XMG,2014-09-23
Heisenberg,HEX,2014-03-15
Californium,CF,2015-04-21
CommunityCoin,COMM,2014-04-15
CryptoSpots,CS,2015-08-04
IvugeoCoin,IEC,2015-04-29
LiteDoge,LDOGE,2015-03-19
PLAY,PLS,2015-10-12
Synergy,SNRG,2015-06-08
UFO Coin,UFO,2014-02-27
CannabisCoin,CANN,2014-08-02
Canada eCoin,CDN,2014-05-11
Nimbus,NMB,2014-09-04
Namecoin,NMC,2013-04-28
Saturn2Coin,SAT2,2014-07-05
Woodcoin,LOG,2015-03-22
Moneta,MNTA,2014-08-30
RubleBit,RUBIT,2015-11-23
Digit,DIG,2014-06-28
Animecoin,ANI,2014-02-28
HyperStake,HYP,2014-08-09
bitSilver,BITSILVER,2015-02-25
LottoCoin,LOT,2013-12-27
Trinity,TTY,2015-01-18
Axiom,AXIOM,2015-07-29
AIB,AIB,2015-04-30
Peercoin,PPC,2013-04-28
XxXcoin,XXX,2014-07-03
Solcoin,SOL,2014-09-07
Gapcoin,GAP,2014-11-01
Dibbits,DIBS,2015-06-24
Digital Credits,DGCS,2015-11-16
Gambit,GAM,2015-05-22
NuShares,NSR,2014-10-25
Genstake,G3N,2015-06-10
UltraCoin,UTC,2014-02-09
GoodCoin,GOOD,2014-06-08
MasterTraderCoin,MTR,2015-03-02
GCoin,GCN,2014-11-16
