symbol,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,normalized_total_volume,normalized_total_volume_before_max,normalized_total_volume_orig,normalized_total_volume_orig_before_max,total_volume,total_volume_before_max,total_volume_orig,total_volume_orig_before_max,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade,earliest_trade_date,earliest_mention_date,network_date,num_vertices,num_edges,unweighted_density,weighted_density,unweighted_average_path_length,clustering_coefficient,average_degree,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_unweighted,user1_satoshi_pagerank_weighted,user1_pagerank_unweighted,user1_pagerank_weighted,nontrivial
MONA,MonaCoin,0.738176,0.0226116,32.6458985653,32.6458985653,9.49801206912,7.80291743051,8.7757628486,7.05505809238,6.91784534577,6012.45567325,2030.17854074,57463.5643162,19485.0326214,3956195.833,274074.103,37811025.3201,2630479.40389,8,False,False,False,False,False,False,True,2014-03-20,2014-03-20,2013-12-30,2014-03-20,45813,492449,0.0002346301,0.000267864,35677.41,0.05656163,21.49822,2chpool,1,2,1,80,2,2,0,0.0,0.001820683,0.001823135,0.0001889839,2.182787e-05,0.0001890172,2.182787e-05,0.0,6.0,2.289986e-06,2.092054e-06,9.015581e-06,8.8713e-06,0.0
SPR,SpreadCoin,0.156104,0.001303,119.803530315,31.9037964749,4.33749937482,5.7217528926,9.44723453114,4.85152770228,5.64705782312,863.747903362,848.528334691,26844.2633177,9148.95671616,377457.833769,76367.5501222,11730943.0698,823406.104454,1,False,False,False,False,False,False,True,2014-10-26,2014-10-26,2014-11-10,2014-10-26,67420,762128,0.0001676681,0.0001876746,53611.21,0.04770178,22.60837,Riseman,1,25,0,312,16,0,16,0.05833333,0.001251211,0.001252917,1.483239e-05,1.951389e-05,1.483239e-05,1.951396e-05,0.0,inf,9.114793e-07,8.349836e-07,3.519071e-06,3.466993e-06,1.0
BLITZ,Blitz,0.0494071,0.0024371,20.2729063231,9.70355385779,5.73977908511,3.62689731306,4.44123868576,3.51229033499,3.17069993154,650.266973462,744.742595604,46226.6841416,67628.4173763,270511.06096,67771.5762,19230300.6029,6154185.98124,1,False,False,False,False,False,False,True,2014-11-16,2014-11-16,2014-04-26,2014-11-16,68374,775871,0.0001659616,0.0001856533,54344.21,0.04742251,22.69491,slavo,1,503,23,449,327,211,116,0.04309852,0.001233494,0.001234885,9.926578e-05,1.925986e-05,9.927268e-05,1.925994e-05,1219250.0,4.0,7.758638e-05,7.050048e-05,0.0002346107,0.0002287638,0.0
TAG,TagCoin,3.11315,0.00744679,418.052610588,418.052610588,88.7680849486,15.6135842207,17.0051114202,25.5188738471,25.5188738471,3096.21676536,0.0,25380.0700379,0.0,2455299.89493,0.0,20126395.5401,0.0,4,False,False,False,False,True,True,False,2013-11-05,2013-11-05,2013-10-24,2013-11-05,17389,222671,0.0007364011,0.0008677572,12127.36,0.09165307,25.61056,tagbond,1,106,6,37,204,200,4,0.04822423,0.008867352,0.008960709,0.0007077941,8.573519e-05,0.0007083011,8.573761e-05,99143.05,3.0,0.0002273051,0.000240923,0.0006539791,0.0007174188,0.0
DRKC,DarkCash,0.0116933,0.000300579,38.9025846782,38.9025846782,13.6063057727,3.64612734382,12.4077992629,2.19729796238,9.24132287347,130.471418867,266.130678073,24516.995444,46264.8893919,68627.9663239,67064.9308743,12895939.6035,11658752.1268,1,False,False,False,False,False,True,False,2014-07-29,2014-07-29,2014-07-25,2014-07-29,61380,677131,0.0001797293,0.0002019624,48867.5,0.04919947,22.06357,zlibz,1,47,2,7,191,186,5,0.01465969,0.001436836,0.001439005,0.0001118805,2.139641e-05,0.0001118884,2.13965e-05,177452.7,4.0,5.857919e-05,5.197622e-05,0.0001820558,0.0001739931,0.0
XMR,Monero,5.03898,0.226724,22.2251724564,22.2251724564,9.80355840037,5.75791049602,6.53447965502,5.44464914121,5.90206925655,66784.0256544,175479.091875,72160.5539069,68232.2936609,39803279.29,5615330.94,43007690.1285,2183433.39715,6,False,False,True,False,False,True,True,2014-05-20,2014-05-20,2014-04-25,2014-05-20,54613,583490,0.0001956327,0.0002212005,43289.06,0.05215436,21.36817,monero,1,8,3,27,217,216,1,0.0211025,0.001585045,0.001587681,0.0001336909,2.40999e-05,0.0001337071,2.41e-05,197571.0,3.0,0.0001642502,0.0001704738,0.0004624902,0.0005123386,0.0
SPA,SpainCoin,2.62425,0.000150483,17438.8469129,17438.8469129,14820.9959167,220.293129341,231.117320245,190.039383267,190.153475098,2388.98818029,256704.8125,173002.511352,99014.8025302,1579121.18717,513409.625,114354660.004,198029.60506,0,False,False,False,False,False,False,False,2014-03-15,2014-03-15,2014-03-04,2014-03-15,44979,484025,0.0002392479,0.0002735176,35001.64,0.05698746,21.52227,SpainCoinDev,1,54,1,11,238,235,3,0.004822182,0.001831626,0.001833973,0.0001955765,2.965263e-05,0.0001955998,2.96528e-05,316408.2,3.0,0.0001100619,9.493704e-05,0.0003550636,0.0003317389,0.0
SPC,SpikesPrivateCoin,0.112539,0.00166703,67.5086831071,67.5086831071,50.3214988374,3.27881353923,9.37381088289,2.28925621294,13.2299452545,75.0430452269,312.106115667,1526.5175408,4995.60592069,11706.7150554,11235.820164,238136.736365,179841.813145,1,False,False,False,False,False,False,False,2015-08-04,2015-08-04,2013-05-15,2015-08-04,76121,907915,0.0001566882,0.0001751966,60075.01,0.04827817,23.85452,Supercoin,1,8,1,811,61,61,0,0.09781421,0.001069444,0.001070322,8.274004e-05,1.313698e-05,8.274464e-05,1.313698e-05,0.0,4.0,2.585122e-05,2.189937e-05,5.585266e-05,5.015672e-05,0.0
HEEL,HeelCoin,0.000274194,4.21267e-06,65.087937104,65.087937104,12.7465692291,2.46675059434,3.64999373981,4.5819702247,4.74650085464,10.1809875375,6.4629916,170131.300302,49338.8061943,733.0311027,135.7228236,12249453.6217,1036114.93008,1,False,False,False,False,False,False,False,2015-10-27,2015-10-27,2015-07-10,2015-10-27,78251,944852,0.0001543064,0.0001728468,61621.67,0.04928621,24.14926,heelcoin,1,31,2,109,62,61,1,0.02677596,0.001048106,0.001048932,8.048764e-05,1.277988e-05,8.049226e-05,1.277988e-05,57.83333,4.0,1.401903e-05,1.267217e-05,4.340381e-05,4.229763e-05,0.0
TAK,TakCoin,0.00486027,1.77367e-06,2740.23352709,2740.23352709,1125.42461579,64.1611471041,120.46712933,68.8982248216,76.1357265691,1344.94563526,31298.7766667,19065682.9252,7690482.96863,911873.140705,281688.99,12926533023.3,69214346.7177,0,False,False,False,False,False,False,False,2014-02-27,2014-02-27,2014-02-07,2014-02-27,41800,454238,0.0002599746,0.0002986925,32371.5,0.0586527,21.73388,TakeiCoin,1,165,13,20,144,137,7,0.01358506,0.002114374,0.002117683,0.000226858,3.198808e-05,0.0002268879,3.198831e-05,170354.8,3.0,8.501964e-05,7.324112e-05,0.0002532832,0.0002283915,0.0
