symbol,slug,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,normalized_total_volume,normalized_total_volume_before_max,normalized_total_volume_orig,normalized_total_volume_orig_before_max,total_volume,total_volume_before_max,total_volume_orig,total_volume_orig_before_max,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade
CPC,capricoin,Capricoin,0.000801841,0.000156056,5.138161941867022,5.138161941867022,2.968736925896444,2.5565999421341994,4.789152331711284,3.348458422032063,2.8115170875150355,3.7744875331590633,5.760532353488205,15762.120631473685,25759.82023836091,634.1139055707226,437.8004588651036,2648036.266087579,1957746.338115429,3,False,False,False,False,False,False,True,2015-07-23
XBS,bitstake,BitStake,0.00118852,1.01e-06,1176.7524752475247,1176.7524752475247,914.2461538461538,7.84402661052197,13.25934323172701,5.20127962415368,5.490367572715149,8.681379653643113,19.586006299191155,37992.02630333209,79184.14822390593,3107.9339160042346,1880.2566047223509,13601145.416592889,7601678.229494968,0,False,False,False,False,False,False,False,2015-01-13
NXTprivacy,nxtprivacy,NXTprivacy,0.0031912,0.00010749,29.688343101683877,29.688343101683877,26.71086112227133,3.141240500395267,3.2034707054434417,4.596236057100047,4.599667650649146,0.19025153803575606,0.04427922148648896,274.0163509146036,15.000029280633179,85.99369519216174,0.13283766445946688,123855.39061340083,45.000087841899536,1,False,False,False,False,False,False,False,2014-10-04
SIB,sibcoin,SIBCoin,3.50259e-05,7.51086e-06,4.663367443941173,4.663367443941173,4.031071541193558,2.027166223214348,3.2923140785117844,2.115559271981774,2.325217379941132,0.4184312685884041,0.4120410802638538,25273.187839550006,18658.97646950628,43.09842066460563,14.009396728971028,2603138.3474736507,634405.1999632135,2,False,False,False,False,False,False,False,2015-09-25
YUM,candycoin,CandyCoin,4.9065e-06,2.19934e-07,22.3089654168978,22.3089654168978,2.7281522627566765,2.3620087168259585,2.5579028452608115,2.1929614070447667,2.2345447537331338,0.02094569085996971,0.03575945026995379,9361.681789422986,7479.192819663833,2.4297001397564864,0.14303780107981515,1085955.0875730664,29916.77127865533,0,False,False,False,False,False,False,False,2014-11-16
SKYNET,skynet-asset,SkyNET,0.00284011,0.000435846,6.5163153958049405,6.5163153958049405,5.3793629868703166,2.124775156338584,5.242447560949868,2.132620132036231,2.5453504887266765,0.5518763207679113,0.8870988515554853,414.4003408543093,637.0695059709348,214.6798887787175,175.64557260798608,161201.73259232633,126139.76218224509,1,False,False,False,False,False,False,False,2014-12-13
NYC,newyorkcoin,NewYorkCoin,1.00351e-08,7.0638e-12,1420.6376171465784,1420.6376171465784,41.44235296061054,7.06746587202657,9.034656908825609,18.299526207289745,19.212222492106395,0.07588311481646673,0.12231412658243962,138376802.25156796,12224992.712931285,46.36458315286117,2.3239684050663527,84548226175.70802,232274861.5456944,2,False,False,False,False,False,False,False,2014-05-06
GAIA,gaia,GAIA,9.0966e-06,9.5e-07,9.575368421052632,9.575368421052632,9.0966,2.8339990370318664,3.6808022529993276,1.6437956741537663,2.640457731515746,3.16752901395873,21.569682988352174,572386.4400877147,3225515.6922850637,1415.8854692395523,1121.623515394313,255856738.71920845,167726815.99882331,1,False,False,False,False,False,False,True,2014-10-11
AGS,aegis,Aegis,1.98172e-05,4.4e-07,45.03909090909091,45.03909090909091,31.455873015873017,13.260131932739023,13.39129485070822,5.605732327941642,5.2079564384305606,0.04878886111188832,1.6782811750552784,13801.00599370078,149011.6509284719,24.296852833720383,15.104530575497506,6872900.984862989,1341104.8583562472,0,False,False,False,False,False,False,False,2014-08-25
XBC,bitcoin-plus,Bitcoin Plus,0.0253059,0.0001795,140.97994428969358,140.97994428969358,91.97128838815192,16.749813149829496,16.749813149829496,4.464330027212482,4.464330027212482,5.005126624134252,430.36170218946495,882.9773720011216,17006.378045810066,3068.142620594296,430.36170218946495,541265.1290366875,17006.378045810066,1,False,False,True,False,False,False,False,2014-05-03
DRKT,darktron,DarkTron,7.139e-05,1.19037e-06,59.97294958710317,59.97294958710317,34.32211538461539,5.728972238855969,6.109675191454849,3.967673839167517,4.250223776510855,0.9433205208968082,5.804477693938783,52427.34490421825,136660.8922983651,177.34425792859994,34.8268661636327,9856340.84199303,819965.3537901905,1,False,False,False,False,False,False,False,2015-06-10
MONA,monacoin,MonaCoin,0.00124232,4.30149e-05,28.881155134616147,15.047061431185908,6.879724438882029,4.14619198390028,4.437712820776247,3.6588560644575336,3.5098649655718623,19.511053171719173,3.6086974098999343,57463.564316197175,19485.032621434482,12838.272986991215,487.17415033649115,37811025.32005774,2630479.403893655,8,False,False,False,False,False,False,True,2014-03-20
SPR,spreadcoin,SpreadCoin,0.000680543,4.01208e-06,169.62348706905146,45.399799866577716,8.138519492944273,6.626028385215795,10.381160595175821,6.084183687447164,7.072233993383637,3.0026502205575833,3.073258913149758,26844.26331771259,9214.024669936218,1312.158146383664,273.5200432703285,11730943.069840401,820048.1956243233,1,False,False,False,False,False,False,True,2014-10-26
BLITZ,blitz,Blitz,0.00019543,6.93805e-06,28.167856962691246,11.40198366394399,9.771499999999998,3.7598673380637293,4.56981522744628,3.520814070416923,3.0711287542922374,2.5659068332256507,2.828270078774727,46226.68414163536,67932.08702053352,1067.4172426218706,251.7160370109507,19230300.602920312,6045955.744827484,1,False,False,False,False,False,False,True,2014-11-16
