network_date,num_vertices,num_edges,unweighted_density,weighted_density,unweighted_average_path_length,clustering_coefficient,average_degree
2015-03-06,72075,833398,0.0001604291,0.0001793207,3.879294,0.04730347,23.12586
2015-04-23,73409,856463,0.0001589315,0.0001775986,3.878545,0.04751069,23.33401
2014-02-21,40725,444072,0.0002677511,0.0003082289,3.812902,0.05930542,21.80832
2013-07-14,14599,181836,0.0008531662,0.001009736,3.403885,0.09750495,24.91075
2013-06-14,13296,162992,0.0009219859,0.001092938,3.395966,0.1013948,24.51745
2014-12-14,69392,790828,0.0001642341,0.0001836237,3.885501,0.04710305,22.79306
2014-05-03,51816,554692,0.0002065971,0.0002343244,3.865499,0.05353146,21.41007
2013-11-21,18139,232161,0.0007056065,0.0008289565,3.441239,0.08954233,25.59799
2014-07-05,59345,646190,0.0001834814,0.0002065658,3.888512,0.05000232,21.7774
2014-11-13,68231,774023,0.000166261,0.0001860115,3.891139,0.0474891,22.68831
2013-12-21,23036,274644,0.0005175544,0.0006001214,3.566866,0.07884859,23.84476
2014-04-09,48542,522662,0.0002218123,0.0002523574,3.847468,0.0550161,21.53442
2014-06-28,58618,636853,0.0001853434,0.000208779,3.888044,0.05034615,21.72892
2013-11-27,18653,236751,0.0006804472,0.0007986186,3.449846,0.08847008,25.38476
2015-09-19,77388,930295,0.0001553365,0.0001738668,3.8678,0.04893418,24.04236
2014-08-19,63074,702871,0.0001766749,0.0001982137,3.895539,0.04879797,22.28719
2015-04-07,72978,848877,0.0001593899,0.0001781122,3.879956,0.04738277,23.26392
2014-04-28,51009,547122,0.0002102764,0.0002386813,3.859429,0.05383764,21.45198
2015-09-21,77439,930970,0.0001552445,0.000173769,3.867925,0.04894985,24.04396
2014-02-08,37526,419649,0.0002980037,0.0003445574,3.778356,0.06114599,22.36577
2014-07-07,59490,648511,0.0001832439,0.0002062698,3.889333,0.04993967,21.80235
2014-08-20,63146,704078,0.0001765749,0.0001980827,3.896014,0.0487741,22.3
2014-03-08,43651,472036,0.0002477346,0.0002837407,3.835144,0.05762431,21.62773
2014-01-31,34951,404067,0.0003307761,0.0003833579,3.759718,0.06292159,23.12191
2015-12-09,79323,961316,0.0001527805,0.0001712627,3.868415,0.04964876,24.23801
2015-12-04,79264,960700,0.00015291,0.0001714103,3.867526,0.04967153,24.24051
2015-04-03,72871,846992,0.0001595034,0.0001782372,3.880061,0.04735161,23.24634
2014-10-25,67382,761454,0.0001677088,0.0001877284,3.8925,0.04771958,22.60111
2015-07-09,75428,894684,0.000157255,0.0001757836,3.874398,0.0479449,23.72286
2015-05-21,74242,871664,0.0001581429,0.0001767457,3.876119,0.04756186,23.48169
2013-11-05,17389,222671,0.0007364011,0.0008677572,3.433006,0.09165307,25.61056
2015-06-10,74696,880507,0.0001578113,0.0001764005,3.875087,0.04775,23.57575
2015-10-27,78251,944852,0.0001543064,0.0001728468,3.867918,0.04928621,24.14926
2014-06-06,56608,607434,0.0001895586,0.0002139783,3.887762,0.05120286,21.46107
2015-01-13,70512,806652,0.0001622408,0.0001812975,3.88503,0.0470444,22.87985
2015-02-21,71671,826340,0.0001608688,0.0001797962,3.880154,0.04719911,23.05926
2014-07-08,59594,649887,0.0001829923,0.0002059557,3.889612,0.04989684,21.81048
2014-02-27,41800,454238,0.0002599746,0.0002986925,3.82515,0.0586527,21.73388
2015-06-26,75090,888736,0.000157619,0.0001761674,3.873514,0.04784016,23.67122
2014-02-09,37791,421570,0.0002951841,0.0003411656,3.781164,0.06100905,22.3106
2014-02-06,36885,415689,0.0003055406,0.0003535325,3.774675,0.06156361,22.53973
2015-01-28,70991,814187,0.0001615539,0.0001805387,3.88248,0.04709972,22.93775
2013-07-07,14291,177904,0.0008710849,0.001030495,3.402204,0.09824547,24.89735
2015-01-18,70748,809600,0.0001617492,0.0001807573,3.882919,0.04705115,22.88687
2015-11-30,79160,959217,0.0001530754,0.0001715827,3.867333,0.04965548,24.23489
2014-02-14,39003,431582,0.0002837052,0.000327315,3.797624,0.06035685,22.13071
2014-07-14,60131,657204,0.0001817621,0.0002044682,3.891386,0.04970576,21.85907
2015-07-16,75599,898031,0.00015713,0.0001756482,3.874895,0.04803657,23.75775
2015-05-08,73893,864687,0.0001583625,0.0001769652,3.877101,0.04747523,23.40376
2014-08-12,62532,694764,0.0001776776,0.0001994116,3.895967,0.04889086,22.22107
2015-01-04,70149,801285,0.0001628336,0.0001819964,3.885941,0.04702321,22.84523
2015-05-02,73712,861520,0.0001585583,0.0001771864,3.877536,0.04748685,23.3753
2015-04-27,73520,858600,0.0001588473,0.0001775042,3.877946,0.04750451,23.35691
2013-12-20,22695,272004,0.0005280985,0.0006127889,3.555536,0.07942618,23.97039
2014-02-24,41279,449199,0.0002636213,0.0003031607,3.815774,0.05896562,21.76404
2014-07-31,61559,679787,0.0001793865,0.0002015443,3.892073,0.04914907,22.08571
2014-02-12,38550,427852,0.0002879021,0.0003323848,3.794264,0.06058139,22.19725
2013-05-22,12099,142860,0.0009759143,0.001159764,3.388065,0.1040534,23.61517
2015-11-12,78628,951951,0.0001539785,0.0001725468,3.866907,0.0495643,24.21405
2015-09-14,77257,928271,0.0001555246,0.0001740605,3.868466,0.04889516,24.03073
2015-05-13,74008,866912,0.000158277,0.0001768798,3.876793,0.04749673,23.42752
2014-03-06,43172,467244,0.0002506914,0.000287318,3.837252,0.05789848,21.6457
2014-05-26,55342,591927,0.0001932673,0.0002183991,3.884302,0.0518064,21.3916
2015-03-02,71958,831222,0.000160531,0.0001794276,3.879337,0.04725092,23.10298
2015-03-20,72475,840273,0.000159972,0.0001787822,3.879454,0.04732993,23.18794
2014-11-16,68374,775871,0.0001659616,0.0001856533,3.89017,0.04742251,22.69491
2014-07-23,60889,669008,0.0001804486,0.0002028638,3.890224,0.04935154,21.97468
2015-03-31,72771,845448,0.0001596505,0.0001784071,3.88049,0.04734021,23.23585
2014-07-21,60694,666049,0.0001808068,0.0002033012,3.890986,0.04942543,21.94777
2014-07-29,61380,677131,0.0001797293,0.0002019624,3.890671,0.04919947,22.06357
2014-07-10,59760,652237,0.0001826351,0.0002055196,3.890752,0.0498306,21.82855
2014-06-25,58306,633045,0.0001862122,0.0002098307,3.888372,0.05045588,21.71457
2014-10-04,66282,746327,0.0001698783,0.0001902306,3.888229,0.04796365,22.51975
2014-08-22,63350,706391,0.0001760159,0.000197432,3.894778,0.04872231,22.30122
2015-09-08,77075,925738,0.0001558336,0.0001743743,3.869653,0.04887462,24.02175
2014-05-06,52246,558835,0.0002047281,0.000232101,3.867655,0.05338287,21.39245
2015-06-14,74796,882390,0.0001577262,0.0001763149,3.874863,0.04777924,23.59458
2015-12-15,79393,962040,0.0001526261,0.0001710812,3.868779,0.04963064,24.23488
2015-04-11,73085,850844,0.0001592918,0.0001780069,3.879613,0.04744875,23.28368
2014-10-03,66226,745443,0.0001699642,0.0001903255,3.888432,0.04796913,22.51209
2014-08-07,62123,688514,0.0001784054,0.0002003172,3.891072,0.04899541,22.16615
2014-08-30,64019,715350,0.0001745423,0.0001957196,3.894443,0.04857122,22.34805
2015-08-23,76643,918370,0.0001563409,0.0001748909,3.870641,0.04862987,23.96488
2015-04-18,73256,853926,0.0001591233,0.0001778165,3.878905,0.04749476,23.31348
2015-10-12,77939,939280,0.000154627,0.0001731299,3.868354,0.04915341,24.10295
2015-10-19,78096,941980,0.0001544486,0.0001729667,3.868189,0.04921203,24.12364
2014-03-03,42541,460811,0.0002546288,0.0002921665,3.831007,0.05823367,21.66432
2014-06-21,57916,627728,0.0001871433,0.0002109698,3.889155,0.05062087,21.67719
2014-08-09,62302,690906,0.0001779979,0.0001998309,3.895807,0.04895216,22.17926
2015-07-27,75895,903765,0.0001569023,0.0001754174,3.872602,0.04817042,23.81619
2014-09-23,65625,737483,0.0001712432,0.0001917909,3.889154,0.04811731,22.47567
2014-08-05,61940,685865,0.0001787707,0.0002007675,3.891695,0.04903998,22.14611
2015-05-29,74385,874249,0.0001580027,0.000176598,3.875617,0.04761039,23.50606
2014-03-17,45265,487231,0.0002377989,0.0002717076,3.843638,0.05681988,21.52794
2014-09-05,64462,720867,0.0001734793,0.0001944581,3.894607,0.04844268,22.36564
2014-10-26,67420,762128,0.0001676681,0.0001876746,3.892357,0.04770178,22.60837
2015-11-23,78946,956127,0.0001534106,0.0001719455,3.866984,0.04963387,24.2223
2015-01-12,70471,806031,0.0001623046,0.000181367,3.884821,0.04703257,22.87554
2014-10-06,66375,747572,0.0001696852,0.0001900165,3.888198,0.04795029,22.52571
2015-05-22,74269,872260,0.000158136,0.0001767459,3.875996,0.04758199,23.48921
2015-08-17,76473,914638,0.0001563986,0.0001749117,3.871666,0.04845776,23.92055
2015-05-07,73854,864203,0.0001584411,0.0001770499,3.877397,0.04746623,23.40301
2015-07-07,75359,893739,0.0001573767,0.0001759128,3.874231,0.04792079,23.7195
2014-08-28,63901,713265,0.000174677,0.0001958752,3.894696,0.04859828,22.32406
2015-12-05,79285,960879,0.0001528575,0.000171352,3.867596,0.04966397,24.23861
2014-09-19,65375,734199,0.000171787,0.0001924246,3.889988,0.04820519,22.46115
2015-06-30,75185,890757,0.0001575785,0.0001761214,3.873653,0.04787157,23.69507
2015-11-02,78372,947596,0.0001542771,0.0001728473,3.867137,0.04937812,24.182
2014-11-23,68650,779914,0.0001654877,0.0001850911,3.888736,0.04728023,22.72146
2014-04-15,49171,529349,0.0002189394,0.0002489935,3.847889,0.05469477,21.53094
2013-12-01,19235,241157,0.0006518017,0.0007639729,3.464586,0.08721367,25.07481
2013-04-28,9695,112052,0.001192131,0.001435116,3.317096,0.1129532,23.11542
2014-05-16,54149,577565,0.000196979,0.0002228484,3.876434,0.05243024,21.33243
2014-05-02,51678,553417,0.0002072245,0.000235053,3.864322,0.05358037,21.4179
2014-05-23,55031,588038,0.0001941738,0.0002194709,3.884655,0.05191981,21.37115
2015-03-29,72713,844395,0.0001597061,0.0001784724,3.880993,0.04734199,23.22542
2014-08-31,64085,716249,0.0001744019,0.0001955492,3.894399,0.04855671,22.35309
2014-07-03,59142,643555,0.0001839898,0.0002071763,3.887745,0.05008947,21.76304
2014-05-21,54803,585116,0.0001948199,0.000220252,3.882401,0.05205406,21.35343
2014-04-08,48440,521501,0.0002222526,0.0002528634,3.847753,0.05505611,21.53183
2015-04-14,73160,852077,0.0001591957,0.0001778981,3.879551,0.04748436,23.29352
2015-02-15,71492,823307,0.000161082,0.0001800183,3.880688,0.0471215,23.03214
2014-02-20,40469,442091,0.0002699397,0.0003108739,3.8111,0.05944174,21.84838
2015-09-25,77550,932793,0.0001551035,0.0001736221,3.867451,0.0489842,24.05656
2013-12-07,20043,247565,0.0006162597,0.0007208133,3.487332,0.08523568,24.70339
2014-06-15,57437,620110,0.0001879686,0.0002119676,3.887967,0.05078101,21.5927
2013-05-08,10649,122651,0.001081567,0.001295628,3.346774,0.1084412,23.03521
2014-09-01,64152,717074,0.0001742383,0.0001953516,3.89419,0.04854016,22.35547
2014-10-10,66568,750414,0.000169344,0.0001896436,3.888692,0.04792577,22.54579
2014-04-25,50577,543089,0.0002123073,0.0002410779,3.856928,0.0540249,21.47573
2014-12-06,69087,786833,0.0001648504,0.0001843292,3.885616,0.04712373,22.77803
2014-08-27,63814,712175,0.0001748859,0.0001961164,3.894077,0.04862519,22.32034
2015-04-17,73229,853503,0.0001591618,0.0001778591,3.878972,0.04749062,23.31052
2014-01-06,27128,323905,0.0004401311,0.0005085777,3.643693,0.07232479,23.87976
2015-08-30,76803,921635,0.0001562437,0.0001748145,3.870139,0.04876464,23.99997
2015-03-03,71992,831724,0.0001604762,0.0001793658,3.879425,0.04725993,23.10601
2014-05-15,53933,575937,0.0001980003,0.0002240399,3.875796,0.05251577,21.3575
2014-03-26,46834,501894,0.0002288176,0.0002608713,3.851709,0.05607844,21.43289
2015-06-08,74647,879612,0.0001578579,0.0001764509,3.875158,0.0477384,23.56724
2013-12-14,21274,259379,0.000573108,0.0006676701,3.519527,0.08218002,24.3846
2015-06-18,74889,884462,0.0001577041,0.0001762866,3.874293,0.04779723,23.62061
2015-03-22,72534,841146,0.0001598778,0.0001786713,3.879053,0.04732637,23.19315
2014-03-29,47297,507240,0.0002267495,0.0002583485,3.852896,0.05578389,21.44914
2014-02-22,40912,445716,0.0002662912,0.0003064578,3.812522,0.05921228,21.78901
2014-09-30,66061,743095,0.0001702762,0.0001906893,3.888507,0.04801983,22.49724
2013-06-09,13015,159197,0.000939824,0.00111518,3.390676,0.1023187,24.46362
2014-09-24,65688,738318,0.0001711084,0.0001916489,3.888402,0.04810591,22.47954
2014-02-10,38049,423453,0.0002924952,0.0003379712,3.791317,0.0608688,22.2583
2014-06-08,56794,610380,0.0001892323,0.0002135516,3.886763,0.05107831,21.49452
2014-12-13,69355,790351,0.0001643102,0.0001837092,3.886006,0.04710564,22.79146
2014-02-17,39740,436756,0.000276556,0.0003187836,3.804255,0.05985136,21.98067
2014-03-20,45813,492449,0.0002346301,0.000267864,3.846367,0.05656163,21.49822
2014-08-02,61706,682213,0.00017917,0.0002012712,3.891149,0.04911533,22.11172
2014-03-10,44068,475553,0.0002448794,0.0002803448,3.835562,0.05739759,21.58269
2014-05-20,54613,583490,0.0001956327,0.0002212005,3.878718,0.05215436,21.36817
2015-10-05,77795,936755,0.0001547828,0.0001732886,3.868502,0.04908652,24.08265
2015-10-23,78174,943478,0.0001543857,0.0001729155,3.868297,0.04924686,24.1379
2015-07-02,75245,891638,0.0001574829,0.0001760176,3.874262,0.04786778,23.69959
2014-10-05,66338,747040,0.0001697536,0.0001900943,3.888113,0.04795521,22.52223
2015-04-26,73500,858002,0.0001588231,0.0001774774,3.878206,0.04750311,23.34699
2014-07-16,60287,659909,0.0001815669,0.0002042143,3.890877,0.0496156,21.89225
2015-08-10,76283,910882,0.0001565332,0.0001750419,3.871977,0.04837161,23.88165
2015-04-29,73607,859678,0.000158671,0.000177303,3.877668,0.04749332,23.35859
2015-08-20,76566,916550,0.0001563451,0.0001748739,3.871351,0.04855632,23.94144
2015-09-28,77615,933898,0.0001550273,0.000173547,3.867362,0.04902977,24.06488
2014-05-31,55968,599079,0.0001912514,0.0002160077,3.886687,0.05152073,21.40791
2015-09-09,77097,926142,0.0001558126,0.0001743556,3.869421,0.0488776,24.02537
2015-04-21,73346,855414,0.0001590097,0.0001776858,3.878687,0.04750643,23.32544
2015-06-19,74915,885022,0.0001576945,0.0001762715,3.874182,0.04780992,23.62736
2013-05-03,10083,115810,0.001139112,0.001369352,3.335588,0.1113719,22.97134
2014-01-22,31181,376360,0.0003871002,0.0004491127,3.691527,0.0658478,24.14034
2015-06-24,75041,887584,0.0001576203,0.0001761763,3.87403,0.04782804,23.65597
2014-01-24,32207,383287,0.0003695077,0.0004287031,3.707968,0.0649919,23.80147
2013-07-11,14480,180245,0.0008596588,0.001017314,3.403466,0.09777551,24.89572
2014-03-22,46136,495657,0.0002328635,0.000265705,3.846788,0.05639258,21.48678
2014-09-06,64540,721925,0.0001733142,0.0001942582,3.895257,0.04842202,22.3714
2014-01-20,30259,368815,0.0004028092,0.0004676353,3.68106,0.06694664,24.37721
2014-09-13,65009,728609,0.0001724041,0.0001931755,3.893596,0.04831553,22.41563
2014-03-15,44979,484025,0.0002392479,0.0002735176,3.841588,0.05698746,21.52227
2014-04-18,49579,533346,0.0002169769,0.0002466522,3.850025,0.05449641,21.515
2014-04-20,49835,535948,0.0002158011,0.0002452392,3.852091,0.05436369,21.5089
2015-07-30,75977,905336,0.0001568359,0.0001753447,3.872342,0.04820394,23.83184
2013-09-10,16240,204792,0.0007764991,0.0009187614,3.428138,0.09512781,25.22069
2014-03-12,44446,479000,0.0002424768,0.0002774523,3.838079,0.05723565,21.55425
2014-05-13,53546,572588,0.0001997046,0.0002260554,3.87585,0.05265405,21.38677
2015-02-25,71784,828394,0.0001607613,0.0001796888,3.879367,0.04722283,23.08018
2014-10-22,67224,759236,0.0001680073,0.0001880742,3.892382,0.04776022,22.58824
2015-01-23,70845,811687,0.0001617224,0.0001807255,3.882585,0.04707228,22.91445
2013-08-25,15777,198775,0.0007985699,0.000945062,3.42114,0.09616217,25.19807
2014-06-17,57603,622900,0.0001877276,0.0002116847,3.886678,0.05072882,21.62735
2013-08-04,15268,191593,0.0008218931,0.0009724554,3.414382,0.09683966,25.09733
2013-05-10,10911,126140,0.001059556,0.001266266,3.353731,0.1069169,23.12162
2014-12-16,69453,791819,0.0001641511,0.0001835291,3.885391,0.0470946,22.80158
2014-12-25,69799,796448,0.0001634779,0.0001827551,3.886901,0.04707866,22.82119
2013-12-24,23885,283312,0.0004966089,0.000574562,3.588535,0.07731955,23.72301
2013-12-15,21466,261095,0.0005666257,0.0006597142,3.523388,0.08179233,24.32638
2014-02-28,41973,455827,0.0002587379,0.0002971747,3.821759,0.05855825,21.72001
2014-12-29,69936,798143,0.0001631846,0.0001824162,3.886882,0.04706025,22.82495
