symbol,name,children_amount,algorithm,technical,premine,pos
HBC,Hobbitcoin,0,Scrypt,0,0,0
CORG,Corgicoin,0,Scrypt,0,0,0
OLY,Olimpiccoin,0,Scrypt,0,1,0
SNP,Snapcoin,0,Scrypt,0,1,0
FLAP,Flappycoin,0,Scrypt,0,0,0
DUCK,DuckDuckcoin,0,Scrypt,0,0,0
CCC,CancerCureCoin,0,Scrypt,0,0,0
APP,Appcoin,0,Scrypt,0,1,0
GMC,Gamerscoin,0,Scrypt,0,1,0
ENC,Entropycoin,0,Scrypt,0,1,0
RON,Swansoncoin,0,Scrypt,0,1,0
PIC,Pizzacoin,14,Scrypt,0,1,0
BEER,Beercoin,0,Scrypt,0,1,0
PAS,Pastacoin,0,Scrypt,0,1,0
WWW,Internetcoin,0,Scrypt,0,1,0
FISH,Fishcoin,0,Scrypt,0,1,0
COLA,Colacoin,0,Scrypt,0,1,0
TEL,Phonecoin,0,Scrypt,0,1,0
VDC,Vodcacoin,0,Scrypt,0,1,0
OIL,Oilcoin,0,Scrypt,0,1,0
SHOP,Shopcoin,0,Scrypt,0,1,0
HAC,Hamburgercoin,0,Scrypt,0,1,0
HDC,Hotdogcoin,0,Scrypt,0,1,0
LADY,Ladycoin,0,Scrypt,0,1,0
MUSC,Musiccoin,0,Scrypt,0,1,0
CIC,Cinemacoin,0,Scrypt,0,1,0
CHAM,Championcoin,0,Scrypt,0,0,0
NOTE,DNotes,0,Scrypt,0,0,0
FUNK,Cypherfunk,0,Scrypt,0,0,0
VMP,Vampirecoin,0,Scrypt,0,0,0
LYC,Lycancoin,0,Scrypt,0,0,0
ZMB,Zombiecoin,0,Scrypt,0,0,0
MVC,Moviecoin,0,Scrypt,0,1,0
RBC,Rubycoin,0,Scrypt,0,1,0
PHI,Phicoin,0,Scrypt,0,1,0
BLA,Bladecoin,0,Scrypt,0,1,1
FRY,Frycoin,0,Scrypt,0,1,0
RPD,Rapidcoin,0,Scrypt,0,1,0
LMC,Lemoncoin,0,Scrypt,0,0,0
ANT,Antimatter,0,Scrypt,0,1,0
BEE,Beecoin,0,Scrypt,0,0,0
CARBON,Carboncoin,0,Scrypt,0,1,0
SHC,Scherlockcoin,0,Scrypt,0,1,0
VGC,Vegascoin,0,Scrypt,0,0,0
FSC,Friendshipcoin,0,Scrypt,0,0,0
EQB,EquestrianBit,0,Scrypt,0,0,0
PENG,Penguincoin,0,Scrypt,0,1,0
ONI,Onioncoin,0,Scrypt,0,1,0
PCC,Polishcoin,0,Scrypt,0,0,0
VNC,Verncoin,0,Scrypt,0,1,0
TAXI,Taxicoin,0,Scrypt,0,0,0
BLL,Billaume,0,Scrypt,0,0,0
MCR,Macrocoin,0,Scrypt,0,1,0
MRS,Marscoin,0,Scrypt,0,1,0
LTB,Litebar,0,Scrypt,0,0,0
XXL,XXLcoin,0,Scrypt,0,0,0
SDM,Spodermancoin,0,Scrypt,0,1,0
PAND,Pandacoin,0,Scrypt,0,1,0
RDD,Reddcoin,0,Scrypt,0,0,0
YACC,YACCoin,0,Scrypt,0,0,0
PRC,Prospercoin,0,Scrypt,0,0,0
SUN,Suncoin,0,Scrypt,0,1,0
SOCHI,Sochicoin,0,Scrypt,0,0,0
ZED,Zedcoin,0,Scrypt,0,1,0
TOP,Topcoin,0,Scrypt,0,0,0
AUR,Auroracoin,0,Scrypt,0,1,0
BELI,Beli,0,Scrypt,0,1,0
BELA,Bellacoin,0,Scrypt,0,1,0
COIN,Coin,0,Scrypt,0,1,0
PIG,PiggyCoin,0,Scrypt,0,1,0
CCN,C-coin,0,Scrypt,0,0,0
SVC,Sovereigncoin,0,Scrypt,0,1,0
EXE,Execoin,0,Scrypt,0,0,0
JNY,JennyCoin,0,Scrypt,0,1,0
GAM,GammaCoin,0,Scrypt,0,1,0
ISR,Isracoin,0,Scrypt,0,1,0
YOLO,Yolocoin,0,Scrypt,0,0,0
FREEB,FreebiesCoin,0,Scrypt,0,1,1
MXT,MarteXcoin,0,Scrypt,0,1,0
IDC,IndoCoin,0,Scrypt,0,1,0
FUN,FunCoin,0,Scrypt,0,1,0
AIM,AimCoin,0,Scrypt,0,0,0
WFC,World Football Coin,0,Scrypt,0,0,1
CFN,ConfessionCoin,0,Scrypt,0,1,0
G8,G8Coin,0,Scrypt,0,0,1
XXX,XXX Coin,0,Scrypt,0,1,1
QTL,Quatloo,0,Scrypt,0,0,1
FJC,FujiCoin-2.0,0,Scrypt,0,1,1
