symbol,name,children_amount,algorithm,technical,premine,pos
PPCD,PeercoinDark,0,SHA-256d,0,1,0
DOGEBC,DOGEBLACKCOIN,0,SHA-256d,0,1,0
PPCD,PeercoinDark,0,SHA-256d,0,1,0
FUD,FUDcoin,0,SHA-256d,0,0,1
FLIRT,FlirtCoin,0,SHA-256d,0,0,1
URAN,URANUSCOIN,0,SHA-256d,0,1,0
PIMP,PimpCash,0,Scrypt,1,1,1
FLIRT,Flirt Life,0,SHA-256d,0,0,0
DECR,DecryptRcoin,0,SHA-256d,0,0,0
PAYER,ePAYERCOIN,0,SHA-256d,0,1,1
IQD,Dinarcoin,0,SHA-256d,0,1,0
IMP,Imperialcoin,0,SHA-256d,0,1,0
OAC,Overly Attached Coin,0,SHA-3,1,1,0
MTX,Matrixcoin,0,SHA-256d,0,0,0
SUP,SupCoin,0,SHA-256d,0,0,0
NXT,NXT,12,SHA-256d,0,0,1
NZ,NeXT Horizon,0,SHA-256d,0,0,1
NAS,NAS,0,SHA-256d,0,0,1
Burst,Burst,0,SHA-256d,0,0,0
ARN,ArenaCoin,0,SHA-256d,0,0,1
STB,STABLE,0,SHA-256d,0,0,1
SKULL,SKULLCOIN,0,SHA-256d,0,0,1
XPH,Pathfinder,0,SHA-256d,0,1,1
VDO,Vidio,0,SHA-256d,0,0,1
NTX,NTXcoin,0,SHA-256d,0,0,1
FIMK,FIMKrypto,0,SHA-256d,0,0,1
NODE,NODE,0,SHA-256d,0,0,1
NBT,NuBits,0,SHA-256d,0,0,1
XRP,Ripple,4,SHA-256d,0,1,0
XNP,NetPay,0,SHA-256d,0,0,1
Splash,Splash,0,SHA-256d,0,0,1
Radix,Radix,0,SHA-256d,0,0,1
Stellar,Stellar,0,SHA-256d,0,0,1
BCN,Bytecoin,15,CryptoNight,0,0,0
FCN,Fantomcoin,0,CryptoNight,0,0,0
XMR,Bitmonero/Monero,1,CryptoNight,0,0,0
AEON,AEON,0,CryptoNight-Lite,1,0,0
QCN,QuazarCoin,0,CryptoNight,0,0,0
MNT,MountCoin,0,CryptoNight,0,0,0
XDN,DarkNote,0,CryptoNight,0,0,0
BBR,Boolberry,0,Wild Keccak,1,0,0
MCN,MonetaVerde,0,CryptoNight,0,0,0
OEC,OneEvilCoin,0,CryptoNight,0,0,1
CNC,CryptoNoteCoin,6,CryptoNight,0,0,1
INF8,Infinium-8,0,CryptoNight,1,0,1
ASAP,ASAPcoin,0,CryptoNight,1,0,1
CRR,CherryNote,0,CryptoNight,1,0,1
RD,Red Wind,0,CryptoNight,1,0,0
DOSH,Dosh-Kapital,2,CryptoNight,1,0,0
DBK,DiamondBack,0,CryptoNight,0,0,0
SBK,Silverback,0,CryptoNight,0,0,0
DB,DoctorByte,0,CryptoNight,1,0,0
DSH,Dashcoin,0,CryptoNight,0,0,1
XTV,Tavos,0,CryptoNight,0,0,1
BDC,Buddhacoin,0,CryptoNight,0,0,0
PLD,Paladincoin,0,CryptoNight,0,0,0
XPB,Pebblecoin,0,Boulderhash,1,0,0
DNC,DarkNetCoin,0,Boulderhash,1,0,0
