coin,nontrivial
CKC,0
DRX,0
MUSC,0
EAGS,0
SWARM,0.0
WDC,0.0
YLC,0
URAN,0
OAC,1
BSTY,1
BEST,0
LQC,0
VNC,0
TCO,0.0
GLOBE,0.0
VNL,0.0
RIN,0.0
TIT,0.0
YAC,1.0
RIC,1.0
WEC,0
ZEB,0
FRAC,1.0
HAM,0.0
LEA,0.0
HAC,0
Curecoin,0
DASH,1.0
LFTC,0
FVZ,0
XIV,0
None,0
EQB,0
THC,0.0
CINNI,0.0
PHI,0
OIL,0
PHO,0.0
BURST,0.0
ZEIT,0.0
GEO,0.0
NIG,1
SYS,0
HIRO,0.0
WFC,0
LXC,1.0
MZC,0.0
PHS,0
PHR,1
SPEC,0.0
PINGAS,0
CRR,1
EMD,0
BELI,0
CARSI,0
DMD,0.0
CRW,0
CRT,0
LEL,0
BELA,0.0
DOUG,0
SYNC,0.0
STEPS,1
ODNT,1
CRC,0.0
SKC,1.0
GRS,0.0
LDC,0
PP,0
BUY,0
SHIBE,0
ACOIN,0.0
XDN,0.0
SPATA,0
JUN,0
TCN,0
BUK,0.0
BUN,0
XDQ,0.0
XDP,0.0
365,0
SWIFT,0.0
GEN,0.0
JBG,0
FIBRE,1.0
LIMX,0.0
LOVE,0
ZET,0.0
LBW,0
FOOD,0
UNIC,0.0
XRA,0.0
VGC,0.0
HBN,0.0
LGBT,0
COIN,0
XBOT,0
KIMO,0
DDC,0
XRP,0.0
FUNK,0
ULTC,0
SMAC,0
WWW,0
ANG,0
MARYJ,0
UNAT,0
ANC,1.0
Kool,0
QWC,0
ANI,0.0
ANT,0
BEER,0
DGMS,0
NVC,0.0
FRSH,0
WWC,0
MOL,0
MOB,0
JLH,0.0
BCN,0
FSC,0
KMC,1
DSH,0
PAYER,0
COV,0.0
FISH,0
GRA,0
DVC,0
ETC,0
ATO,0
FST,0.0
ICASH,0.0
COF,0
ETH,0.0
COL,0.0
CON,0.0
OPTI,0
AAC,0
GRYF,0
ASAP,1
CASH,0
KDC,0.0
VRC,0.0
QORA,0.0
OLY,0
COOL,0.0
SRC,0.0
LOTTO,0
FAIR,0.0
DIME,0.0
CC,0
XMG,1.0
HEX,0.0
OBC,1
ZTC,1
NOO,0
COMM,0.0
CS,0.0
XMR,0.0
PLT,0
SNRG,0.0
CDC,0
TDC,0
CDN,0
UFC,0
Splash,0
ORO,0
NMC,0.0
OEC,0
RUP,0
EVENT,0
City,0
DOSH,1
HYC,0
LOG,1.0
MNTA,0.0
BILS,0
DIG,0
LOL,0
HYP,0
M.J,0
RCH,0
LOT,0.0
AID,0
ARCH,0.0
AIB,0.0
PPC,1
SOC,0
GAY,0
QRK,0.0
SOL,0.0
GAP,0.0
DIBS,0.0
GAM,0
CHI,0
NSR,0.0
XXL,0
UTC,0.0
MTX,0
MTS,0
INK,1
BRIT,0
XVI,0.0
VOLT,0
XCASH,0.0
HTML5,0.0
PAND,0
HPC,0
MTC,0
PINK,0.0
ARS,0
DEPO-GBP,0
TBC,0
CX,0
SBK,0
ARC,0
PWC,0
PURE,0
ARG,0.0
ARI,0.0
TRUST,0.0
CTM,0
RW,0
FLIRT,0
NAC,0
NYAN,0.0
DRZ,0.0
TIX,1.0
FATE,0
BC,0
CANN,0.0
GSX,0
DRS,0.0
BOS,0
NAN,0.0
BACK,0
HBC,0
NAS,1
DRK,1
CCN,0.0
NAV,0.0
BS,0
BCSH,0
FREEB,0
BOB,0.0
BOC,1
BOD,0.0
SHLD,0.0
CCC,0
CCB,0
SXC,0.0
CYB,0
APEX,0
PIC,0
CENT,0.0
PIG,0
UIS,0
LYC,0.0
GLB,0
RPD,0
NXT,1.0
YOLO,0
BQC,0.0
MInC,0
RKC,0
SVC,0
NXE,0.0
CRYSTAL,0
CPTL,0
XAN,0
POD,0
HAL,0
CTD,1
OK,0.0
SOV,0
CRAIG,1.0
OC,0.0
BVC,0.0
NTRN,0.0
CXC,0
BCX,0.0
OT,0
ALEA,0
HZ,0.0
HXC,1
Envy,0
XST,1.0
FLS,0
BULL,0
SMBR,0
CLOAK,0.0
MWC,0
VDC,0
QSLV,0.0
LKY,0.0
XSI,0.0
VIOR,1.0
BLOCK,0
ICN,0.0
KING,1
AMK,0
RON,0
QCN,0.0
WVS,0
AMC,0.0
PTC,0.0
ROX,0
NWC,0
OSC,0
MNC,0.0
PTS,1
MNE,0
TRI,0.0
TRK,0.0
RBT,0
TRL,0.0
BDC,0
METAL,0.0
TRC,0.0
RBR,0
MOBI,0
CRCK,0
TRS,0
USDe,0.0
HTC,0
LTCX,0
VMINE,0
VOOT,0.0
MYST,0.0
PWNY,0
SPCC,0
ENRG,0.0
NOXT,0.0
U,0
FBIT,0
ACC,0
XNP,0
SKULL,0
SUN,0
SLK,0
NEC,0.0
ELTC,0
XNC,0.0
ACP,0.0
SUP,0
NET,0.0
SILK,0.0
IDC,0
PENG,0
PMP,0.0
CGA,0
TEA,0
NC,0
GRAV,0.0
NBT,0
TEX,0
NZ,0
FSC2,0
NBL,0.0
PCC,0
TES,0
XMAS,0
CORE,0
ADT,0
CORG,0.0
FEC,0
DNC,0
GML,0
GMC,0
ELC,0.0
RBBT,0.0
J,0.0
GME,0.0
FLT,0.0
RDD,1.0
ADC,0.0
DIEM,0.0
ELP,0
MINT,0.0
AEON,1.0
ELT,0.0
SIC,1
MED,1.0
MEG,1
MEC,0.0
MEM,0.0
FBX,0
NAUT,0.0
SMLY,0
CIRC,0.0
GDC,0.0
BOOM,0
BRD,0
JPC,1
CIC,0
USC,0
FLO,0
VIRAL,0.0
IFC,0.0
CIN,0
SEED,0
KRYP,0
IQD,0
MSC,0.0
XWC,0.0
KARM,0.0
PIMP,1
EAC,0.0
CL,1
42,0
PXI,0
VDO,0
PXL,0.0
PXC,0.0
TB,0.0
SHOP,0
MYR,1
AC,0.0
BALLS,0
TRON,0.0
MOSC,0
FIRE,0
ICB,0.0
AM,0.0
ICE,0
TNZ,0
START,0.0
CND,0.0
AU,0.0
CNC,0.0
LIZE,0
AMBER,0.0
CNL,0.0
CRYPT,0.0
NKA,0.0
PFC,0
RTC,0
ZCC,0.0
PPCD,0
CLD,0
NOTE,0.0
KGC,0.0
MVC,0
NKT,0
CHILD,0
KRN,0
LK7,0
SUPER,0
EZC,0.0
AGS,0
XBC,0
TAU,0
TAM,0
PRIME,1
BTCS,0
FLAX,0
GRM,0
DSB,0
NOC,0
CBX,0
XSEED,0
CTO,0
XFC,0
HUGE,0
BANX,0
DOT,0
XUP,0
QBK,0
NIRO,0
FRDC,0
COINO,0
NEU,0
SHF,0
BTS,0
BTX,0
HEDG,0
VMC,0
INFX,0
MRKT,0
CYC,0
EBS,0
DICE,0
LGD,0
MCZ,0
WS,0
LTBC,0
SONG,0
BOT,0
INDEX,0
PR,0
TAGR,0
FUND,0
EFL,0
UNIT,0
SANDG,0
CHIP,0
BCY,0
BCR,0
CF,0
IEC,0
LDOGE,0
PLS,0
UFO,0
URC,0
GOOD,0
MTR,0
007,0
NXTTY,0
ARB,0
PARA,0
SOON,0
DARK,1
GSM,0
SHELL,0
GIVE,0
BCF,0
XAU,0
P7C,0
HNC,0
MAID,0
JUDGE,0
BTCRY,0
FLY,0
DEM,0
$MINE,0
VCN,0
VOL,0
XCO,0
PLANET,0
FLDC,0
SJCX,0
GEMZ,0
IRL,0
SJW,0
ADD,0
ADN,0
OZC,0
XEM,0
BRC,0
XWT,0
TX,0
SPACE,0
CPC,0 
NXTprivacy,0 
SIB,0 
DRKT,0 
HEEL,0 
MTLMC3,0 
BGCAFFE,0 
LAB,0 
MAD,0 
EVO,0 
CME,0 
HUN,0 
1337,0 
GRF,0 
SPRTS,0 
EKN,0 
REP,0 
FCT,0 
BST,0 
DROP,0 
BITEUR,0 
LTS,0 
AUM,0 
LTD,0 
QUIT,0 
SOIL,0 
OS76,0 
Privatebet,0 
BTA,0 
DCYP,0 
STV,0 
XPD,0 
FIC,0 
JINN,0 
