coin, max_price, min_price, severity_to_min_price, severity_to_min_price_after_max, severity_to_last, severity_to_average, severity_to_average_after_max, severity_to_average_volume_weighted, severity_to_average_after_max_volume_weighted
SHADE, 0.00045, 1e-06, 450.0, 450.0, 204.545454545, 49.5637432838, 49.5637432838, 84.5690527918, 84.5690527918
RT2, 0.00043005, 1.502e-05, 28.6318242344, 14.3302232589, 7.05, 5.19634108352, 5.03209876263, 2.51064208673, 2.33566913425
CAGE, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
MMXIV, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
LEAF, 2e-07, 1e-08, 20.0, 20.0, 20.0, 7.61904761905, 7.61904761905, 3.58855752762, 3.58855752762
PROZ, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
ARG, 0.00085003, 1.33e-06, 639.120300752, 639.120300752, 138.441368078, 10.0638768638, 10.988101056, 11.3155241203, 13.2748355569
CZR, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
XCH, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
DOGE, 2.59e-06, 1e-08, 259.0, 259.0, 5.51063829787, 3.94306705716, 4.07932630127, 3.85118731919, 3.85053094458
XCN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
MOON, 1.9e-07, 1e-08, 19.0, 19.0, 19.0, 2.76261127596, 2.76261127596, 2.9756244958, 2.9756244958
XCR, 3e-05, 3e-06, 10.0, 10.0, 2.00400801603, 3.05019980857, 3.05019980857, 3.10041694908, 3.10041694908
BTG, 0.017, 2.223e-05, 764.73234368, 764.73234368, 42.6161289514, 9.39088947346, 9.85341814698, 6.23401579268, 6.64215470105
BTC, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BTB, 0.1901, 0.0003, 633.666666667, 633.666666667, 146.228519561, 8.43508767902, 8.43508767902, 6.51135378172, 6.51135378172
BTM, 0.00190003, 4.049e-05, 46.9259076315, 46.9259076315, 20.0742736397, 5.36589144578, 5.36589144578, 9.73605496306, 9.73605496306
SSD, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
JBS, 0.00014699, 7.5e-06, 19.5986666667, 4.23236395048, 1.63322222222, 2.69007691649, 1.49688834241, 3.06679484614, 1.71755316469
UTIL, 9.999e-05, 2.02e-06, 49.5, 49.5, 20.1187122736, 11.7244801903, 12.8329411765, 22.9386119559, 22.9623217519
CURE, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
DGB, 8e-07, 4e-08, 20.0, 4.21052631579, 1.77777777778, 2.44946211136, 1.96454366382, 2.50316009752, 1.9151089258
DGC, 0.00058, 0.0, NaN, NaN, 19.8630136986, 5.81703033061, 6.56281006535, 3.8085159008, 4.27143262555
ECC, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
ASC, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
KUMA, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
QTL, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BITS, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
JKC, 4.013e-05, 2e-08, 2006.5, 2006.5, 47.7738095238, 14.0934507641, 14.5501057508, 13.8763065834, 14.1851231571
FRC, 0.00031, 2.25e-06, 137.777777778, 137.777777778, 102.649006623, 10.0396241294, 15.0018001225, 10.5610215255, 11.8729709546
VTC, 0.0064, 1e-08, 640000.0, 640000.0, 49.883086516, 9.24425416503, 9.61190938168, 11.7021881977, 12.0217672779
FRK, 0.0178, 5.004e-05, 355.715427658, 355.715427658, 283.574956189, 17.0156475941, 18.892107985, 20.6150778448, 23.3431126772
XC, 0.00218407, 4e-05, 54.60175, 54.60175, 39.00125, 3.80126714424, 4.32210996544, 1.93910998035, 2.94065319487
UNB, 0.00055638, 1.29e-06, 431.302325581, 24.1904347826, 16.2684210526, 15.8811718053, 8.8871459488, 8.23221859207, 4.70912324915
UNC, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
VTX, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BBR, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
YAC, 0.00054999, 9.7e-07, 567.0, 567.0, 354.832258065, 14.1783267529, 14.1783267529, 34.4961039456, 34.4961039456
UNO, 0.0256, 1e-06, 25600.0, 25600.0, 4.40376315323, 3.61498529157, 3.61567980214, 3.33094732709, 3.59897049858
OMC, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
ZED, 1.507e-05, 3.4e-07, 44.3235294118, 44.3235294118, 23.1846153846, 4.60665130568, 5.69775235383, 3.22818439675, 6.21556240077
HVC, 3.5e-05, 1.4e-07, 250.0, 250.0, 159.090909091, 18.3559199991, 19.5431880328, 18.58887322, 19.1345558552
KEY, 0.00223894, 1.609e-05, 139.151025482, 139.151025482, 101.035198556, 18.6841480942, 22.0944453607, 5.31660419721, 7.48764439087
VTA, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
DP, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
CESC, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
POT, 2.402e-05, 4e-08, 600.5, 600.5, 9.0641509434, 3.44199415595, 3.62534248935, 3.46661550678, 3.71483035138
POP, 3e-08, 2e-08, 1.5, 1.5, 1.5, 1.30434782609, 1.275, 1.44164209696, 1.41696824415
RPC, 0.035, 1.005e-05, 3482.58706468, 3482.58706468, 1688.37433671, 30.8828960111, 33.3705317027, 49.8891739938, 53.3014235566
TIPS, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
