symbol,name,ann
PINGAS,Pingas,https://bitcointalk.org/index.php?topic=387319.0
GEO,GeoCoin,https://bitcointalk.org/index.php?topic=277091.0
LOT,Lottocoin,https://bitcointalk.org/index.php?topic=368153.0
XIV,Xivra,https://bitcointalk.org/index.php?topic=376160.0
LDC,Leadcoin,https://bitcointalk.org/index.php?topic=382404.0
CHI,Chicoin,https://bitcointalk.org/index.php?topic=382690.0
MEOW,Kittehcoin,https://bitcointalk.org/index.php?topic=383068.0
HTC,Hotcoin,https://bitcointalk.org/index.php?topic=382947.0
NWC,Networkcoin,https://bitcointalk.org/index.php?topic=387657.0
HAM,HamsterCoin,https://bitcointalk.org/index.php?topic=388650.0
VWC,Vaporcoin,https://bitcointalk.org/index.php?topic=390735.0
MOON,Mooncoin,https://bitcointalk.org/index.php?topic=389403.0
TX,TransferCoin,https://bitcointalk.org/index.php?topic=1150229.0
TIPS,Fedoracoin,https://bitcointalk.org/index.php?topic=391192.0
42,42 coin,https://bitcointalk.org/index.php?topic=394212.0
CAGE,Cagecoin,https://bitcointalk.org/index.php?topic=394964.0
BOS,Bosscoin,https://bitcointalk.org/index.php?topic=395212.0
VOLT,Electric,https://bitcointalk.org/index.php?topic=396628.0
MDC,Mediacoin,https://bitcointalk.org/index.php?topic=398936.0
BAT,Batcoin,https://bitcointalk.org/index.php?topic=400753.0
SOL,Solcoin,https://bitcointalk.org/index.php?topic=402170.0
NOBL,NobleCoin,https://bitcointalk.org/index.php?topic=402667.0
MOSC,Mousecoin,https://bitcointalk.org/index.php?topic=405820.0
SOC,Socialcoin,https://bitcointalk.org/index.php?topic=412331.0
JUN,JunnonCoin,https://bitcointalk.org/index.php?topic=413029.0
BEC,Beaocoin,https://bitcointalk.org/index.php?topic=327516.0
ALC,Alcohoin,https://bitcointalk.org/index.php?topic=426299.0
KARM,Karmacoin,https://bitcointalk.org/index.php?topic=447657.0
HBC,Hobbitcoin,https://bitcointalk.org/index.php?topic=437947.0
CORG,Corgicoin,https://bitcointalk.org/index.php?topic=444700.0
OLY,Olimpiccoin,https://bitcointalk.org/index.php?topic=453085.0
SNP,Snapcoin,https://bitcointalk.org/index.php?topic=457158.0
FLAP,Flappycoin,https://bitcointalk.org/index.php?topic=464743.0
DUCK,DuckDuckcoin,https://bitcointalk.org/index.php?topic=448221.0
CCC,CancerCureCoin,https://bitcointalk.org/index.php?topic=448269.0
APP,Appcoin,https://bitcointalk.org/index.php?topic=475160.0
GMC,GameCredits,https://bitcointalk.org/index.php?topic=1010745.0
ENC,Entropycoin,https://bitcointalk.org/index.php?topic=482284.0
RON,Swansoncoin,https://bitcointalk.org/index.php?topic=478244.0
PIC,Pizzacoin,https://bitcointalk.org/index.php?topic=431508.0
BEER,Beercoin,https://bitcointalk.org/index.php?topic=445553.0
PAS,Pastacoin,https://bitcointalk.org/index.php?topic=445560.0
FISH,Fishcoin,https://bitcointalk.org/index.php?topic=391858.0
VDC,Vodcacoin,https://bitcointalk.org/index.php?topic=440159.0
HAC,Hamburgercoin,https://bitcointalk.org/index.php?topic=431512.0
LADY,Ladycoin,https://bitcointalk.org/index.php?topic=445680.0
MUSC,Musiccoin,https://bitcointalk.org/index.php?topic=445668.0
CIC,Cinemacoin,https://bitcointalk.org/index.php?topic=445624.0
CHAM,Championcoin,https://bitcointalk.org/index.php?topic=429836.0
NOTE,DNotes,https://bitcointalk.org/index.php?topic=470155.0
