symbol,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,normalized_total_volume,normalized_total_volume_before_max,total_volume,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_unweighted,user1_satoshi_pagerank_weighted,user1_pagerank_unweighted,user1_pagerank_weighted
HEEL,HeelCoin,8.29636e-07,1e-08,82.9636,82.9636,6.91328766895,2.61005045471,3.89043513551,5.18378112283,5.37564060501,172114.273706,49338.8061943,12220113.4331,1,False,False,False,False,False,False,False,2015-10-27,2015-10-27,2015-07-10,2015-10-27,heelcoin,1,31,2,109,62,61,1,0.02677596,0.001048106,0.001048932,8.048764e-05,1.277988e-05,8.049226e-05,1.277988e-05,57.83333,4.0,1.401903e-05,1.267217e-05,4.340381e-05,4.229763e-05
TAK,TakCoin,7.60238e-06,9.89529e-09,768.282688026,768.282688026,760.238,54.4441099654,95.1536231836,52.6163657151,57.0258998705,19065682.9252,7690482.96863,12926533023.3,0,False,False,False,False,False,False,False,2014-02-27,2014-02-27,2014-02-07,2014-02-27,TakeiCoin,1,165,13,20,144,137,7,0.01358506,0.002114374,0.002117683,0.000226858,3.198808e-05,0.0002268879,3.198831e-05,170354.8,3.0,8.501964e-05,7.324112e-05,0.0002532832,0.0002283915
PRIME,PrimeChain,1.18989e-05,6.10714e-07,19.4835880625,19.4835880625,2.63799777412,2.55479154194,3.46865378333,3.1477747777,3.59559597319,198967.559784,181345.668193,22483334.2555,2,False,False,False,False,False,False,True,2015-09-14,2015-09-14,2015-08-11,2015-09-14,iGotSpots,1,4366,103,866,1870,1247,623,0.01828593,0.001061026,0.001062273,8.108635e-05,1.730512e-05,8.109226e-05,1.730519e-05,114568600.0,3.0,0.0003849068,0.0004439146,0.0009691007,0.001145262
XPM,Primecoin,0.0140613,7.83042e-05,179.572743225,179.572743225,96.9851845721,9.34286654135,9.55606303215,21.2374139228,21.2374139228,118505.044286,0.0,107721085.256,10,False,False,True,False,True,True,False,2013-07-10,2013-07-11,2013-07-07,2013-07-11,Sunny King,1,642,27,335,585,447,138,0.04315739,0.01171391,0.01186403,0.0008753513,0.0001040961,0.0008761024,0.0001041,2235934.0,2.0,0.001198787,0.001440692,0.002631984,0.003239622
GP,GoldPieces,0.00029999,3.51931e-06,85.2411410191,61.7263374486,37.0358024691,5.26151486832,10.3923798364,5.60616789269,4.92131234832,16949.5714692,23566.5334304,6017097.87158,1,False,False,False,False,False,False,True,2015-01-16,2015-01-16,2015-05-07,2015-01-16,HYPERfuture,1,503,12,236,252,229,23,0.0151574,0.001169776,0.001171136,9.385334e-05,1.870364e-05,9.386055e-05,1.87037e-05,1583076.0,4.0,0.0001029046,9.677043e-05,0.0003104018,0.0003099981
IXC,Ixcoin,0.000221394,2.14544e-05,10.3192818256,10.3192818256,1.71092735703,2.67272105222,3.25200807373,2.42303613191,2.42303613191,26905.1585492,0.0,26178719.2684,0,False,False,False,False,False,False,False,2013-05-08,2013-05-08,2011-08-10,2013-05-08,Nasakioto,1,99,13,637,216,203,13,0.1109704,0.01526234,0.01553684,0.001053157,0.0001458221,0.001054322,0.0001458294,38748.7,2.0,0.001021979,0.001131137,0.001466047,0.001633419
MTLMC3,Metal Music Coin,4.81374e-07,1.20276e-08,40.0224483688,40.0224483688,12.0337182298,4.30159873181,5.11992157772,3.109564621,2.98920226924,1159590.80848,2669429.49782,218003071.993,2,False,False,False,False,False,False,False,2015-07-02,2015-07-02,2015-02-23,2015-07-02,metalmusiccoin,1,221,2,272,76,72,4,0.011107,0.001082164,0.001083125,8.404612e-05,1.769261e-05,8.405119e-05,1.769266e-05,140328.5,3.0,1.769814e-05,1.659274e-05,5.267402e-05,5.266084e-05
NOBL,NobleCoin,1.63082e-06,3.17525e-08,51.3603653256,51.3603653256,27.1803333333,11.7530424129,11.8946649431,7.73889071225,7.77785449004,19309337.0059,24321378.2808,13458607893.1,1,False,False,True,False,False,False,False,2014-02-08,2014-02-08,2014-01-07,2014-02-08,Rofo,1,238,7,48,1051,1025,26,0.00754755,0.002633301,0.002640949,0.0002790262,3.590203e-05,0.000279088,3.590231e-05,1397571.0,3.0,0.0003231873,0.0003051701,0.001076908,0.001094443
HZT,HazMatCoin,1.99077e-05,4.0008e-08,497.592981404,497.592981404,62.2115625,21.5405875563,21.5405875563,17.5921530913,17.5921530913,13764.1700172,56237.7326772,3633740.88455,1,False,False,False,False,False,False,False,2015-04-17,2015-04-17,2015-04-10,2015-04-17,HazMatCoin-Dev,1,42,3,8,85,85,0,0.02464986,0.001112191,0.001113494,8.902091e-05,1.365579e-05,8.902823e-05,1.365579e-05,0.0,4.0,9.079372e-06,8.579403e-06,3.059053e-05,3.102677e-05
XPY,PayCoin,0.0415154,4.975e-05,834.48040201,834.48040201,300.818793113,13.4502689576,19.4840463494,16.6300876311,20.1524887635,88992.3291122,47957.2613981,34351039.0373,5,False,False,False,False,False,False,True,2014-12-16,2014-12-16,2014-12-15,2014-12-16,manfred87,1,17,5,356,37,34,3,0.01351351,0.001210167,0.001211317,9.66214e-05,1.899419e-05,9.662761e-05,1.899427e-05,117299.8,4.0,1.47139e-05,1.307917e-05,4.11808e-05,3.983997e-05
PIGGY,Piggycoin,4.4296e-07,3.91257e-08,11.3214587854,11.3214587854,5.77500228153,4.17378551627,4.25519108959,2.16789178761,2.56576259104,2030208.25327,85278096.1596,1157218704.36,3,False,False,True,False,False,False,False,2014-06-15,2014-06-15,2014-05-31,2014-06-15,piggycoin,1,320,4,110,339,331,8,0.003500355,0.001548186,0.001550533,0.0001248116,2.286677e-05,0.0001248231,2.286687e-05,881524.4,3.0,8.486462e-05,8.267759e-05,0.0002737,0.0002767213
FIMK,FIMKrypto,4.90907e-06,2.10431e-07,23.3286445438,23.3286445438,6.54542666667,2.78217155835,4.10749991296,1.37963029768,1.34455399482,5347404.03604,25721067.4041,2903640391.57,2,False,False,False,False,False,False,False,2014-07-12,2014-07-12,2014-05-31,2014-07-12,Eliphaz Fimk,1,81,2,42,124,123,1,0.002491477,0.001457568,0.001459094,0.0001157898,1.668085e-05,0.0001157964,1.668085e-05,280.25,4.0,3.0819e-05,2.710366e-05,0.000106197,0.0001007765
BYC,Bytecent,0.00185347,0.000180996,10.2403920529,10.2403920529,6.39105548085,4.98496760578,5.03075945858,5.95380918984,5.96020162868,53828.0670118,23450.0366834,22015679.4078,1,False,False,False,False,False,False,True,2014-11-23,2014-11-23,2014-12-08,2014-11-23,Yanakitu Tenatako,1,42,0,320,13,0,13,0.1923077,0.001235619,0.001237376,1.456664e-05,1.919144e-05,1.456664e-05,1.919153e-05,0.0,inf,8.985775e-07,8.22988e-07,3.467361e-06,3.415514e-06
BTCD,BitcoinDark,0.014842,0.000229976,64.5371690959,9.52717188964,5.65674582757,2.98837360323,3.27257146049,4.03650736662,2.38581060282,9762.72326319,71298.9617804,5262107.83886,5,False,False,True,False,False,True,True,2014-07-16,2014-07-16,2014-07-09,2014-07-16,Azeh,1,91,3,135,159,142,17,0.008199984,0.001443029,0.001445386,0.0001143219,2.177296e-05,0.0001143291,2.17731e-05,938130.6,4.0,3.233202e-05,2.762349e-05,0.0001047651,9.749606e-05
TRICK,TrickyCoin,1.25998e-06,3.00035e-08,41.9944339827,41.9944339827,3.49825362186,2.4487929424,2.78078938892,2.4149661741,2.95591459145,42973.7766565,223363.712605,11817788.5805,1,False,False,False,False,False,False,False,2015-03-31,2015-03-31,2015-03-27,2015-03-31,TrickyCoin,1,20,1,4,26,26,0,0.07692308,0.001123258,0.001124175,9.011971e-05,1.374174e-05,9.012543e-05,1.374174e-05,0.0,3.0,5.797746e-06,4.893847e-06,1.31248e-05,1.251248e-05
ROS,RosCoin,1.25743e-06,3e-08,41.9143333333,41.9143333333,13.9714444444,6.48295033323,7.16512976279,4.53353148328,5.15367990058,3315450.33251,7918138.79052,1535053503.95,1,False,False,False,False,False,False,True,2014-09-30,2014-09-30,2014-09-04,2014-09-30,godivacoin,1,77,3,26,168,168,0,0.008055318,0.001282021,0.001283146,0.0001035384,1.513752e-05,0.0001035465,1.513752e-05,0.0,4.0,3.44297e-05,3.070566e-05,0.0001131156,0.0001096525
MAX,MaxCoin,0.00428743,8.752e-06,489.880027422,489.880027422,378.664605873,39.0202415408,42.7207589364,15.3656511465,18.4269868667,325554.621399,1322255.89128,225609352.63,6,False,False,False,False,False,True,True,2014-02-12,2014-02-12,2014-01-29,2014-02-12,maxcoinproject,1,2,1,14,394,393,1,0.01084977,0.002440498,0.00244403,0.0002606347,3.485541e-05,0.0002606688,3.485566e-05,406754.6,3.0,0.0003441552,0.0003021219,0.001023854,0.0009641467
PAC,Paccoin,3.26012e-11,1.15415e-11,2.82469349738,2.80300581215,1.98862984787,1.91219891984,6.18936601494,1.70527008944,1.63847057016,3243865986.69,3334189933.76,2.07607423148e+11,2,False,False,False,False,False,False,False,2015-11-02,2015-11-02,2013-11-12,2015-11-02,wmcorless,1,77,4,856,121,111,10,0.04287991,0.001045062,0.001046204,8.03995e-05,1.707283e-05,8.040338e-05,1.707289e-05,212759.5,3.0,4.447133e-05,3.893413e-05,8.208579e-05,7.566435e-05
MAD,SatoshiMadness,2e-08,9.94377e-09,2.01130959385,2.01130959385,2.0002140229,1.94783800379,2.05611933205,1.97626562305,1.96519399184,305436.89901,5599903.71856,32987185.093,1,False,False,False,False,False,False,False,2015-09-01,2015-09-01,2015-08-16,2015-09-01,WhoIsNotMad,1,24,1,16,57,57,0,0.01441103,0.001069271,0.001070161,8.168336e-05,1.301118e-05,8.168756e-05,1.301118e-05,0.0,4.0,5.674476e-06,5.091236e-06,1.942177e-05,1.885375e-05
