symbol,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,total_volume,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_unweighted,user1_satoshi_pagerank_weighted,user1_pagerank_unweighted,user1_pagerank_weighted,nontrivial
XPH,Pharma,6.60072e-06,1e-08,660.072,660.072,660.072,4.41404366062,5.5738523136,2.65090856622,2.87109974804,86583,1,False,False,False,False,False,False,False,2015-06-08,2015-06-08,2015-06-07,Pharma,1,6,1,1,21,21,0,0.07142857,0.001092523,0.001093559,8.568596e-05,1.338455e-05,8.56912e-05,1.338455e-05,0.0,4.0,1.604381e-06,1.442339e-06,5.819121e-06,5.646053e-06,0.0
XPM,Primecoin,0.0140613,7.83042e-05,179.572743225,179.572743225,54.3457087865,7.75787211822,7.86424547108,5.07960808644,5.07960808644,28338312,13,False,False,True,True,True,True,False,2013-07-11,2013-07-11,2013-06-29,Sunny King,1,846,28,323,405,271,134,0.07048384,0.01131186,0.01145225,0.0008654677,0.0001090569,0.0008662056,0.0001090613,834567.8,2.0,0.0009081261,0.001084373,0.001775842,0.002146701,1.0
GP,GoldPieces,0.00015788,3.51931e-06,44.8610665159,2.77518017226,2.6304565145,3.99248389488,1.5473089617,2.63600548307,1.16674224335,42191,1,False,False,False,False,False,False,True,2015-01-16,2015-01-16,2015-05-08,HYPERfuture,1,512,13,348,282,249,33,0.01436252,0.001111305,0.001112521,8.751275e-05,1.793963e-05,8.751895e-05,1.793968e-05,1776207.0,4.0,0.000101832,9.581129e-05,0.0003055025,0.0003051743,0.0
IXC,Ixcoin,0.000221394,2.14544e-05,10.3192818256,10.3192818256,4.02536009222,2.54741540971,2.38972237342,2.04403126505,2.04403126505,1001833,3,False,False,False,True,False,False,False,2013-05-08,2013-05-08,2013-12-12,FrictionlessCoin,1,0,0,188,94,57,37,0.1049556,0.005502498,0.005537227,0.0005794144,6.937894e-05,0.0005797576,6.938014e-05,144142.6,3.0,7.794424e-05,7.38165e-05,0.0001944572,0.0001948434,0.0
NOBL,NobleCoin,1.63082e-06,3.92465e-08,41.5532595263,41.5532595263,32.6164,9.79900051312,9.913027384,3.19629654446,3.23242548896,1293213,3,False,False,True,True,False,False,False,2014-02-08,2014-02-08,2014-01-10,cozie,1,120,12,319,102,92,10,0.06658901,0.003612373,0.003622746,0.0003602363,4.979399e-05,0.000360316,4.979455e-05,24724.17,3.0,6.818948e-05,5.647111e-05,0.0001727461,0.0001529065,0.0
XPY,PayCoin,0.0415154,5.96879e-05,695.541307367,695.541307367,695.541307367,7.2989023263,9.96941254297,2.1481046232,2.56303336853,23131009,12,False,False,False,True,False,False,True,2014-12-16,2014-12-16,2014-12-16,manfred87,1,17,5,356,37,34,3,0.01351351,0.001219018,0.001220187,9.695866e-05,1.897509e-05,9.696492e-05,1.897517e-05,117382.8,4.0,1.459104e-05,1.301587e-05,4.09505e-05,3.97262e-05,0.0
PIGGY,Piggycoin,4.4296e-07,3.91257e-08,11.3214587854,11.3214587854,2.95478043932,4.43748259659,4.53328637411,1.51987629354,1.75243908709,130202,3,False,False,True,False,False,False,False,2014-06-15,2014-06-15,2014-06-01,piggycoin,1,320,4,96,223,215,8,0.006060606,0.001567526,0.001569884,0.0001308366,2.338767e-05,0.0001308496,2.338777e-05,443066.8,3.0,6.155768e-05,5.661696e-05,0.0001899219,0.0001845954,0.0
FIMK,FIMKrypto,4.90907e-06,2.10431e-07,23.3286445438,23.3286445438,5.15627199183,2.33287192027,2.8602571463,1.31990824891,1.20232983214,4404942,2,False,False,False,False,False,False,False,2014-07-12,2014-07-12,2014-06-01,Eliphaz Fimk,1,81,2,1,3,3,0,0.0,0.00156562,0.001567658,0.0001308301,1.780849e-05,0.0001308408,1.780849e-05,0.0,5.0,1.365887e-06,1.239904e-06,5.257573e-06,5.140646e-06,0.0
BTCD,BitcoinDark,0.014842,0.000229976,64.5371690959,4.76441168729,3.26694665293,2.74528289474,2.66363292153,2.21522987449,1.59171439983,8481996,8,False,False,True,True,False,True,True,2014-07-16,2014-07-16,2014-07-10,Azeh,1,91,3,129,23,6,17,0.1264822,0.001474523,0.001477418,0.0001166099,2.193149e-05,0.0001166189,2.193163e-05,11805.32,4.0,1.84187e-06,1.583735e-06,6.151675e-06,5.764048e-06,1.0
TRICK,TrickyCoin,1.25998e-06,3.00035e-08,41.9944339827,41.9944339827,1.28569387755,2.91785277752,3.11145872339,1.44554532308,1.77485415972,1040,1,False,False,False,False,False,False,False,2015-03-31,2015-03-31,2015-03-28,TrickyCoin,1,20,1,1,17,17,0,0.1397059,0.001132129,0.001133086,9.076571e-05,1.374344e-05,9.077168e-05,1.374344e-05,0.0,3.0,4.818231e-06,4.000735e-06,9.54209e-06,8.996691e-06,0.0
