symbol,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,normalized_total_volume,normalized_total_volume_before_max,normalized_total_volume_orig,normalized_total_volume_orig_before_max,total_volume,total_volume_before_max,total_volume_orig,total_volume_orig_before_max,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_unweighted,user1_satoshi_pagerank_weighted,user1_pagerank_unweighted,user1_pagerank_weighted,nontrivial
TAG,TagCoin,0.00279889,3.29287e-05,84.9984967521,84.9984967521,34.3484039453,8.83063279529,9.81951365813,11.2805900764,11.2805900764,6.29719046144,0.0,25380.0700379,0.0,4993.67203592,0.0,20126395.5401,0.0,4,False,False,False,False,True,True,False,2013-11-05,2013-11-05,2013-10-24,2013-11-05,tagbond,1,106,6,37,204,200,4,0.04822423,0.008867352,0.008960709,0.0007077941,8.573519e-05,0.0007083011,8.573761e-05,99143.05,3.0,0.0002273051,0.000240923,0.0006539791,0.0007174188,0.0
DRKC,DarkCash,4.61e-05,1.04e-06,44.3269230769,44.3269230769,23.1658291457,4.63062338912,12.6256908876,4.03955639099,9.50300187706,0.279791487127,0.560230730782,24516.995444,46264.8893919,147.170322229,141.178144157,12895939.6035,11658752.1268,1,False,False,False,False,False,True,False,2014-07-29,2014-07-29,2014-07-25,2014-07-29,zlibz,1,47,2,7,191,186,5,0.01465969,0.001436836,0.001439005,0.0001118805,2.139641e-05,0.0001118884,2.13965e-05,177452.7,4.0,5.857919e-05,5.197622e-05,0.0001820558,0.0001739931,0.0
XMR,Monero,0.00845815,0.000983244,8.60228997075,8.60228997075,7.08239480846,3.69551299301,4.00256769297,3.51954739642,3.64761585918,173.415703863,302.166497467,72160.5539069,68232.2936609,103355.759502,9669.32791895,43007690.1285,2183433.39715,6,False,False,True,False,False,True,True,2014-05-20,2014-05-20,2014-04-25,2014-05-20,monero,1,8,3,27,217,216,1,0.0211025,0.001585045,0.001587681,0.0001336909,2.40999e-05,0.0001337071,2.41e-05,197571.0,3.0,0.0001642502,0.0001704738,0.0004624902,0.0005123386,0.0
SPA,SpainCoin,0.00415658,3.29994e-07,12595.9259865,12595.9259865,10138.0,201.644168425,210.586609171,178.609850902,178.709377168,4.02608688716,406.590354531,173002.511352,99014.8025302,2661.24343241,813.180709061,114354660.004,198029.60506,0,False,False,False,False,False,False,False,2014-03-15,2014-03-15,2014-03-04,2014-03-15,SpainCoinDev,1,54,1,11,238,235,3,0.004822182,0.001831626,0.001833973,0.0001955765,2.965263e-05,0.0001955998,2.96528e-05,316408.2,3.0,0.0001100619,9.493704e-05,0.0003550636,0.0003317389,0.0
SPC,SpikesPrivateCoin,0.000478709,5.19462e-06,92.1547678175,92.1547678175,92.0523421275,3.42295034105,6.44196884468,2.37515839703,2.76720366802,0.30766692712,1.33232148499,1526.5175408,5236.72901867,47.9960406307,38.6373230647,238136.736365,151865.141541,1,False,False,False,False,False,False,False,2015-08-04,2015-08-04,2013-05-15,2015-08-04,Supercoin,1,8,1,811,61,61,0,0.09781421,0.001069444,0.001070322,8.274004e-05,1.313698e-05,8.274464e-05,1.313698e-05,0.0,4.0,2.585122e-05,2.189937e-05,5.585266e-05,5.015672e-05,0.0
TAK,TakCoin,7.60238e-06,9.89529e-09,768.282688026,768.282688026,760.238,54.4441099654,95.1536231836,52.6163657151,57.0258998705,2.75474302695,50.0481919643,19065682.9252,7690482.96863,1867.71577227,450.433727678,12926533023.3,69214346.7177,0,False,False,False,False,False,False,False,2014-02-27,2014-02-27,2014-02-07,2014-02-27,TakeiCoin,1,165,13,20,144,137,7,0.01358506,0.002114374,0.002117683,0.000226858,3.198808e-05,0.0002268879,3.198831e-05,170354.8,3.0,8.501964e-05,7.324112e-05,0.0002532832,0.0002283915,0.0
PRIME,PrimeChain,1.18989e-05,6.10714e-07,19.4835880625,19.4835880625,2.38070847631,2.54788482577,3.4443538779,3.14683742053,3.59367774208,0.739851580754,1.20598824435,195664.526969,181345.668193,85.0829317867,22.9137766426,22501420.6015,3445567.69567,2,False,False,False,False,False,False,True,2015-09-14,2015-09-14,2015-08-11,2015-09-14,iGotSpots,1,4366,103,866,1870,1247,623,0.01828593,0.001061026,0.001062273,8.108635e-05,1.730512e-05,8.109226e-05,1.730519e-05,114568600.0,3.0,0.0003849068,0.0004439146,0.0009691007,0.001145262,1.0
XPM,Primecoin,0.0140613,7.83042e-05,179.572743225,179.572743225,95.6433906052,9.352249107,9.5656355901,21.2456262033,21.2456262033,78.3848480646,0.0,118433.941526,0.0,71330.2117388,0.0,107774886.789,0.0,10,False,False,True,False,True,True,False,2013-07-10,2013-07-11,2013-07-07,2013-07-11,Sunny King,1,642,27,335,585,447,138,0.04315739,0.01171391,0.01186403,0.0008753513,0.0001040961,0.0008761024,0.0001041,2235934.0,2.0,0.001198787,0.001440692,0.002631984,0.003239622,1.0
GP,GoldPieces,0.00029999,3.51931e-06,85.2411410191,61.7263374486,37.0358024691,5.26151486832,10.3923798364,5.60045305936,4.898342187,0.904271400274,1.25996520121,16881.6611559,23566.5334304,321.920618498,251.993040242,6009871.3715,4713306.68608,1,False,False,False,False,False,False,True,2015-01-16,2015-01-16,2015-05-07,2015-01-16,HYPERfuture,1,503,12,236,252,229,23,0.0151574,0.001169776,0.001171136,9.385334e-05,1.870364e-05,9.386055e-05,1.87037e-05,1583076.0,4.0,0.0001029046,9.677043e-05,0.0003104018,0.0003099981,0.0
IXC,Ixcoin,0.000221394,2.14544e-05,10.3192818256,10.3192818256,1.71092735703,2.67272105222,3.25200807373,2.42303613191,2.42303613191,2.45833753505,0.0,26905.1585492,0.0,2391.9624216,0.0,26178719.2684,0.0,0,False,False,False,False,False,False,False,2013-05-08,2013-05-08,2011-08-10,2013-05-08,Nasakioto,1,99,13,637,216,203,13,0.1109704,0.01526234,0.01553684,0.001053157,0.0001458221,0.001054322,0.0001458294,38748.7,2.0,0.001021979,0.001131137,0.001466047,0.001633419,0.0
