symbol,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,normalized_total_volume,normalized_total_volume_before_max,total_volume,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_unweighted,user1_satoshi_pagerank_weighted,user1_pagerank_unweighted,user1_pagerank_weighted
MONA,MonaCoin,0.00124232,4.30149e-05,28.8811551346,15.0470614312,8.37487107234,4.13778638437,4.42960099597,3.65146580011,3.50190908179,57474.8269374,18509.6001282,37646011.644,9.0,False,False,False,True,False,False,True,2014-03-20,2014-03-20,2013-12-30,2014-03-20,2chpool,1,2,1,80,2,2,0,0.0,0.001820683,0.001823135,0.0001889839,2.182787e-05,0.0001890172,2.182787e-05,0.0,6.0,2.289986e-06,2.092054e-06,9.015581e-06,8.8713e-06
SPR,SpreadCoin,0.000680543,4.01208e-06,169.623487069,45.3997998666,8.5185004381,6.62198015871,10.3989339351,6.08161638336,7.07124960665,26969.868369,8995.52387461,11704922.8721,1.0,False,False,False,False,False,False,True,2014-10-26,2014-10-26,2014-11-10,2014-10-26,Riseman,1,25,0,312,16,0,16,0.05833333,0.001251211,0.001252917,1.483239e-05,1.951389e-05,1.483239e-05,1.951396e-05,0.0,inf,9.114793e-07,8.349836e-07,3.519071e-06,3.466993e-06
BLITZ,Blitz,0.00019543,6.93805e-06,28.1678569627,11.4019836639,11.4019836639,3.7491262492,4.55885105989,3.51972552406,3.06963658046,46537.7331581,66232.9221367,19220083.7943,1.0,False,False,False,False,False,False,True,2014-11-16,2014-11-16,2014-04-26,2014-11-16,slavo,1,503,23,449,327,211,116,0.04309852,0.001233494,0.001234885,9.926578e-05,1.925986e-05,9.927268e-05,1.925994e-05,1219250.0,4.0,7.758638e-05,7.050048e-05,0.0002346107,0.0002287638
TAG,TagCoin,0.00279889,3.29287e-05,84.9984967521,84.9984967521,28.5716473187,8.80562575538,9.79283923012,11.2680299616,11.2680299616,25465.8203806,0.0,20092532.2803,5.0,False,False,False,True,True,True,False,2013-11-05,2013-11-05,2013-10-24,2013-11-05,tagbond,1,106,6,37,204,200,4,0.04822423,0.008867352,0.008960709,0.0007077941,8.573519e-05,0.0007083011,8.573761e-05,99143.05,3.0,0.0002273051,0.000240923,0.0006539791,0.0007174188
DRKC,DarkCash,4.61e-05,1.04e-06,44.3269230769,44.3269230769,23.1658291457,4.6220230967,12.6123456636,4.03951295631,9.50224114189,24657.3071825,46361.4265923,12895771.6564,2.0,False,False,False,True,False,True,False,2014-07-29,2014-07-29,2014-07-25,2014-07-29,zlibz,1,47,2,7,191,186,5,0.01465969,0.001436836,0.001439005,0.0001118805,2.139641e-05,0.0001118884,2.13965e-05,177452.7,4.0,5.857919e-05,5.197622e-05,0.0001820558,0.0001739931
XMR,Monero,0.00845815,0.000983244,8.60228997075,8.60228997075,7.19573096032,3.68649555614,3.99370053966,3.51431635863,3.6421350408,72309.2925876,61473.6050326,42879410.5044,8.0,False,False,True,True,False,True,True,2014-05-20,2014-05-20,2014-04-25,2014-05-20,monero,1,8,3,27,217,216,1,0.0211025,0.001585045,0.001587681,0.0001336909,2.40999e-05,0.0001337071,2.41e-05,197571.0,3.0,0.0001642502,0.0001704738,0.0004624902,0.0005123386
SPA,SpainCoin,0.00415658,3.29994e-07,12595.9259865,12595.9259865,9236.84444444,201.334261808,210.263220867,178.751868723,178.851475901,173668.42482,0.0,114447491.957,1.0,False,False,False,True,False,False,False,2014-03-15,2014-03-15,2014-03-04,2014-03-15,SpainCoinDev,1,54,1,11,238,235,3,0.004822182,0.001831626,0.001833973,0.0001955765,2.965263e-05,0.0001955998,2.96528e-05,316408.2,3.0,0.0001100619,9.493704e-05,0.0003550636,0.0003317389
SPC,SpikesPrivateCoin,0.000478709,5.19462e-06,92.1547678175,92.1547678175,92.068807013,3.38461191896,6.37224715978,2.37482722655,2.76632807241,1763.72335432,4541.23090325,238102.652833,1.0,False,False,False,False,False,False,False,2015-08-04,2015-08-04,2013-05-15,2015-08-04,Supercoin,1,8,1,811,61,61,0,0.09781421,0.001069444,0.001070322,8.274004e-05,1.313698e-05,8.274464e-05,1.313698e-05,0.0,4.0,2.585122e-05,2.189937e-05,5.585266e-05,5.015672e-05
HEEL,HeelCoin,8.29636e-07,1e-08,82.9636,82.9636,5.53153357381,2.57585750098,3.84924115972,5.18116280481,5.3730478258,179352.46973,38997.2663377,12195967.9416,1.0,False,False,False,False,False,False,False,2015-10-27,2015-10-27,2015-07-10,2015-10-27,heelcoin,1,31,2,109,62,61,1,0.02677596,0.001048106,0.001048932,8.048764e-05,1.277988e-05,8.049226e-05,1.277988e-05,57.83333,4.0,1.401903e-05,1.267217e-05,4.340381e-05,4.229763e-05
TAK,TakCoin,7.60238e-06,9.89529e-09,768.282688026,768.282688026,760.238,54.292517836,94.9039225263,52.5885631957,56.9958865738,19111235.2649,3300407.19611,12919195039.1,1.0,False,False,False,True,False,False,False,2014-02-27,2014-02-27,2014-02-07,2014-02-27,TakeiCoin,1,165,13,20,144,137,7,0.01358506,0.002114374,0.002117683,0.000226858,3.198808e-05,0.0002268879,3.198831e-05,170354.8,3.0,8.501964e-05,7.324112e-05,0.0002532832,0.0002283915
