coin,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_satoshi_distance,user1_satoshi_pagerank_weighted,user1_pagerank_weighted,nontrivial,slug,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,total_volume,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade
SPA,2014-03-15,2014-03-05,SpainCoinDev,1,54,1,1,9,9,0,0.02777778,0.0020188339999999997,0.002022473,0.0002179848,2.3233119999999998e-05,0.000218024,2.3233119999999998e-05,3.0,7.43865e-06,2.3736869999999998e-05,0.0,spaincoin,SpainCoin,0.00444425,3.40198e-07,13063.715836071937,13063.715836071937,6005.743243243243,156.21808293114157,162.64862204742894,2.288286114774769,2.2872593773195877,1564906,1,False,False,False,True,False,False,False,2014-03-15
TAK,2014-02-27,2014-02-08,TakeiCoin,1,165,13,1,14,14,0,0.02197802,0.002657683,0.002664205,0.0002801511,2.65915e-05,0.0002802046,2.65915e-05,4.0,5.029273e-06,1.902258e-05,0.0,takcoin,TakCoin,7.6023800000000006e-06,9.9151e-09,766.7476878700163,766.7476878700163,380.119,41.79507942114203,74.59627959267546,2.8147849023864597,3.149106516101273,905048,1,False,False,False,True,False,False,False,2014-02-27
XPH,2015-06-08,2015-06-07,Pharma,1,6,1,1,21,21,0,0.07142857,0.001092523,0.001093559,8.568595999999999e-05,1.3384549999999999e-05,8.56912e-05,1.3384549999999999e-05,4.0,1.442339e-06,5.646053000000001e-06,0.0,pharma,Pharma,6.60072e-06,1e-08,660.072,660.072,660.072,4.41404366062282,5.573852313603452,2.650908566216101,2.8710997480424174,86583,1,False,False,False,False,False,False,False,2015-06-08
XPM,2013-07-11,2013-06-29,Sunny King,1,846,28,323,405,271,134,0.07048384,0.01131186,0.01145225,0.0008654677,0.0001090569,0.0008662056,0.00010906129999999999,2.0,0.001084373,0.002146701,1.0,primecoin,Primecoin,0.0140613,7.83042e-05,179.57274322450138,179.57274322450138,54.345708786494455,7.757872118217312,7.864245471080402,5.079608086444142,5.079608086444142,28338312,13,False,False,True,True,True,True,False,2013-07-11
GP,2015-01-16,2015-05-08,HYPERfuture,1,512,13,348,282,249,33,0.01436252,0.001111305,0.001112521,8.751275e-05,1.793963e-05,8.751895000000001e-05,1.793968e-05,4.0,9.581129000000001e-05,0.0003051743,0.0,goldpieces,GoldPieces,0.00015788,3.5193099999999998e-06,44.861066515879536,2.7751801722622607,2.6304565144951684,3.992483894884246,1.5473089617035476,2.6360054830705097,1.166742243353668,42191,1,False,False,False,False,False,False,True,2015-01-16
IXC,2013-05-08,2013-12-12,FrictionlessCoin,1,0,0,188,94,57,37,0.10495560000000001,0.005502498000000001,0.005537227,0.0005794144,6.937894e-05,0.0005797576000000001,6.938014e-05,3.0,7.38165e-05,0.0001948434,0.0,ixcoin,Ixcoin,0.000221394,2.14544e-05,10.319281825639496,10.319281825639496,4.025360092218517,2.547415409707937,2.389722373422236,2.0440312650480905,2.0440312650480905,1001833,3,False,False,False,True,False,False,False,2013-05-08
NOBL,2014-02-08,2014-01-10,cozie,1,120,12,319,102,92,10,0.06658901,0.003612373,0.0036227459999999996,0.0003602363,4.9793990000000004e-05,0.000360316,4.979455e-05,3.0,5.6471109999999996e-05,0.0001529065,0.0,noblecoin,NobleCoin,1.63082e-06,3.92465e-08,41.55325952632719,41.55325952632719,32.61640000000001,9.79900051311546,9.913027384004003,3.1962965444554783,3.232425488961053,1293213,3,False,False,True,True,False,False,False,2014-02-08
HZT,2015-04-17,2015-04-11,HazMatCoin-Dev,1,42,3,2,44,44,0,0.05285412,0.001118298,0.001119725,8.986049e-05,1.366848e-05,8.986828000000001e-05,1.366848e-05,4.0,4.982664e-06,1.8649e-05,0,hazmatcoin,HazMatCoin,1.99077e-05,4.0007999999999997e-08,497.5929814037192,497.5929814037192,398.154,17.306569698641287,17.306569698641287,2.02214995088935,2.02214995088935,880,1,False,False,False,False,False,False,False,2015-04-17
XPY,2014-12-16,2014-12-16,manfred87,1,17,5,356,37,34,3,0.01351351,0.001219018,0.001220187,9.695866e-05,1.897509e-05,9.696492e-05,1.8975170000000002e-05,4.0,1.301587e-05,3.97262e-05,0,paycoin2,PayCoin,0.0415154,5.96879e-05,695.5413073671547,695.5413073671547,695.5413073671547,7.298902326304103,9.969412542973648,2.148104623200373,2.5630333685349087,23131009,12,False,False,False,True,False,False,True,2014-12-16
CAT,2013-12-28,2013-12-25,nod,1,142,8,18,166,158,8,0.01664841,0.0042921109999999995,0.004309808,0.0004698683,5.84974e-05,0.00047002910000000004,5.8498009999999995e-05,3.0,7.643086999999999e-05,0.0002814696,0.0,catcoin,Catcoin,0.00104993,4.3793699999999995e-06,239.74452946428363,239.74452946428363,149.77603423680455,12.563688706165225,13.217895930632045,1.6608052044960977,1.7170678839288689,1511629,1,False,False,False,True,False,False,False,2013-12-28
PIGGY,2014-06-15,2014-06-01,piggycoin,1,320,4,96,223,215,8,0.006060606,0.001567526,0.001569884,0.0001308366,2.3387670000000004e-05,0.00013084959999999998,2.338777e-05,3.0,5.661696e-05,0.00018459540000000002,0.0,piggycoin,Piggycoin,4.4296000000000004e-07,3.91257e-08,11.321458785401926,11.321458785401926,2.9547804393214734,4.43748259659233,4.533286374107281,1.5198762935415548,1.7524390870945985,130202,3,False,False,True,False,False,False,False,2014-06-15
FIMK,2014-07-12,2014-06-01,Eliphaz Fimk,1,81,2,1,3,3,0,0.0,0.00156562,0.001567658,0.0001308301,1.780849e-05,0.0001308408,1.780849e-05,5.0,1.2399039999999999e-06,5.140646e-06,0.0,fimkrypto,FIMKrypto,4.90907e-06,2.10431e-07,23.32864454381721,23.32864454381721,5.156271991832432,2.332871920274985,2.8602571462955293,1.3199082489119252,1.2023298321438929,4404942,2,False,False,False,False,False,False,False,2014-07-12
BTCD,2014-07-16,2014-07-10,Azeh,1,91,3,129,23,6,17,0.1264822,0.001474523,0.0014774179999999999,0.0001166099,2.1931489999999998e-05,0.0001166189,2.193163e-05,4.0,1.583735e-06,5.764048e-06,1.0,bitcoindark,BitcoinDark,0.014842,0.00022997599999999998,64.53716909590565,4.764411687286128,3.2669466529314914,2.7452828947395345,2.6636329215297327,2.2152298744855137,1.5917143998311911,8481996,8,False,False,True,True,False,True,True,2014-07-16
MNC,2013-05-03,2013-04-13,vipah,1,6,2,1,5,5,0,0.3,0.02020981,0.02084603,0.0012038630000000001,0.0001156203,0.001205443,0.0001156203,4.0,3.3216979999999996e-05,9.12782e-05,0.0,mincoin,Mincoin,0.00273946,7.61e-06,359.98160315374514,359.98160315374514,359.98160315374514,8.205768862240367,8.905392390297328,2.8299983074225334,2.8299983074225334,2777393,1,False,False,False,True,False,False,False,2013-05-03
MAX,2014-02-12,2014-01-30,maxcoinproject,1,2,1,1,147,147,0,0.01509645,0.003049752,0.0030562859999999996,0.0003070312,2.880018e-05,0.0003070883,2.880018e-05,3.0,0.0001165422,0.0003318815,0.0,maxcoin,MaxCoin,0.00428743,1.69782e-05,252.52559164104562,252.52559164104562,248.5567530276591,30.383060804532967,33.241796143541364,1.9727218978476115,2.4582582517113254,35949859,9,False,False,False,True,False,True,True,2014-02-12
FFC,2014-10-26,2014-01-16,argakiig,1,271,8,25,11,0,11,0.21818179999999998,0.003814267,0.00382522,3.3860429999999994e-05,4.750889e-05,3.3860429999999994e-05,4.750934e-05,inf,1.616556e-06,6.747714e-06,0.0,fireflycoin,FireFlyCoin,3.30028e-07,4.9809299999999996e-08,6.625830919125544,4.12535,4.12535,2.5500212654332297,2.1166974091548973,2.048652974376388,1.6776908756702238,2455,1,False,False,False,True,False,False,False,2014-10-26
GUA,2014-11-23,2014-12-21,guaranycrypto,1,0,0,1,3,3,0,0.3333333,0.001218598,0.001220052,9.643464e-05,1.434741e-05,9.644e-05,1.434741e-05,5.0,2.4644470000000003e-06,8.550606e-06,0.0,guarany,Guarany,0.00212737,6.1e-06,348.7491803278688,348.7491803278688,227.7698072805139,15.696676238411214,17.39630798295607,1.9085990336661371,2.5389558750153998,8563,1,False,False,False,False,False,False,False,2014-11-23
BEN,2014-02-27,2014-02-03,AllAboutTheBenjaminsBaby,1,415,10,1,26,25,1,0.03384615,0.0029140859999999998,0.002921265,0.0002976656,3.7718709999999996e-05,0.0002977492,3.771899e-05,4.0,9.096778e-06,3.3893579999999995e-05,0.0,benjamins,Benjamins,9.49095e-05,9.000000000000001e-07,105.455,105.455,18.009392789373813,16.513016331515846,19.135796079823876,3.655684909553941,8.062461958769816,23233,1,False,False,False,True,False,False,False,2014-02-27
GUE,2014-06-23,2014-06-18,guerillacoin,1,21,1,1,6,6,0,0.0,0.00153502,0.0015368439999999999,0.0001242423,1.730852e-05,0.0001242505,1.730852e-05,4.0,1.4209260000000001e-06,5.436087e-06,0.0,guerillacoin,Guerillacoin,0.000212307,1.0186e-06,208.43019831140785,208.43019831140785,46.97057522123894,16.351118387841822,19.470843156120075,1.5533841208787382,1.487979079460741,1273921,2,False,False,False,True,False,False,False,2014-06-23
DTC,2013-12-07,2013-12-04,mstfck,1,38,4,11,10,6,4,0.36111109999999996,0.006267815,0.006335975,0.0006208276,7.492404e-05,0.0006214069999999999,7.492695999999999e-05,4.0,1.0426680000000002e-05,3.6331740000000006e-05,0.0,datacoin,Datacoin,0.00114352,2.7537700000000002e-06,415.2561760786122,415.2561760786122,164.36497441499458,10.915035962035509,12.014546444649339,5.443827799382058,5.443827799382058,424591,2,False,False,False,False,False,True,False,2013-12-07
GUN,2014-05-11,2014-03-04,guncoin_support,1,96,1,1,0,0,0,0.0,2.335466e-05,2.335466e-05,2.335466e-05,2.335466e-05,2.335466e-05,2.335466e-05,inf,1.142853e-06,4.910684e-06,1.0,guncoin,Guncoin,2.87542e-06,5.994690000000001e-08,47.966116679928405,47.966116679928405,31.9518092638934,10.015334962864577,10.187945629618856,1.4770592423380915,1.4783512391279878,34373,3,False,False,False,False,False,False,False,2014-05-11
YBC,2014-01-16,2013-07-04,mikaelh,1,142,4,17,20,16,4,0.1684211,0.01146983,0.01161472,0.0008684681,0.0001065098,0.0008690897,0.00010651270000000001,4.0,1.643221e-05,5.3668009999999996e-05,0.0,ybcoin,YbCoin,0.00681789,0.0007374139999999999,9.245674749869137,9.245674749869137,3.0717581120412336,2.3238536866578468,2.3983849418267624,2.056517448129854,2.058176836555435,19221329,6,False,False,False,False,True,False,False,2014-01-16
BET,2013-12-14,2013-10-31,betacoindev,1,84,4,1,11,11,0,0.03636364,0.009141163,0.009226219,0.0007074489,5.8193669999999996e-05,0.000707972,5.8193669999999996e-05,4.0,3.450538e-05,0.0001100885,0,betacoin,BetaCoin,0.000200238,5.2e-07,385.0730769230769,385.0730769230769,185.40555555555557,19.795805479409406,22.349908468835483,7.024577868450622,7.024577868450622,166065,1,False,False,False,True,False,False,False,2013-12-14
TTY,2015-01-18,2014-07-16,TrinityCoin,1,65,1,1,57,57,0,0.01378446,0.0014553779999999998,0.00145687,0.0001145816,1.656671e-05,0.00011458940000000001,1.656671e-05,4.0,1.0458519999999998e-05,3.487475e-05,1.0,trinity,Trinity,8.53388e-06,9.940519999999999e-08,85.84943242405829,85.84943242405829,85.84943242405829,4.340224567821246,4.5074921869565,3.0676448445210096,2.8508735959191647,18,0,False,False,False,False,False,False,False,2015-01-18
HUC,2014-02-14,2013-09-25,snailbrain,1,352,15,811,196,157,39,0.05428493,0.009204118,0.009290523,0.0007311106,9.026421e-05,0.0007314821,9.026646999999998e-05,3.0,0.00016201020000000002,0.00041228269999999995,0.0,huntercoin,HunterCoin,0.00155347,4.01728e-06,386.69696909351603,386.69696909351603,198.7129140944988,14.104287755848027,17.484531416260527,1.9593640684198352,2.2860199106244066,469247,2,False,False,True,True,False,False,False,2014-02-14
