coin,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
BSC,2015-07-13,2015-04-27,2015-07-13,Bowscoin_dev,1,58,1,77
FC2,2014-06-12,2014-04-30,2014-06-12,FuelCoinTeam,1,26,1,43
AUM,2015-08-20,2015-01-23,2015-08-20,mprep,1,572,372,1284
LTC,2013-04-28,2011-10-14,2013-04-28,wannaBhacker,1,68,1,623
LTB,2014-03-12,2014-02-15,2014-03-12,westlist,1,2,1,26
UNITY,2014-09-30,2014-08-30,2014-09-30,jl777,1,565,7,281
AUR,2014-02-27,2014-02-02,2014-02-27,balduro,1,31,1,25
XTC,2014-10-25,2014-08-29,2014-10-25,ASIC-8Tile,1,102,1,367
FETISH,2014-10-20,2014-09-19,2014-10-20,altcoin.center,1,51,3,42
BTQ,2014-07-29,2014-02-15,2014-07-29,BitQuark,1,340,1,164
CAT,2013-12-27,2013-12-24,2013-12-27,nod,1,142,8,20
XWC,2014-04-18,2014-09-30,2014-04-18,WhitecoinFoundation,1,0,0,-165
ALN,2014-03-15,2014-01-09,2014-03-15,Aliencoin,1,84,6,65
ALF,2013-07-07,2013-06-21,2013-07-07,pinarello,1,64,3,26
SBC,2013-07-07,2013-06-07,2013-07-07,artos,1,59,4,30
ORB,2013-12-21,2013-12-31,2013-12-21,Foxeevna,1,1,0,34
MMC,2013-12-24,2013-12-14,2013-12-24,FreeTrade,1,663,36,815
GLYPH,2014-06-17,2014-01-08,2014-06-17,AliceWonder,1,211,4,372
I0C,2013-11-27,2013-08-17,2013-11-27,rsnel,1,63,2,120
BAT,2014-03-03,2014-01-10,2014-03-03,infofront,1,163,3,892
SSV,2014-09-07,2014-06-22,2014-09-07,SSVCoin,1,14,1,77
FUTC,2015-07-21,2015-02-19,2015-07-21,FUTCOIN,1,3,1,152
TOR,2014-07-12,2013-05-29,2014-07-12,Time,1,1,1,409
TOP,2014-02-17,2014-02-02,2014-02-17,topdude,1,44,5,15
CAP,2013-07-04,2013-09-20,2013-07-04,dmatthewstewart,1,103,1,146
RIPO,2014-08-23,2014-08-01,2014-08-23,RipoffCoinDevTeam,1,47,1,22
MOTO,2014-06-03,2014-05-01,2014-06-03,WilliamLie2,1,84,2,33
ERC,2015-06-18,2014-05-03,2015-06-18,EuropeCoin,1,273,5,411
XCR,2014-08-07,2014-06-16,2014-08-07,crypti,1,101,4,66
XCP,2014-02-15,2014-01-02,2014-02-15,PhantomPhreak,1,147,1,44
CELL,2015-01-25,2015-01-08,2015-01-25,koko2530,1,52,1,205
XPB,2015-03-31,2015-01-01,2015-03-31,XPB,1,74,1,89
VPN,2014-11-23,2014-07-22,2014-11-23,vpncoin,1,303,7,124
HUGE,2015-04-24,2015-01-25,2015-04-24,hardforkcoin,1,417,23,266
DCYP,2015-10-24,2015-10-06,2015-10-24,Atomictie,1,42,1,20
NEOS,2014-08-25,2014-08-26,2014-08-25,twoturtles,1,33,2,208
STV,2014-10-20,2014-09-21,2014-10-20,sativacoin,1,38,1,29
ZRC,2015-03-03,2015-03-18,2015-03-03,gnargnar,1,105,0,302
RZR,2014-06-21,2014-06-08,2014-06-21,RazorTech,1,39,1,13
STR,2014-02-02,2013-09-05,2014-02-02,nzdude,1,79,12,238
CZC,2014-10-20,2014-08-27,2014-10-20,zoata87,1,165,6,264
EXCL,2014-09-30,2015-02-12,2014-09-30,stolenjelly,1,0,0,-25
CACH,2014-02-15,2014-01-05,2014-02-15,kalgecin,1,296,6,282
JINN,2014-10-03,2015-12-02,2014-10-03,DecentralizeEconomics,1,0,0,-85
PND,2014-02-27,2014-02-14,2014-02-27,slaithe,1,42,1,331
GB,2014-08-23,2014-08-15,2014-08-23,GreenBacksTeam,1,150,2,32
XQN,2014-11-23,2014-11-11,2014-11-23,CedricQuotient,1,78,2,12
LIT,2014-07-05,2014-06-12,2014-07-05,Lightcoinproject,1,34,1,23
XUP,2015-09-22,2015-09-16,2015-09-22,TheTerminator,1,51,1,36
ZNY,2015-07-09,2014-11-07,2015-07-09,bitzeny,1,2,1,244
SAK,2015-03-08,2014-05-20,2015-03-08,SAKTeam,1,1,1,292
PRC,2014-02-20,2014-01-29,2014-02-20,inmean,1,76,4,22
MEOW,2014-01-24,2013-12-24,2014-01-24,lonestar108,1,26,2,71
PRT,2014-01-22,2013-12-31,2014-01-22,moonmoon,1,44,6,22
CHA,2014-05-20,2014-03-23,2014-05-20,magician,1,35,1,58
CHC,2015-07-16,2014-01-19,2015-07-16,Rolihlahla,1,44,1,571
MRY,2014-03-03,2014-01-20,2014-03-03,bholzer,1,293,3,216
JAY,2015-04-17,2012-12-19,2015-04-17,Benson Samuel,1,56,6,920
MMNXT,2014-10-22,2014-11-10,2014-10-22,sasha35625,1,0,0,-19
URO,2014-06-12,2014-01-27,2014-06-12,ubi4doges,1,57,1,136
MRS,2014-02-24,2014-01-27,2014-02-24,atleticofa,1,407,7,100
MRC,2014-03-03,2014-01-03,2014-03-03,MCR,1,107,6,59
UTIL,2014-09-30,2014-09-26,2014-09-30,utilitycoin,1,9,1,4
VIA,2014-07-18,2014-07-18,2014-07-18,btcdrak,1,196,5,410
DBL,2013-07-04,2013-05-15,2013-07-04,shakezula,1,582,25,74
SFR,2014-06-15,2014-04-27,2014-06-15,saffroncoin,1,362,1,49
8BIT,2015-04-18,2014-02-18,2015-04-18,Cryptocables,1,18,1,712
APC,2014-02-09,2013-11-19,2014-02-09,Fablio2,1,282,9,248
NIRO,2015-01-25,2014-06-19,2015-01-25,KryptoKash,1,84,2,220
PYC,2014-12-06,2013-08-06,2014-12-06,deppJ,1,24,2,556
GREXIT,2015-07-23,2015-06-17,2015-07-23,Nxtblg,1,1641,32,509
KORE,2014-06-21,2014-06-28,2014-06-21,Eurbids,1,0,0,-7
XLB,2014-05-12,2014-05-08,2014-05-12,Libertycoin,1,66,6,61
CAIx,2014-04-15,2014-03-13,2014-04-15,Caishen_Project,1,20,1,33
SWING,2015-09-28,2013-05-19,2015-09-28,zerodrama,1,150,14,880
NEU,2015-09-25,2015-09-24,2015-09-25,BitcoinNational,1,1059,16,1108
SLING,2015-04-21,2015-04-20,2015-04-21,DG.Slayer,1,3,1,1
PLNC,2014-04-15,2014-03-10,2014-04-15,WalutowyKrol,1,17,1,84
PKB,2015-05-18,2015-04-29,2015-05-18,ParkByte,1,43,2,19
PSEUD,2014-07-21,2014-07-03,2014-07-21,pseudocoin,1,74,3,18
CAID,2015-09-15,2015-09-05,2015-09-15,crunck,1,598,15,474
NLG,2014-04-08,2014-04-02,2014-04-08,guldencoin,1,30,1,6
TENNET,2015-08-10,2015-06-19,2015-08-10,TenneT,1,18,1,52
