symbol,name,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
JAY,Jay,2015-04-17,2012-12-19,2015-04-17,Benson Samuel,1,56,6,920
MMNXT,MMNXT,2014-10-22,2014-11-10,2014-10-22,sasha35625,1,0,0,-19
URO,Uro,2014-06-12,2014-01-27,2014-06-12,ubi4doges,1,57,1,136
MRS,Marscoin,2014-02-24,2014-01-27,2014-02-24,atleticofa,1,407,7,100
MRC,microCoin,2014-03-03,2014-01-03,2014-03-03,MCR,1,107,6,59
UTIL,UtilityCoin,2014-09-30,2014-09-26,2014-09-30,utilitycoin,1,9,1,4
VIA,Viacoin,2014-07-18,2014-07-18,2014-07-18,btcdrak,1,196,5,410
DBL,Doubloons,2013-07-04,2013-05-15,2013-07-04,shakezula,1,588,25,74
SFR,SaffronCoin,2014-06-15,2014-04-27,2014-06-15,saffroncoin,1,362,1,49
8BIT,8Bit,2015-04-18,2014-02-18,2015-04-18,Cryptocables,1,18,1,712
APC,Applecoin,2014-02-09,2013-11-19,2014-02-09,Fablio2,1,282,9,248
NIRO,Nexus,2015-01-25,2014-06-19,2015-01-25,KryptoKash,1,84,2,220
PYC,Paycoin,2014-12-06,2013-08-06,2014-12-06,deppJ,1,24,2,556
GREXIT,Grexit,2015-07-23,2015-06-17,2015-07-23,Nxtblg,1,1631,32,509
KORE,KoreCoin,2014-06-21,2014-06-28,2014-06-21,Eurbids,1,0,0,-7
XLB,Libertycoin,2014-05-13,2014-05-08,2014-05-13,Libertycoin,1,67,6,62
SWING,Swing,2015-09-28,2013-05-19,2015-09-28,zerodrama,1,150,14,880
NEU,NeuCoin,2015-09-25,2015-09-24,2015-09-25,BitcoinNational,1,1058,16,1108
SLING,Sling,2015-04-21,2015-04-20,2015-04-21,DG.Slayer,1,3,1,1
PLNC,PLNcoin,2014-04-15,2014-03-10,2014-04-15,WalutowyKrol,1,17,1,84
CAIX,CAIx,2014-04-15,2014-03-13,2014-04-15,Caishen_Project,1,20,1,33
PKB,ParkByte,2015-05-18,2015-04-29,2015-05-18,ParkByte,1,43,2,19
PSEUD,PseudoCash,2014-07-21,2014-07-03,2014-07-21,pseudocoin,1,74,3,18
CAID,Coinaid,2015-09-15,2015-09-05,2015-09-15,crunck,1,600,15,474
NLG,Gulden,2014-04-08,2014-04-02,2014-04-08,guldencoin,1,30,1,6
TENNET,TenneT,2015-08-10,2015-06-19,2015-08-10,TenneT,1,18,1,52
GCC,GuccioneCoin,2015-08-20,2015-06-25,2015-08-20,GCCTeam1,1,80,1,56
DOGED,DogeCoinDark,2014-10-25,2014-10-09,2014-10-25,Dogedarkdev,1,46,2,16
WOP,WorldPay,2015-10-12,2015-10-07,2015-10-12,WorldPay,1,25,1,5
CSC,CasinoCoin,2013-07-25,2013-07-18,2013-07-25,transcoder,1,46,4,14
GCN,GCoin,2014-11-16,2014-04-04,2014-11-16,Mr G,1,20,1,226
SHA,SHACoin,2014-06-25,2014-03-17,2014-06-25,matt4054,1,168,4,468
