symbol,name,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
GRN,GraniteCoin,2014-06-12,2014-06-26,Zywiec,https://bitcointalk.org/index.php?topic=666469.0,2014-06-26
DIGS,Diggits,2015-07-16,2015-07-03,DIGGITSquad,https://bitcointalk.org/index.php?topic=1107592.0,2015-07-03
BLC,Blakecoin,2014-02-12,2013-10-07,BlueDragon747,https://bitcointalk.org/index.php?topic=306894.0,2013-10-07
COOL,CoolCoin,2014-06-28,2014-05-08,CoolloveCoin,https://bitcointalk.org/index.php?topic=601045.0,2014-05-08
HYPER,Hyper,2014-05-31,2010-11-12,kiba,https://bitcointalk.org/index.php?topic=1763.0,2010-11-12
MI,Xiaomicoin,2015-09-04,2015-05-25,she9888,https://bitcointalk.org/index.php?topic=1068526.0,2015-05-25
EMC2,Einsteinium,2014-04-09,2014-03-01,einsteinium,https://bitcointalk.org/index.php?topic=494708.0,2014-03-01
SPR,SpreadCoin,2014-10-26,2014-11-10,Riseman,https://bitcointalk.org/index.php?topic=853976.0,2014-11-10
EKN,Elektron,2015-04-11,2015-04-10,ElektronFoundation,https://bitcointalk.org/index.php?topic=1019681.0,2015-04-10
DON,Donationcoin,2014-06-15,2014-04-21,Donationcoin,https://bitcointalk.org/index.php?topic=578695.0,2014-04-21
FJC,FujiCoin,2015-06-14,2014-06-08,motty,https://bitcointalk.org/index.php?topic=644601.0,2014-06-08
BLITZ,Blitz,2014-11-16,2012-06-13,Eli,https://bitcointalk.org/index.php?topic=87347.0,2012-06-13
REP,Augur,2015-10-27,2015-11-02,Komonec,https://bitcointalk.org/index.php?topic=1235050.0,2015-11-02
GLC,GlobalCoin,2013-08-04,2013-06-26,SistaFista,https://bitcointalk.org/index.php?topic=243911.0,2013-06-26
GLD,GoldCoin,2013-06-14,2013-05-18,TheSwede75,https://bitcointalk.org/index.php?topic=208866.0,2013-05-18
XSEED,BitSeeds,2015-04-21,2015-09-28,worth,https://bitcointalk.org/index.php?topic=1195172.0,2015-09-28
CTM,ContinuumCoin,2014-02-27,2014-02-05,corsaro,https://bitcointalk.org/index.php?topic=450148.0,2014-02-05
CTO,Crypto,2015-05-18,2014-11-21,CryptoNext,https://bitcointalk.org/index.php?topic=867408.0,2014-11-21
SMC,SmartCoin,2014-02-06,2014-01-06,smartcoin,https://bitcointalk.org/index.php?topic=400893.0,2014-01-06
RED,RedCoin,2014-01-24,2013-06-30,Redcoin,https://bitcointalk.org/index.php?topic=246693.0,2013-06-30
CLAM,Clams,2014-08-25,2014-05-24,SuperClam,https://bitcointalk.org/index.php?topic=623147.0,2014-05-24
FCT,Factom,2015-10-05,2015-09-08,richwang01,https://bitcointalk.org/index.php?topic=1174292.0,2015-09-08
LTBC,LTBcoin,2014-08-20,2014-07-27,crackerhead,https://bitcointalk.org/index.php?topic=712944.0,2014-07-27
BST,BitStone,2015-11-30,2015-06-12,BitStoneDev,https://bitcointalk.org/index.php?topic=1088486.0,2015-06-12
DROP,Faucetcoin,2015-11-02,2015-11-14,Lahvacekmoney,https://bitcointalk.org/index.php?topic=1249796.0,2015-11-14
FCN,Fantomcoin,2014-06-08,2014-04-26,amphibian,https://bitcointalk.org/index.php?topic=585611.0,2014-04-26
BSC,BowsCoin,2015-07-13,2015-04-27,Bowscoin_dev,https://bitcointalk.org/index.php?topic=1039949.0,2015-04-27
FC2,FuelCoin,2014-06-12,2014-04-30,FuelCoinTeam,https://bitcointalk.org/index.php?topic=589879.0,2014-04-30
AUM,Alexium,2015-08-20,2015-01-23,mprep,https://bitcointalk.org/index.php?topic=934017.0,2015-01-23
LTC,Litecoin,2013-04-28,2011-10-14,wannaBhacker,https://bitcointalk.org/index.php?topic=48192.0,2011-10-14
LTB,LiteBar,2014-03-12,2014-02-12,Scooby903,https://bitcointalk.org/index.php?topic=461108.0,2014-02-12
UNITY,SuperNET,2014-10-01,2014-08-30,jl777,https://bitcointalk.org/index.php?topic=762346.0,2014-08-30
AUR,Auroracoin,2014-02-27,2014-02-02,balduro,https://bitcointalk.org/index.php?topic=446062.0,2014-02-02
XTC,TileCoin,2014-10-25,2014-08-29,ASIC-8Tile,https://bitcointalk.org/index.php?topic=761852.0,2014-08-29
FETISH,Fetish,2014-10-20,2014-09-19,altcoin.center,https://bitcointalk.org/index.php?topic=789338.0,2014-09-19
BTQ,BitQuark,2014-07-29,2014-02-15,BitQuark,https://bitcointalk.org/index.php?topic=468018.0,2014-02-15
CAT,Catcoin,2013-12-28,2013-12-24,nod,https://bitcointalk.org/index.php?topic=382685.0,2013-12-24
XWC,WhiteCoin,2014-04-18,2014-09-30,WhitecoinFoundation,https://bitcointalk.org/index.php?topic=804288.0,2014-09-30
ALN,Aliencoin,2014-03-15,2014-01-09,Aliencoin,https://bitcointalk.org/index.php?topic=407460.0,2014-01-09
QUIT,QuitDough,2015-03-22,2015-04-09,QuitDough,https://bitcointalk.org/index.php?topic=1019208.0,2015-04-09
ALF,AlphaCoin,2013-07-07,2013-06-21,pinarello,https://bitcointalk.org/index.php?topic=239977.0,2013-06-21
SBC,StableCoin,2013-07-07,2013-06-07,artos,https://bitcointalk.org/index.php?topic=227766.0,2013-06-07
ORB,Orbitcoin,2013-12-21,2013-12-31,Foxeevna,https://bitcointalk.org/index.php?topic=393396.0,2013-12-31
