coin,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_weighted,user1_pagerank_weighted
MOON,2014-01-06,2011-08-22,joulesbeef,1,290,7,46,64,19,45,0.1813559,0.03077312,0.03167154,0.001789217,0.0004250574,0.001790824,0.0004251222,6664.74,3,0.0003153893,0.0006373704
XCR,2014-08-07,2011-06-27,ThiagoCMC,1,347,18,1,1,0,1,0.0,0.03905854,0.04040979,0.0003160556,0.0005301462,0.0003160556,0.0005302204,0.0,inf,2.51742e-05,7.879974e-05
XCP,2014-02-15,2013-05-27,maxpower,1,255,2,21,18,2,16,0.254902,0.0130031,0.01311813,0.0009184464,0.0001235373,0.0009192522,0.0001235412,1.45,4,5.608948e-06,2.082429e-05
BTB,2013-05-09,2013-01-02,xorxor,1,307,8,1,8,8,0,0.3214286,0.0270035,0.02768001,0.001430531,0.0001580278,0.0014323,0.0001580278,0.0,3,3.644596e-05,9.089704e-05
BTM,2014-08-19,2013-07-27,dree12,1,545,9,711,269,146,123,0.1109214,0.01093306,0.01106068,0.000832881,9.986531e-05,0.0008335105,9.986852e-05,246628.3,3,0.0004301231,0.0006507701
SSD,2014-08-12,2013-08-29,Tommo_Aus,1,257,2,27,7,1,6,0.3809524,0.009231618,0.009310818,6.276676e-05,9.388085e-05,6.276676e-05,9.388334e-05,47.83333,inf,3.535106e-06,1.468258e-05
JBS,2014-09-07,2014-03-24,FallingKnife,1,310,2,130,20,1,19,0.08947368,0.001801603,0.001805215,0.0001848311,2.865201e-05,0.0001848621,2.865223e-05,0.0,3,3.934549e-06,8.023729e-06
UTIL,2014-09-30,2014-09-27,utilitycoin,1,9,1,1,28,28,0,0.04232804,0.001303286,0.001304571,0.0001042358,1.516323e-05,0.0001042442,1.516323e-05,0.0,4,2.60521e-06,1.013886e-05
CURE,2014-05-26,2011-07-22,klaus,1,164,12,42,117,77,40,0.1248457,0.03783521,0.03911975,0.0018004,0.0004760531,0.001802606,0.0004761178,10195.0,3,0.000840101,0.001550195
DGB,2014-02-06,2013-08-29,Tommo_Aus,1,157,2,27,7,1,6,0.3809524,0.009231618,0.009310818,6.276676e-05,9.388085e-05,6.276676e-05,9.388334e-05,47.83333,inf,3.535106e-06,1.468258e-05
DGC,2013-06-09,2013-01-02,xorxor,1,352,9,1,8,8,0,0.3214286,0.0270035,0.02768001,0.001430531,0.0001580278,0.0014323,0.0001580278,0.0,3,3.644596e-05,9.089704e-05
ECC,2014-03-20,2012-08-19,markm,1,3977,47,566,262,44,218,0.1335017,0.02922027,0.03009098,0.0015609,0.0003099376,0.001563142,0.0003099686,27595.02,3,0.0002177159,0.000385711
DGD,2015-01-28,2014-11-23,darkgold,1,185,2,1,29,29,0,0.0591133,0.001245206,0.001246379,9.890015e-05,1.455244e-05,9.890779e-05,1.455244e-05,0.0,4,3.629739e-06,1.173051e-05
ASC,2013-12-31,2013-01-02,xorxor,1,480,12,1,8,8,0,0.3214286,0.0270035,0.02768001,0.001430531,0.0001580278,0.0014323,0.0001580278,0.0,3,3.644596e-05,9.089704e-05
KUMA,2014-08-02,2014-04-27,kumacoinproject,1,1,1,1,4,4,0,0.0,0.001654287,0.001656689,0.0001550201,1.964019e-05,0.0001550371,1.964019e-05,0.0,4,1.75482e-06,6.622058e-06
QTL,2014-07-12,2013-08-29,Tommo_Aus,1,252,2,27,7,1,6,0.3809524,0.009231618,0.009310818,6.276676e-05,9.388085e-05,6.276676e-05,9.388334e-05,47.83333,inf,3.535106e-06,1.468258e-05
