Coin,Coin-href,Name,hashing_algorithm,genesis_date,market_capitalization,hashrate,block_time,available/total_supply,repo_stars/forks/watches,bing_results,alexa_ranking
"Magi","https://www.coingecko.com/en/coins/magi","Magi","null","September 15, 2014 (about 1 year)","$32,183.93","N/A","3.0 Minute","3.44 Million
                      /
                      25 Million","","",""
"LiteDoge","https://www.coingecko.com/en/coins/litedoge","LiteDoge","Scrypt","March 16, 2015 (9 months)","","N/A","1.067 Minute","9.98 Billion
                      /
                      35 Billion","","",""
"Viacoin","https://www.coingecko.com/en/coins/viacoin","Viacoin","Scrypt","July 17, 2014 (over 1 year)","$96,899.81","720 GH/s","2.0 Minute","19 Million
                      /
                      92 Million","","",""
"Groestlcoin","https://www.coingecko.com/en/coins/groestlcoin","Groestlcoin","Groestl","March 22, 2014 (over 1 year)","$54,297.27","879 MH/s","1.0 Minute","61.2 Million
                      /
                      105 Million","","",""
"Orbitcoin","https://www.coingecko.com/en/coins/orbitcoin","Orbitcoin","NeoScrypt","July 28, 2013 (over 2 years)","$41,114.44","12.9 MH/s","1.0 Minute","2.32 Million
                      /
                      3.77 Million","","",""
"FuelCoin","https://www.coingecko.com/en/coins/fuelcoin","FuelCoin","X11","null","$575,709.83","N/A","null","100 Million
                      /
                      336 Million","","",""
"Phoenixcoin","https://www.coingecko.com/en/coins/phoenixcoin","Phoenixcoin","NeoScrypt","May  8, 2013 (over 2 years)","$5,463.28","2.94 MH/s","1.5 Minute","41.1 Million
                      /
                      98 Million","","",""
"Piggycoin","https://www.coingecko.com/en/coins/piggycoin","Piggycoin","X11","June 10, 2014 (over 1 year)","$18,883.69","N/A","1.0 Minute","478 Million
                      /
                      473 Million","","",""
"Unbreakablecoin","https://www.coingecko.com/en/coins/unbreakablecoin","Unbreakablecoin","SHA-256","March 19, 2014 (over 1 year)","$12,252.94","N/A","5.0 Minute","2.27 Million
                      /
                      80 Million","","",""
"Quatloo","https://www.coingecko.com/en/coins/quatloo","Quatloo","Scrypt","June 27, 2014 (over 1 year)","$21,571.65","537 MH/s","2.25 Minute","5.06 Million
                      /
                      100 Million","","",""
"Cannacoin","https://www.coingecko.com/en/coins/cannacoin","Uh Oh! We're sorry, but something went wrong.","null","null","null","null","null","null","","",""
"Curecoin","https://www.coingecko.com/en/coins/curecoin","Curecoin","null","null","$284,590.30","N/A","null","null","","",""
"Rubycoin","https://www.coingecko.com/en/coins/rubycoin","Rubycoin","Proof of Stake","February 24, 2014 (almost 2 years)","$3,901,128.72","N/A","null","null","","",""
"Dirac","https://www.coingecko.com/en/coins/dirac","Dirac","Blake-256","May 19, 2014 (over 1 year)","$1,478.21","N/A","3.0 Minute","452 Thousand
                      /
                      2.27 Million","","",""
"MonetaryUnit","https://www.coingecko.com/en/coins/monetaryunit","MonetaryUnit","Quark","July 26, 2014 (over 1 year)","$10,690.01","244 MH/s","0.67 Minute","76.9 Million
                      /
                      1 Quadrillion","","",""
"Cloakcoin","https://www.coingecko.com/en/coins/cloakcoin","Cloakcoin","X13","June  3, 2014 (over 1 year)","$197,170.11","N/A","1.0 Minute","4.6 Million
                      /
                      4.5 Million","","",""
"Bitz","https://www.coingecko.com/en/coins/bitz","Bitz","X11","March  1, 2015 (9 months)","$4,620.96","N/A","1.0 Minute","1.97 Million
                      /
                      2 Million","","",""
"Marinecoin","https://www.coingecko.com/en/coins/marinecoin","Marinecoin","null","January 14, 2014 (almost 2 years)","","N/A","null","","","",""
"APEXcoin","https://www.coingecko.com/en/coins/apexcoin","APEXcoin","X13","July 11, 2014 (over 1 year)","$13,899.11","N/A","1.0 Minute","6.13 Million
                      /
                      6 Million","","",""
"ShadowCash","https://www.coingecko.com/en/coins/shadowcash","ShadowCash","Proof of Stake","July 19, 2014 (over 1 year)","$543,687.88","N/A","1.0 Minute","6.5 Million
                      /
                      1.3 Billion","","",""
"Hobonickels","https://www.coingecko.com/en/coins/hobonickels","Hobonickels","Scrypt","July 24, 2013 (over 2 years)","$99,714.73","N/A","0.5 Minute","16.6 Million
                      /
                      120 Million","","",""
"Sync","https://www.coingecko.com/en/coins/sync","Sync","Proof of Stake","May 17, 2014 (over 1 year)","$45,407.42","N/A","1.0 Minute","1.18 Thousand
                      /
                      1 Thousand","","",""
"Pandacoin","https://www.coingecko.com/en/coins/pandacoin","Pandacoin","Scrypt","February 15, 2014 (almost 2 years)","$59,041.06","N/A","1.0 Minute","32.5 Billion
                      /
                      32 Billion","","",""
"Zeitcoin","https://www.coingecko.com/en/coins/zeitcoin","Zeitcoin","Proof of Stake","February 28, 2014 (almost 2 years)","$99,550.84","N/A","0.5 Minute","33.2 Billion
                      /
                      99 Billion","","",""
"Earthcoin","https://www.coingecko.com/en/coins/earthcoin","Earthcoin","Scrypt","December 21, 2013 (almost 2 years)","$775,514.33","10 GH/s","1.0 Minute","9.01 Billion
                      /
                      13.5 Billion","","",""
"QuazarCoin","https://www.coingecko.com/en/coins/quazarcoin","QuazarCoin","Cryptonight","May  8, 2014 (over 1 year)","$4,526.78","N/A","2.0 Minute","3.15 Million
                      /
                      18.4 Million","","",""
"Horizon","https://www.coingecko.com/en/coins/horizon","Horizon","Proof of Stake","null","$219,388.81","N/A","2.0 Minute","988 Million
                      /
                      1 Billion","","",""
"BitZeny","https://www.coingecko.com/en/coins/bitzeny","BitZeny","null","November  8, 2014 (about 1 year)","$7,334.61","N/A","1.5 Minute","75.6 Million
                      /
                      250 Million","","",""
"NXTventure","https://www.coingecko.com/en/coins/nxtventure","NXTventure","null","null","$152,718.00","N/A","null","null","","",""
"XCurrency","https://www.coingecko.com/en/coins/xcurrency","XCurrency","Proof of Stake","May  7, 2014 (over 1 year)","$73,665.44","N/A","90.0 Minute","5.64 Million
                      /
                      ?","","",""
