coin, max_price, min_price, severity_to_min_price, severity_to_min_price_after_max, severity_to_last, severity_to_average, severity_to_average_after_max, severity_to_average_volume_weighted, severity_to_average_after_max_volume_weighted, total_volume, market_num, BTC-E, Kraken, Poloniex, Cryptsy, BTC38, BTER, Bittrex
MZC, 1047.48249416, 0.000125656, 1.1996e-07, 1047.48249416, 562.138754183, 80.7094389639, 84.8941831758, 2.1058287421, 2.06103640262, 4840138, 3, False, False, False, True, False, False, True
APC, 16.1968417011, 0.000202467, 1.25004e-05, 16.1968417011, 3.67864313163, 4.59917580849, 4.72445606937, 2.31719525661, 2.56630125866, 6015055, 1, False, False, False, False, True, False, False
PYC, 47.3269736842, 7.1937e-05, 1.52e-06, 47.3269736842, 47.3269736842, 9.91166625601, 11.8057380513, 2.05556299038, 2.05494826767, 22280, 1, False, False, False, True, False, False, False
FFC, 6.62583091913, 3.30028e-07, 4.98093e-08, 3.31299860163, 3.30028, 2.54831650092, 2.11500178833, 2.06273415876, 1.69903498473, 2501, 1, False, False, False, True, False, False, False
XDQ, 224.416666667, 0.00142729, 6.36e-06, 224.416666667, 137.758667284, 6.68273373842, 6.86776075976, 3.21991952554, 3.28437102708, 199335, 2, False, False, False, False, False, False, True
LKY, 619.574375, 9.91319e-05, 1.6e-07, 619.574375, 95.3191346154, 8.70436018079, 12.4964990605, 4.68685632871, 4.68685632871, 310049, 2, False, False, False, True, False, False, False
EMD, 56.6445511943, 6.002e-05, 1.05959e-06, 56.6445511943, 40.8299319728, 12.1904163812, 12.1904163812, 6.44746498669, 6.44746498669, 51496, 1, False, False, False, True, False, False, False
GUA, 348.749180328, 0.00212737, 6.1e-06, 348.749180328, 303.91, 15.6979486975, 17.3978857538, 1.90882052279, 2.53939094345, 8564, 1, False, False, False, False, False, False, False
BEN, 105.455, 9.49095e-05, 9e-07, 105.455, 21.7184210526, 16.5201821675, 19.1458955037, 3.63923751352, 7.98754245907, 23102, 1, False, False, False, True, False, False, False
CRW, 38.5186923077, 5.00743e-05, 1.3e-06, 38.5186923077, 13.9482729805, 4.10532316969, 4.34941485056, 2.82193379987, 3.10226725355, 11136, 1, False, False, False, False, False, False, False
GUE, 208.430198311, 0.000212307, 1.0186e-06, 208.430198311, 45.0596282862, 16.3504247506, 19.4698423355, 1.55340295824, 1.48800748058, 1273937, 2, False, False, False, True, False, False, False
KORE, 46.4613782051, 0.000289919, 6.24e-06, 46.4613782051, 14.8296163683, 3.93113138275, 4.40699728109, 1.42329915857, 1.85763716677, 734133, 1, False, False, False, False, False, False, True
BELA, 167.134525797, 9.99894e-06, 5.98257e-08, 167.134525797, 16.6649, 15.9182483795, 15.9689865907, 3.75780683131, 3.7566751838, 19184, 1, False, False, True, False, False, False, False
GUN, 47.9661166799, 2.87542e-06, 5.99469e-08, 47.9661166799, 31.9491111111, 10.0153343146, 10.1879449572, 1.47705924217, 1.47835123896, 34373, 3, False, False, False, False, False, False, False
MWC, 14.3784955387, 4.66355e-06, 3.24342e-07, 5.48652941176, 5.48652941176, 2.03107097267, 1.95949736139, 1.80536561263, 1.76062980274, 296690, 2, False, False, False, False, False, False, True
CESC, 47.7025721622, 4.76532e-06, 9.98965e-08, 11.4997683308, 7.564, 6.74131978433, 4.24205284907, 4.69330656335, 3.68462444928, 33232, 3, False, False, False, False, False, False, False
CLOAK, 183.747824062, 0.00331448, 1.80382e-05, 183.747824062, 11.2668051302, 12.4393079163, 16.4167165698, 3.15124803686, 2.19781520036, 17024961, 5, False, False, False, True, False, False, True
IFC, 78.6065207682, 1.936e-07, 2.4629e-09, 11.0373765707, 11.0373765707, 4.74248838642, 2.17700197265, 1.66673048736, 1.62913864416, 11977465, 7, False, False, True, True, False, True, False
YBC, 9.24567474987, 0.00681789, 0.000737414, 9.24567474987, 2.94966708632, 2.32371639639, 2.39823207056, 2.05639717723, 2.05805619063, 19221438, 6, False, False, False, False, True, False, False
VIOR, 140.577173913, 0.000129331, 9.2e-07, 140.577173913, 42.8248344371, 5.9201220317, 7.24684554864, 2.66620196137, 2.14838256692, 274720, 1, False, False, False, False, False, False, True
BOB, 6.44876938777, 5.99673e-06, 9.29903e-07, 5.30684070796, 2.998365, 2.80090361891, 2.74871889434, 2.1961245908, 1.82881306386, 7864, 1, False, False, False, False, False, False, True
BET, 385.073076923, 0.000200238, 5.2e-07, 385.073076923, 196.311764706, 19.7960233342, 22.3501887671, 7.02303437598, 7.02303437598, 166027, 1, False, False, False, True, False, False, False
FLAP, 200.515262515, 4.92666e-08, 2.457e-10, 200.515262515, 23.2894960764, 12.8547315827, 12.8547315827, 2.25767156878, 2.25767156878, 381431, 3, False, False, False, True, False, False, False
BVC, 69.2434173433, 9.82481e-06, 1.41888e-07, 4.89202969631, 4.02950102944, 4.03186960901, 2.43472533928, 2.58888405008, 1.51347398013, 2667, 3, False, False, False, False, False, False, False
LSD, 15.934769534, 7.18e-05, 4.50587e-06, 2.02882170105, 2.02882170105, 4.21444430522, 1.32405144991, 1.79332474061, 1.02320234781, 79050, 1, False, False, False, True, False, False, False
SHIBE, 414.557, 4.14557e-06, 1e-08, 414.557, 31.889, 26.0518113224, 30.0787287613, 1.7966933783, 2.17556101087, 616302, 1, False, False, False, False, False, False, True
MARYJ, 46.3209307866, 6.999e-05, 1.51098e-06, 8.81486146096, 8.81486146096, 5.11685836099, 1.53762220351, 2.72356384436, 1.30771126045, 506846, 2, False, False, False, False, False, False, True
START, 52.7916939922, 0.000740583, 1.40284e-05, 1.65330109702, 1.26546496567, 5.77045041068, 1.28671765664, 2.5389362024, 1.29117257371, 2734895, 6, False, False, False, True, False, False, True
ORO, 29217.262619, 0.000292196, 1.00008e-08, 541.53492596, 531.265454545, 49.1119617489, 45.2371559374, 19.4006999854, 53.5904991108, 6252, 0, False, False, False, False, False, False, False
QCN, 2024.97, 0.00809988, 4e-06, 2024.97, 2024.97, 56.8230091578, 56.8230091578, 2.17730454471, 2.17730454471, 211773, 1, False, False, False, False, False, False, False
PLNC, 150.255755186, 2.70543e-05, 1.80055e-07, 150.255755186, 12.0241333333, 7.67337713803, 9.05982234691, 1.85453556841, 2.00813833195, 39876, 1, False, False, False, False, False, False, False
LTCD, 48.0085349756, 2.73146e-05, 5.68953e-07, 48.0085349756, 43.0837807656, 7.61597762314, 7.75492910588, 1.77210007457, 1.72958346886, 1647673, 3, False, False, False, True, False, False, False
PTC, 254.014222035, 9.89835e-05, 3.89677e-07, 254.014222035, 119.257228916, 11.9699400126, 12.2539959723, 3.36431991656, 3.3467910635, 442056, 2, False, False, False, False, False, False, True
ROX, 211.226415094, 0.00011195, 5.3e-07, 211.226415094, 20.3545454545, 13.7646206452, 16.1162140684, 1.69902340658, 2.08264193239, 1201832, 1, False, False, False, False, False, True, False
TCO, 579.317458446, 2.94861e-06, 5.0898e-09, 579.317458446, 403.079888451, 15.5590469335, 13.5376950219, 4.593687063, 2.43425774142, 999, 0, False, False, False, False, False, False, False
PSEUD, 88.6433647482, 0.000116254, 1.31148e-06, 88.6433647482, 23.2508, 8.28239337842, 8.39287364914, 1.7026686582, 1.33779161477, 147612, 1, False, False, False, True, False, False, False
BUN, 131.027972028, 1.8737e-09, 1.43e-11, 26.5773049645, 7.38549467875, 7.97550701406, 7.80260274782, 5.22294301337, 5.02027543416, 7231, 2, False, False, False, False, False, False, False
NLG, 21.948481008, 1.42702e-05, 6.50168e-07, 5.88255662963, 1.86908959454, 3.72320735801, 2.90065649782, 2.47902756127, 2.07967831081, 809782, 4, False, False, False, False, False, False, True
XDP, 9.69728855721, 0.000389831, 4.02e-05, 9.69728855721, 6.01591049383, 2.15260528732, 2.33569917366, 1.63719007987, 1.86140090212, 74863, 1, False, False, True, False, False, False, False
TTC, 51.2474723021, 1.79935e-07, 3.5111e-09, 6.08159719875, 3.5987, 3.38027753603, 3.20233562323, 2.31136199904, 2.17749809952, 35356, 1, False, False, False, True, False, False, False
OSC, 49.5783636364, 2.72681e-05, 5.5e-07, 49.5783636364, 43.9808064516, 9.71518324933, 10.6981585089, 2.57227562134, 2.24440616677, 42420, 1, False, False, False, True, False, False, False
ROS, 41.9143333333, 1.25743e-06, 3e-08, 41.9143333333, 10.4785833333, 6.04622690223, 6.46584816905, 2.2287531888, 2.41256746086, 120218, 1, False, False, False, False, False, False, True
SWIFT, 5.93123119486, 0.00043585, 7.34839e-05, 3.1986877931, 2.72505033074, 2.4326738565, 2.0547505218, 1.84833049997, 2.08484255009, 1227067, 4, False, False, False, True, False, True, True
ACOIN, 18.2397365532, 0.000166164, 9.11e-06, 18.2397365532, 18.2397365532, 3.62492560929, 3.97990780325, 2.56743388083, 2.76880561406, 33292, 1, False, False, False, True, False, False, False
TRI, 153.803900027, 0.005152, 3.34972e-05, 39.3132392217, 6.0692735956, 8.07916731424, 4.46358969598, 8.70301580952, 5.10755944378, 128018, 3, False, False, False, False, False, False, True
FIBRE, 7.05118027727, 0.0011103, 0.000157463, 5.99213138111, 4.27051601588, 2.12818276691, 2.10106338462, 1.80168377205, 1.49360720429, 745444, 3, False, False, True, True, False, False, True
LIMX, 87.4683151932, 3.49903e-05, 4.00034e-07, 87.4683151932, 10.3103084521, 11.4890754025, 11.9571500638, 3.31350982208, 4.33811817258, 28947, 5, False, False, False, True, False, False, True
GRS, 69.5540043952, 1.1489e-05, 1.65181e-07, 69.5540043952, 3.18254847645, 5.29883488347, 5.34351628016, 1.81626881259, 1.85289293437, 307754, 2, False, False, True, False, False, False, False
BLU, 17.9262071708, 1.47874e-06, 8.24904e-08, 9.86451419232, 9.86451419232, 3.86477092511, 3.29027821567, 2.60349987774, 2.76138603394, 557424, 3, False, False, False, True, False, False, False
TRC, 1013.17710197, 0.00566366, 5.59e-06, 1013.17710197, 532.383933523, 10.455267313, 11.0549588771, 14.0047123105, 14.0047123105, 2732471, 3, False, False, False, True, False, False, False
SOLE, 18.7699557547, 2.99927e-05, 1.59791e-06, 18.7699557547, 4.1085890411, 4.69608027469, 5.15950325416, 2.12176746634, 3.02726692538, 37778, 1, False, False, False, True, False, False, False
DOGED, 17.6597133455, 1.29866e-07, 7.3538e-09, 3.24866417179, 2.24437420178, 3.51695696827, 2.39528689226, 1.60427942452, 1.49457928744, 357371, 9, False, False, False, True, False, False, True
CSC, 87.9359433962, 9.32121e-05, 1.06e-06, 87.9359433962, 1.56764379415, 11.2433425641, 15.2209165389, 4.33419930596, 4.33419930596, 400934, 2, False, False, False, True, False, False, False
GCN, 19.0515759312, 1.9947e-09, 1.047e-10, 9.23472222222, 5.4233278956, 4.88231392349, 3.82044224987, 2.71750445701, 2.30482873879, 6966, 2, False, False, False, False, False, False, False
HBN, 17.7639358955, 0.000531163, 2.99012e-05, 17.7639358955, 16.8516180203, 5.77865380899, 7.43428285121, 2.30928060249, 2.46760937735, 676579, 1, False, False, False, True, False, False, False
SHA, 36.9011477231, 3.68779e-07, 9.9937e-09, 36.9011477231, 36.8779, 5.18574045896, 5.43609895263, 1.83492002139, 1.93012939787, 10689, 2, False, False, False, False, False, False, False
FTC, 518.764743961, 0.00475216, 9.16053e-06, 518.764743961, 275.157347415, 13.5349733338, 13.5349733338, 13.8528140354, 13.8528140354, 20588763, 11, False, False, False, True, False, True, True
GRE, 29.0596612818, 2.90152e-07, 9.9847e-09, 29.0596612818, 7.2538, 4.45248929159, 4.61809751311, 2.54380996828, 2.68918384604, 43190, 1, False, False, False, False, False, False, False
BLK, 116.457135729, 0.000560153, 4.80995e-06, 10.3388557275, 5.17739758947, 4.39063186951, 4.14854076583, 2.10519861198, 1.92860242426, 91679370, 18, False, False, True, True, True, True, True
CRACK, 35.8857331067, 1.22028e-05, 3.40046e-07, 35.8857331067, 12.081980198, 6.56107149527, 6.56107149527, 1.51230943509, 1.51230943509, 58604, 1, False, False, False, True, False, False, False
