symbol,name,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
CGN,KolschCoin,2015-04-21,2015-04-10,TillKoeln,https://bitcointalk.org/index.php?topic=1019421.0,2015-04-10
DETH,DarkEther,2015-08-10,2015-08-09,DarkEther,https://bitcointalk.org/index.php?topic=1148229.0,2015-08-09
DEM,Deutsche eMark,2013-12-14,2013-10-15,Bzzzum,https://bitcointalk.org/index.php?topic=310939.0,2013-10-15
QSLV,Quicksilver,2014-11-13,2014-10-31,QuicksilverCoin,https://bitcointalk.org/index.php?topic=842240.0,2014-10-31
COINO,CoinoUSD,2014-12-25,2015-03-23,coinomat.com,https://bitcointalk.org/index.php?topic=1000725.0,2015-03-23
SCRT,SecretCoin,2015-11-16,2015-08-25,TeamSecret,https://bitcointalk.org/index.php?topic=1161754.0,2015-08-25
UNC,UNCoin,2015-03-22,2015-03-07,invt2424,https://bitcointalk.org/index.php?topic=979543.0,2015-03-07
XSI,StabilityShares,2014-04-23,2014-04-16,cryptonewbie,https://bitcointalk.org/index.php?topic=572508.0,2014-04-16
VIOR,Viorcoin,2014-11-23,2015-05-07,MikeMike,https://bitcointalk.org/index.php?topic=1053087.0,2015-05-07
ZNY,Bitzeny,2015-07-09,2014-11-07,bitzeny,https://bitcointalk.org/index.php?topic=849994.0,2014-11-07
BLOCK,Blocknet,2014-11-01,2014-10-20,synechist,https://bitcointalk.org/index.php?topic=829576.0,2014-10-20
TRON,Positron,2015-04-14,2015-04-11,positrondev,https://bitcointalk.org/index.php?topic=1021029.0,2015-04-11
NEU,NeuCoin,2015-09-25,2015-02-03,Sandrine89,https://bitcointalk.org/index.php?topic=944933.0,2015-02-03
MUSE,MUSE,2015-05-07,2015-10-23,StanLarimer,https://bitcointalk.org/index.php?topic=1217871.0,2015-10-23
SLING,Sling,2015-04-21,2015-04-20,DG.Slayer,https://bitcointalk.org/index.php?topic=1032166.0,2015-04-20
KORE,KoreCoin,2014-06-21,2014-06-28,Eurbids,https://bitcointalk.org/index.php?topic=668886.0,2014-06-28
PLNC,PLNcoin,2014-04-15,2014-03-10,WalutowyKrol,https://bitcointalk.org/index.php?topic=509433.0,2014-03-10
PTC,Pesetacoin,2014-02-22,2014-01-07,CryptoMP,https://bitcointalk.org/index.php?topic=403378.0,2014-01-07
CRAVE,Crave,2015-03-26,2015-03-20,industrialcoinmagic,https://bitcointalk.org/index.php?topic=997356.0,2015-03-20
CAIX,CAIx,2014-04-15,2014-03-13,Caishen_Project,https://bitcointalk.org/index.php?topic=513613.0,2014-03-13
ROX,ROXcoin,2014-07-01,2014-06-28,Roxcoin,https://bitcointalk.org/index.php?topic=668876.0,2014-06-28
