coin,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
BET,2013-12-14,2013-10-30,betacoindev,https://bitcointalk.org/index.php?topic=321266.0,2013-10-30
CC,2015-04-03,2014-05-06,milkox,https://bitcointalk.org/index.php?topic=598420.0,2014-05-06
TTY,2015-01-18,2014-07-15,TrinityCoin,https://bitcointalk.org/index.php?topic=695149.0,2014-07-15
HUC,2014-02-14,2013-09-24,snailbrain,https://bitcointalk.org/index.php?topic=300538.0,2013-09-24
XDN,2014-06-24,2014-09-19,dNote,https://bitcointalk.org/index.php?topic=788916.0,2014-09-19
AMC,2013-06-09,2015-01-23,danny asia,https://bitcointalk.org/index.php?topic=932375.0,2015-01-23
LTCD,2014-09-11,2014-08-28,Litecoindark,https://bitcointalk.org/index.php?topic=760143.0,2014-08-28
BUN,2014-09-11,2014-04-29,shibebunny,https://bitcointalk.org/index.php?topic=589180.0,2014-04-29
NLG,2014-04-08,2014-04-02,guldencoin,https://bitcointalk.org/index.php?topic=554412.0,2014-04-02
MNC,2013-05-02,2013-04-03,SuperTramp,https://bitcointalk.org/index.php?topic=165397.0,2013-04-03
GEO,2015-02-21,2013-08-18,MaGNeT,https://bitcointalk.org/index.php?topic=277091.0,2013-08-18
LIMX,2014-06-08,2014-06-03,IParn,https://bitcointalk.org/index.php?topic=637366.0,2014-06-03
FLAP,2014-02-22,2014-02-14,flappycoin,https://bitcointalk.org/index.php?topic=464743.0,2014-02-14
SOLE,2014-08-21,2014-08-08,solecoin,https://bitcointalk.org/index.php?topic=730077.0,2014-08-08
CSC,2013-07-24,2013-07-18,transcoder,https://bitcointalk.org/index.php?topic=258090.0,2013-07-18
VGC,2014-05-06,2014-02-15,Byates,https://bitcointalk.org/index.php?topic=466312.0,2014-02-15
GRE,2014-06-23,2014-06-05,Mesterlovesz74,https://bitcointalk.org/index.php?topic=641064.0,2014-06-05
DSH,2014-10-07,2014-07-05,slb,https://bitcointalk.org/index.php?topic=678232.0,2014-07-05
GRN,2014-06-12,2014-05-22,GraniteCoin,https://bitcointalk.org/index.php?topic=621544.0,2014-05-22
CAGE,2014-04-15,2014-01-01,skyisthelimit,https://bitcointalk.org/index.php?topic=394964.0,2014-01-01
XRP,2013-08-04,2013-09-26,Stefan Thomas,https://bitcointalk.org/index.php?topic=301635.0,2013-09-26
BLC,2014-02-12,2013-10-07,BlueDragon747,https://bitcointalk.org/index.php?topic=306894.0,2013-10-07
VOOT,2014-06-12,2014-06-04,MsCollec,https://bitcointalk.org/index.php?topic=639371.0,2014-06-04
DOGE,2013-12-15,2013-12-08,Dogecoin,https://bitcointalk.org/index.php?topic=361813.0,2013-12-08
ANI,2014-02-28,2014-02-06,UnderAuthor,https://bitcointalk.org/index.php?topic=451343.0,2014-02-06
MOON,2014-01-06,2013-12-28,deaconboogie,https://bitcointalk.org/index.php?topic=389403.0,2013-12-28
BTE,2013-05-10,2013-04-07,Number6,https://bitcointalk.org/index.php?topic=169559.0,2013-04-07
BTG,2013-07-04,2013-05-16,mineral,https://bitcointalk.org/index.php?topic=207008.0,2013-05-16
NVC,2013-04-28,2013-02-11,xorxor,https://bitcointalk.org/index.php?topic=143221.0,2013-02-11
EMC2,2014-04-09,2014-03-01,einsteinium,https://bitcointalk.org/index.php?topic=494708.0,2014-03-01
GB,2014-08-23,2014-08-15,GreenBacksTeam,https://bitcointalk.org/index.php?topic=740744.0,2014-08-15
HTML5,2014-09-19,2014-09-28,HTMLCOIN,https://bitcointalk.org/index.php?topic=801489.0,2014-09-28
SHADE,2014-09-06,2014-09-04,iShade,https://bitcointalk.org/index.php?topic=768941.0,2014-09-04
FJC,2015-06-14,2014-06-08,motty,https://bitcointalk.org/index.php?topic=644601.0,2014-06-08
ISR,2014-04-08,2014-03-24,IsraelCoin,https://bitcointalk.org/index.php?topic=529409.0,2014-03-24
GLC,2013-08-04,2013-06-26,SistaFista,https://bitcointalk.org/index.php?topic=243911.0,2013-06-26
GLD,2013-06-14,2013-07-27,MicroGuy,https://bitcointalk.org/index.php?topic=263459.0,2013-07-27
NEC,2014-03-26,2013-10-18,Neo8,https://bitcointalk.org/index.php?topic=313506.0,2013-10-18
MUE,2014-11-01,2014-09-11,Mue,https://bitcointalk.org/index.php?topic=778322.0,2014-09-11
XNC,2013-07-24,2013-06-19,XenCoin,https://bitcointalk.org/index.php?topic=237998.0,2013-06-19
FST,2013-07-04,2013-05-29,fast-coin,https://bitcointalk.org/index.php?topic=218852.0,2013-05-29
BEN,2014-02-27,2014-02-02,AllAboutTheBenjaminsBaby,https://bitcointalk.org/index.php?topic=444543.0,2014-02-02
NET,2013-12-16,2013-05-10,NetCoin,https://bitcointalk.org/index.php?topic=201402.0,2013-05-10
SMC,2014-02-06,2013-04-21,lightenup,https://bitcointalk.org/index.php?topic=182430.0,2013-04-21
COL,2013-11-30,2013-08-23,scificoin,https://bitcointalk.org/index.php?topic=280114.0,2013-08-23
RED,2014-01-24,2013-06-30,Redcoin,https://bitcointalk.org/index.php?topic=246693.0,2013-06-30
LOG,2015-03-22,2014-10-22,funkenstein,https://bitcointalk.org/index.php?topic=831003.0,2014-10-22
DGC,2013-06-09,2014-09-17,kenel,https://bitcointalk.org/index.php?topic=785601.0,2014-09-17
TEK,2014-05-20,2013-09-07,thundertoe,https://bitcointalk.org/index.php?topic=289490.0,2013-09-07
CGA,2014-02-21,2014-09-06,CGAnomaly,https://bitcointalk.org/index.php?topic=771830.0,2014-09-06
BITB,2015-02-18,2013-05-03,TruCoin,https://bitcointalk.org/index.php?topic=193974.0,2013-05-03
NBT,2014-09-23,2014-09-20,ronnyb,https://bitcointalk.org/index.php?topic=789964.0,2014-09-20
ASC,2013-12-31,2013-09-11,asicuser,https://bitcointalk.org/index.php?topic=292501.0,2013-09-11
FUNK,2015-06-18,2014-02-16,simondlr,https://bitcointalk.org/index.php?topic=469407.0,2014-02-16
FSC2,2015-01-25,2015-01-07,kaptainkrayola,https://bitcointalk.org/index.php?topic=917364.0,2015-01-07
NBL,2013-06-14,2013-05-18,hyoshi,https://bitcointalk.org/index.php?topic=209035.0,2013-05-18
QTL,2014-07-12,2014-06-17,MarKusRomanus,https://bitcointalk.org/index.php?topic=655793.0,2014-06-17
FCN,2014-06-08,2014-05-07,amphibian,https://bitcointalk.org/index.php?topic=598823.0,2014-05-07
FRC,2013-05-02,2012-06-25,maaku,https://bitcointalk.org/index.php?topic=89843.0,2012-06-25
SRC,2013-09-28,2013-08-09,baritus,https://bitcointalk.org/index.php?topic=270852.0,2013-08-09
VTC,2014-01-20,2014-01-08,Vertcoin,https://bitcointalk.org/index.php?topic=404364.0,2014-01-08
CORG,2014-02-21,2014-02-02,corgicoin,https://bitcointalk.org/index.php?topic=444700.0,2014-02-02
DIME,2014-01-06,2013-12-23,dimecoin,https://bitcointalk.org/index.php?topic=382164.0,2013-12-23
FRK,2013-06-09,2013-05-11,defaced,https://bitcointalk.org/index.php?topic=202417.0,2013-05-11
ELC,2013-06-09,2013-05-13,Milkshake,https://bitcointalk.org/index.php?topic=203647.0,2013-05-13
XMG,2014-09-23,2014-08-12,joelao95,https://bitcointalk.org/index.php?topic=735170.0,2014-08-12
GME,2013-08-25,2013-05-12,gamecoin,https://bitcointalk.org/index.php?topic=202764.0,2013-05-12
SYNC,2014-05-20,2014-05-13,MsCollec,https://bitcointalk.org/index.php?topic=607919.0,2014-05-13
LTC,2013-04-28,2011-10-09,coblee,https://bitcointalk.org/index.php?topic=47417.0,2011-10-09
RDD,2014-02-09,2014-01-20,ReddCoin,https://bitcointalk.org/index.php?topic=423597.0,2014-01-20
UNC,2015-03-22,2013-12-10,dr_chen,https://bitcointalk.org/index.php?topic=365399.0,2013-12-10
ZED,2014-03-06,2014-01-25,Kilo88,https://bitcointalk.org/index.php?topic=432261.0,2014-01-25
ELP,2014-08-26,2013-07-15,thisnewcoin,https://bitcointalk.org/index.php?topic=256501.0,2013-07-15
MINT,2014-02-19,2014-02-05,mintcointeam,https://bitcointalk.org/index.php?topic=450381.0,2014-02-05
BBR,2014-06-24,2014-04-20,crypto_zoidberg,https://bitcointalk.org/index.php?topic=577267.0,2014-04-20
YAC,2013-06-09,2013-05-15,WindMaster,https://bitcointalk.org/index.php?topic=206577.0,2013-05-15
UNO,2013-12-21,2013-10-17,Blazr2,https://bitcointalk.org/index.php?topic=313126.0,2013-10-17
MEC,2013-07-07,2013-05-29,kimoto,https://bitcointalk.org/index.php?topic=218851.0,2013-05-29
ALF,2013-07-07,2013-06-10,alphacoin,https://bitcointalk.org/index.php?topic=230868.0,2013-06-10
CDN,2014-05-11,2013-12-31,cdncoin,https://bitcointalk.org/index.php?topic=393190.0,2013-12-31
SBC,2013-07-07,2013-06-07,artos,https://bitcointalk.org/index.php?topic=227766.0,2013-06-07
NMB,2014-09-04,2014-05-23,sr.machado,https://bitcointalk.org/index.php?topic=622323.0,2014-05-23
ZET,2013-09-10,2013-08-03,Giskard,https://bitcointalk.org/index.php?topic=267545.0,2013-08-03
SC,2015-08-26,2011-08-21,CoinHunter,https://bitcointalk.org/index.php?topic=38453.0,2011-08-21
XXX,2014-07-03,2014-06-25,XXX_Coindev,https://bitcointalk.org/index.php?topic=665809.0,2014-06-25
I0C,2013-11-27,2011-08-11,BitcoinBug,https://bitcointalk.org/index.php?topic=36425.0,2011-08-11
BAT,2014-03-03,2014-01-06,.Batman.,https://bitcointalk.org/index.php?topic=400753.0,2014-01-06
SKC,2014-03-15,2013-11-01,Red Kendra,https://bitcointalk.org/index.php?topic=322828.0,2013-11-01
CORE,2015-06-18,2014-06-30,cores,https://bitcointalk.org/index.php?topic=671450.0,2014-06-30
TOP,2014-02-17,2014-09-01,topdude,https://bitcointalk.org/index.php?topic=765196.0,2014-09-01
CAT,2013-12-27,2014-01-31,Maverickthenoob,https://bitcointalk.org/index.php?topic=441402.0,2014-01-31
XPH,2015-06-08,2014-09-11,pathfinder dev,https://bitcointalk.org/index.php?topic=778707.0,2014-09-11
DUCK,2014-02-22,2014-02-04,mainduck,https://bitcointalk.org/index.php?topic=448221.0,2014-02-04
FRAC,2014-06-15,2014-06-12,Fractalcoin,https://bitcointalk.org/index.php?topic=650173.0,2014-06-12
QCN,2014-05-26,2014-05-19,OracionSeis,https://bitcointalk.org/index.php?topic=615732.0,2014-05-19
DP,2014-10-04,2014-09-20,7vpo,https://bitcointalk.org/index.php?topic=789847.0,2014-09-20
BQC,2013-05-08,2013-10-08,aa,https://bitcointalk.org/index.php?topic=307923.0,2013-10-08
PPC,2013-04-28,2012-08-10,Sunny King,https://bitcointalk.org/index.php?topic=99735.0,2012-08-10
XCR,2014-08-07,2014-06-16,crypti,https://bitcointalk.org/index.php?topic=654463.0,2014-06-16
BTCD,2014-07-16,2014-07-09,Azeh,https://bitcointalk.org/index.php?topic=684090.0,2014-07-09
