coin,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
LTB,2014-03-12,2014-02-12,Scooby903,https://bitcointalk.org/index.php?topic=461108.0,2014-02-12
UNITY,2014-09-30,2014-08-09,jl777,https://bitcointalk.org/index.php?topic=762346.0,2014-08-30
AUR,2014-02-27,2013-11-30,united-scrypt-coin,https://bitcointalk.org/index.php?topic=353688.0,2013-11-30
XTC,2014-10-25,2014-08-29,ASIC-8Tile,https://bitcointalk.org/index.php?topic=761852.0,2014-08-29
VEC,2015-09-04,2015-07-31,VectorDev,https://bitcointalk.org/index.php?topic=1165060.0,2015-08-29
SPA,2014-03-15,2014-01-19,naplam,https://bitcointalk.org/index.php?topic=423488.0,2014-01-19
BTQ,2014-07-29,2014-02-15,BitQuark,https://bitcointalk.org/index.php?topic=468018.0,2014-02-15
CAT,2013-12-27,2013-05-30,solracx,https://bitcointalk.org/index.php?topic=219644.0,2013-05-30
XWC,2014-04-18,2014-09-30,WhitecoinFoundation,https://bitcointalk.org/index.php?topic=804288.0,2014-09-30
ALN,2014-03-15,2014-01-09,Aliencoin,https://bitcointalk.org/index.php?topic=407460.0,2014-01-09
ALF,2013-07-07,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
NTR,2014-06-12,2014-06-19,NTRscam,https://bitcointalk.org/index.php?topic=657607.0,2014-06-19
SBC,2013-07-07,2013-06-07,artos,https://bitcointalk.org/index.php?topic=227766.0,2013-06-07
ORB,2013-12-21,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
MMC,2013-12-24,2013-05-26,maxpower,https://bitcointalk.org/index.php?topic=216672.0,2013-05-26
GLYPH,2014-06-17,2010-12-15,Pander,https://bitcointalk.org/index.php?topic=7215.0,2011-05-04
I0C,2013-11-27,2011-08-14,ableorange,https://bitcointalk.org/index.php?topic=37423.0,2011-08-16
BAT,2014-03-03,2014-01-06,.Batman.,https://bitcointalk.org/index.php?topic=400753.0,2014-01-06
SSV,2014-09-07,2014-06-22,SSVCoin,https://bitcointalk.org/index.php?topic=661043.0,2014-06-22
FUTC,2015-07-21,2015-02-19,FUTCOIN,https://bitcointalk.org/index.php?topic=960951.0,2015-02-19
TOR,2014-07-12,2013-05-06,Joe_Bauers,https://bitcointalk.org/index.php?topic=197000.0,2013-05-06
BITEUR,2015-06-08,2014-08-30,d5000,https://bitcointalk.org/index.php?topic=1046564.0,2015-05-03
TOP,2014-02-17,2014-01-08,evgamine,https://bitcointalk.org/index.php?topic=404622.0,2014-01-08
CAP,2013-07-04,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
RIPO,2014-08-23,2014-08-01,RipoffCoinDevTeam,https://bitcointalk.org/index.php?topic=721006.0,2014-08-01
MOTO,2014-06-03,2014-05-01,WilliamLie2,https://bitcointalk.org/index.php?topic=591724.0,2014-05-01
OS76,2015-10-19,2015-10-01,OSMIUMCOIN,https://bitcointalk.org/index.php?topic=1201395.0,2015-10-06
ERC,2015-06-18,2014-05-03,EuropeCoin,https://bitcointalk.org/index.php?topic=594758.0,2014-05-03
HAL,2014-08-19,2014-08-16,halcyondev,https://bitcointalk.org/index.php?topic=741728.0,2014-08-16
XCR,2014-08-07,2014-06-16,crypti,https://bitcointalk.org/index.php?topic=654463.0,2014-06-16
XCP,2014-02-15,2014-01-02,PhantomPhreak,https://bitcointalk.org/index.php?topic=395761.0,2014-01-02
CELL,2015-01-25,2015-01-08,koko2530,https://bitcointalk.org/index.php?topic=917737.0,2015-01-08
Privatebet,2014-10-04,2014-07-09,Azeh,https://bitcointalk.org/index.php?topic=684090.0,2014-07-09
XPB,2015-03-31,2015-01-01,XPB,https://bitcointalk.org/index.php?topic=909624.0,2015-01-01
BTA,2015-05-29,2015-04-28,pc888,https://bitcointalk.org/index.php?topic=1040956.0,2015-04-28
VPN,2014-11-23,2014-07-22,vpncoin,https://bitcointalk.org/index.php?topic=705446.0,2014-07-22
HUGE,2015-04-24,2014-09-19,hardforkcoin,https://bitcointalk.org/index.php?topic=788794.0,2014-09-19
DCYP,2015-10-24,2015-10-06,Atomictie,https://bitcointalk.org/index.php?topic=1202219.0,2015-10-06
BANX,2014-09-30,2014-10-06,MarkLyford,https://bitcointalk.org/index.php?topic=813191.0,2014-10-06
NEOS,2014-08-25,2014-08-25,infernoman,https://bitcointalk.org/index.php?topic=755558.0,2014-08-25
STV,2014-10-20,2014-09-21,sativacoin,https://bitcointalk.org/index.php?topic=791266.0,2014-09-21
ZRC,2015-03-03,2015-01-14,gnargnar,https://bitcointalk.org/index.php?topic=995250.0,2015-03-18
RZR,2014-06-21,2014-06-08,RazorTech,https://bitcointalk.org/index.php?topic=644498.0,2014-06-08
STR,2014-02-02,2013-07-19,nzdude,https://bitcointalk.org/index.php?topic=259012.0,2013-07-19
CZC,2014-10-20,2014-07-27,CzechCrowCoinDev,https://bitcointalk.org/index.php?topic=712960.0,2014-07-27
ABY,2014-06-12,2014-03-06,First.Bitcoins,https://bitcointalk.org/index.php?topic=503131.0,2014-03-06
EXCL,2014-09-30,2014-09-06,kingscrown,https://bitcointalk.org/index.php?topic=771755.0,2014-09-06
CACH,2014-02-15,2014-01-05,kalgecin,https://bitcointalk.org/index.php?topic=400389.0,2014-01-05
JINN,2014-10-03,2014-09-10,devphp,https://bitcointalk.org/index.php?topic=796304.0,2014-09-25
PND,2014-02-27,2014-02-11,sevoque,https://bitcointalk.org/index.php?topic=460037.0,2014-02-11
GB,2014-08-23,2014-08-15,GreenBacksTeam,https://bitcointalk.org/index.php?topic=740744.0,2014-08-15
QRK,2013-08-25,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
XQN,2014-11-23,2014-11-11,CedricQuotient,https://bitcointalk.org/index.php?topic=854299.0,2014-11-11
LIT,2014-07-05,2013-12-09,Lightcoinproject,https://bitcointalk.org/index.php?topic=649890.0,2014-06-12
XUP,2015-09-22,2015-09-16,TheTerminator,https://bitcointalk.org/index.php?topic=1182202.0,2015-09-16
ZNY,2015-07-09,2014-11-07,bitzeny,https://bitcointalk.org/index.php?topic=849994.0,2014-11-07
SAK,2015-03-08,2014-04-27,SAKTeam,https://bitcointalk.org/index.php?topic=617410.0,2014-05-20
DIBS,2015-06-24,2015-06-16,DIBBITSdev,https://bitcointalk.org/index.php?topic=1090982.0,2015-06-16
PRC,2014-02-20,2014-01-29,inmean,https://bitcointalk.org/index.php?topic=438433.0,2014-01-29
MEOW,2014-01-24,2013-12-21,lonestar108,https://bitcointalk.org/index.php?topic=383068.0,2013-12-24
PRT,2014-01-22,2013-12-31,moonmoon,https://bitcointalk.org/index.php?topic=392804.0,2013-12-31
CHA,2014-05-20,2014-03-23,magician,https://bitcointalk.org/index.php?topic=528023.0,2014-03-23
CHC,2015-07-16,2014-01-19,Rolihlahla,https://bitcointalk.org/index.php?topic=422149.0,2014-01-19
MRY,2014-03-03,2014-01-15,crike,https://bitcointalk.org/index.php?topic=416698.0,2014-01-15
JAY,2015-04-17,2011-04-18,mizerydearia,https://bitcointalk.org/index.php?topic=41456.0,2011-09-04
MMNXT,2014-10-22,2014-11-10,sasha35625,https://bitcointalk.org/index.php?topic=853523.0,2014-11-10
URO,2014-06-12,2011-07-29,ubi4doges,https://bitcointalk.org/index.php?topic=434897.0,2014-01-27
MRS,2014-02-24,2014-01-27,atleticofa,https://bitcointalk.org/index.php?topic=434971.0,2014-01-27
QBK,2014-08-17,2014-07-09,ABC Dev Team,https://bitcointalk.org/index.php?topic=682939.0,2014-07-09
DIGS,2015-07-16,2015-07-03,DIGGITSquad,https://bitcointalk.org/index.php?topic=1107592.0,2015-07-03
MRC,2014-03-03,2014-01-03,MCR,https://bitcointalk.org/index.php?topic=397679.0,2014-01-03
UTIL,2014-09-30,2014-09-26,utilitycoin,https://bitcointalk.org/index.php?topic=797900.0,2014-09-26
VIA,2014-07-18,2014-06-10,btcdrak,https://bitcointalk.org/index.php?topic=646754.0,2014-06-10
DBL,2013-07-04,2013-05-15,shakezula,https://bitcointalk.org/index.php?topic=206361.0,2013-05-15
MMBTCD,2015-07-07,2015-05-25,sasha35625,https://bitcointalk.org/index.php?topic=1169633.0,2015-09-03
SFR,2014-06-15,2014-03-26,CryptoSpecs,https://bitcointalk.org/index.php?topic=537548.0,2014-03-26
8BIT,2015-04-18,2011-06-11,piecesofeight,https://bitcointalk.org/index.php?topic=15085.0,2011-06-11
APC,2014-02-09,2013-11-18,KunningLinguist,https://bitcointalk.org/index.php?topic=337782.0,2013-11-18
NIRO,2015-01-25,2014-06-19,KryptoKash,https://bitcointalk.org/index.php?topic=657601.0,2014-06-19
PYC,2014-12-06,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
GREXIT,2015-07-23,2014-02-16,DNotes,https://bitcointalk.org/index.php?topic=470155.0,2014-02-16
KORE,2014-06-21,2014-06-15,KoreCoin,https://bitcointalk.org/index.php?topic=652700.0,2014-06-15
FRDC,2015-09-21,2015-09-06,placebo,https://bitcointalk.org/index.php?topic=1172885.0,2015-09-06
XLB,2014-05-12,2014-05-08,Libertycoin,https://bitcointalk.org/index.php?topic=600322.0,2014-05-08
CAIx,2014-04-15,2014-03-13,Caishen_Project,https://bitcointalk.org/index.php?topic=513613.0,2014-03-13
SWING,2015-09-28,2010-07-24,Imnotadoctor,https://bitcointalk.org/index.php?topic=10101.0,2011-05-27
NEU,2015-09-25,2015-02-03,Sandrine89,https://bitcointalk.org/index.php?topic=1025438.0,2015-04-15
SLING,2015-04-21,2011-06-21,DGulari,https://bitcointalk.org/index.php?topic=352528.0,2013-11-29
PLNC,2014-04-15,2014-03-10,WalutowyKrol,https://bitcointalk.org/index.php?topic=509433.0,2014-03-10
PKB,2015-05-18,2015-04-29,ParkByte,https://bitcointalk.org/index.php?topic=1042054.0,2015-04-29
PSEUD,2014-07-21,2014-07-03,pseudocoin,https://bitcointalk.org/index.php?topic=676343.0,2014-07-03
CAID,2015-09-15,2014-11-19,BitcoinNational,https://bitcointalk.org/index.php?topic=864994.0,2014-11-19
NLG,2014-04-08,2014-03-21,guldencoin,https://bitcointalk.org/index.php?topic=554412.0,2014-04-02
TENNET,2015-08-10,2015-06-07,DarkTron Team,https://bitcointalk.org/index.php?topic=1083744.0,2015-06-07
GCC,2015-08-20,2015-06-25,GCCTeam1,https://bitcointalk.org/index.php?topic=1099201.0,2015-06-25
DOGED,2014-10-25,2014-10-09,Dogedarkdev,https://bitcointalk.org/index.php?topic=817685.0,2014-10-09
WOP,2015-10-12,2015-10-01,WorldPay,https://bitcointalk.org/index.php?topic=1202899.0,2015-10-07
CSC,2013-07-24,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
GCN,2014-11-16,2014-04-04,Mr G,https://bitcointalk.org/index.php?topic=556746.0,2014-04-04
SHA,2014-06-25,2014-03-12,SHACoin,https://bitcointalk.org/index.php?topic=512808.0,2014-03-12
LTD,2015-09-15,2015-09-11,LimitedDev,https://bitcointalk.org/index.php?topic=1177493.0,2015-09-11
SHADE,2014-09-06,2014-09-04,iShade,https://bitcointalk.org/index.php?topic=768941.0,2014-09-04
RT2,2014-03-29,2014-03-15,Rotocoin,https://bitcointalk.org/index.php?topic=516138.0,2014-03-15
MONETA,2015-10-24,2013-02-18,Mogui,https://bitcointalk.org/index.php?topic=403597.0,2014-01-07
CAGE,2014-04-15,2014-01-01,Nicolas_Cage,https://bitcointalk.org/index.php?topic=394958.0,2014-01-01
LEAF,2014-02-02,2013-12-03,united-scrypt-coin,https://bitcointalk.org/index.php?topic=356139.0,2013-12-03
BTS,2014-07-20,2013-08-25,Bit510,https://bitcointalk.org/index.php?topic=428785.0,2014-01-23
XCE,2015-06-10,2015-06-06,Cerium,https://bitcointalk.org/index.php?topic=1082918.0,2015-06-06
XCH,2014-10-04,2014-07-17,btcdrak,https://bitcointalk.org/index.php?topic=728752.0,2014-08-07
DOGE,2013-12-15,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
XCN,2014-08-02,2014-07-18,Cryptonite XCN,https://bitcointalk.org/index.php?topic=700039.0,2014-07-18
BTX,2015-04-26,2015-04-27,placebo,https://bitcointalk.org/index.php?topic=1039964.0,2015-04-27
MOON,2014-01-06,2011-09-06,lightlord,https://bitcointalk.org/index.php?topic=45948.0,2011-09-28
BTE,2013-05-10,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
BTG,2013-07-04,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
MGW,2014-08-22,2013-05-05,AlexMerced,https://bitcointalk.org/index.php?topic=195483.0,2013-05-05
BTC,2013-04-28,2010-01-16,NewLibertyStandard,https://bitcointalk.org/index.php?topic=41.0,2010-02-05
BTB,2013-05-09,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
BTM,2014-08-19,2014-06-21,coinsolidation,https://bitcointalk.org/index.php?topic=660544.0,2014-06-21
XCASH,2014-09-11,2013-12-03,musty97,https://bitcointalk.org/index.php?topic=391065.0,2013-12-29
JBS,2014-09-07,2014-09-01,jyap,https://bitcointalk.org/index.php?topic=765082.0,2014-09-01
ISR,2014-04-08,2014-03-24,IsraelCoin,https://bitcointalk.org/index.php?topic=529409.0,2014-03-24
SPHR,2015-05-02,2015-04-30,ChronoSphereDev,https://bitcointalk.org/index.php?topic=1042958.0,2015-04-30
MUE,2014-11-01,2014-08-24,vfrGT65Nha,https://bitcointalk.org/index.php?topic=753904.0,2014-08-24
OCTO,2015-03-22,2012-03-13,jubalix,https://bitcointalk.org/index.php?topic=202804.0,2013-05-12
CURE,2014-05-26,2013-04-29,cygnusxi,https://bitcointalk.org/index.php?topic=269683.0,2013-08-07
BAY,2014-11-16,2014-10-30,BitBay Team,https://bitcointalk.org/index.php?topic=840972.0,2014-10-30
ISL,2015-09-28,2015-05-05,isladev,https://bitcointalk.org/index.php?topic=1051125.0,2015-05-05
DGB,2014-02-06,2014-01-10,DigiByte,https://bitcointalk.org/index.php?topic=408268.0,2014-01-10
DGC,2013-06-09,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
ECC,2014-03-20,2014-03-06,hostmaster,https://bitcointalk.org/index.php?topic=503227.0,2014-03-06
CRT,2014-05-11,2014-04-03,digitaldj,https://bitcointalk.org/index.php?topic=555578.0,2014-04-03
BITB,2015-02-18,2015-01-06,nokat,https://bitcointalk.org/index.php?topic=915650.0,2015-01-06
ASC,2013-12-31,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
BITZ,2015-03-08,2011-05-23,bitz,https://bitcointalk.org/index.php?topic=9964.0,2011-05-26
KUMA,2014-08-02,2014-04-26,kumacoinproject,https://bitcointalk.org/index.php?topic=585772.0,2014-04-26
QTL,2014-07-12,2014-03-21,ThePeePs,https://bitcointalk.org/index.php?topic=524483.0,2014-03-21
BITS,2014-04-23,2014-04-17,Bitstar_coin,https://bitcointalk.org/index.php?topic=574652.0,2014-04-17
JKC,2013-06-14,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
FRC,2013-05-02,2012-07-05,dreamwatcher,https://bitcointalk.org/index.php?topic=124303.0,2012-11-15
VTC,2014-01-20,2013-03-07,tacotime,https://bitcointalk.org/index.php?topic=150331.0,2013-03-07
DUO,2015-10-24,2014-08-02,Parallaxis,https://bitcointalk.org/index.php?topic=721170.0,2014-08-02
FRK,2013-06-09,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
XC,2014-05-23,2014-05-29,Teka,https://bitcointalk.org/index.php?topic=630547.0,2014-05-29
DUB,2015-06-30,2014-08-15,lentzaj,https://bitcointalk.org/index.php?topic=1270499.0,2015-11-30
SSD,2014-08-12,2014-08-11,argakiig,https://bitcointalk.org/index.php?topic=755180.0,2014-08-24
EUC,2015-08-23,2013-12-30,tyz,https://bitcointalk.org/index.php?topic=391932.0,2013-12-30
UNB,2014-05-23,2014-03-02,madman5844,https://bitcointalk.org/index.php?topic=495335.0,2014-03-02
