coin,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
SHF,2015-09-05,2015-08-17,2015-09-05,ShiftTeam,1,169,1,19
FJC,2015-06-14,2014-06-08,2015-06-14,motty,1,233,1,371
BLITZ,2014-11-16,2012-05-05,2014-11-16,Meni Rosenfeld,1,679,29,1350
REP,2015-10-27,2015-11-02,2015-10-27,Komonec,1,0,0,-6
GLC,2013-08-04,2013-01-01,2013-08-04,xorxor,1,401,10,215
GLD,2013-06-14,2013-01-01,2013-06-14,xorxor,1,368,9,164
XSEED,2015-04-21,2015-09-28,2015-04-21,worth,1,194,1,473
CTM,2014-02-27,2014-01-30,2014-02-27,bitsta,1,75,1,75
CTO,2015-05-18,2014-01-02,2015-05-18,MaxPWR,1,6,2,501
SMC,2014-02-06,2013-12-16,2014-02-06,bitbets,1,5,5,52
DOT,2015-02-15,2014-03-31,2015-02-15,KimDotCoin,1,40,1,321
CLAM,2014-08-25,2014-05-24,2014-08-25,SuperClam,1,196,1,93
FCT,2015-10-05,2015-09-08,2015-10-05,richwang01,1,22,2,245
LTBC,2014-08-20,2014-07-23,2014-08-20,belltown,1,189,4,369
FCX,2015-11-23,2015-10-24,2015-11-23,DuckYeah!,1,183,6,30
DROP,2015-11-02,2015-11-14,2015-11-02,Lahvacekmoney,1,6,1,66
ZOOM,2015-07-16,2010-12-07,2015-07-16,Bimmerhead,1,230,19,1761
BKS,2015-09-09,2015-04-30,2015-09-09,BCExchange,1,4,1,135
TAM,2015-06-26,2015-06-21,2015-06-26,bitspender,1,678,6,486
SOIL,2015-11-12,2015-09-10,2015-11-12,soil,1,74,1,63
FCN,2014-06-08,2014-04-26,2014-06-08,amphibian,1,118,6,43
BSC,2015-07-13,2015-04-27,2015-07-13,Bowscoin_dev,1,58,1,77
LTS,2015-10-23,2015-02-17,2015-10-23,litestar,1,12,1,248
FC2,2014-06-12,2014-04-30,2014-06-12,FuelCoinTeam,1,26,1,43
DFT,2015-11-23,2014-10-26,2015-11-23,simonsez,1,48,2,393
AUM,2015-08-20,2015-01-23,2015-08-20,mprep,1,572,372,1284
LTC,2013-04-28,2011-10-14,2013-04-28,wannaBhacker,1,68,1,623
LTB,2014-03-12,2014-02-12,2014-03-12,Scooby903,1,707,37,319
UNITY,2014-09-30,2014-08-30,2014-09-30,jl777,1,565,7,281
AUR,2014-02-27,2013-11-30,2014-02-27,united-scrypt-coin,1,39,2,89
XTC,2014-10-25,2014-08-29,2014-10-25,ASIC-8Tile,1,102,1,367
VEC,2015-09-04,2015-08-29,2015-09-04,VectorDev,1,39,1,6
SPA,2014-03-15,2014-01-19,2014-03-15,naplam,1,51,4,58
BTQ,2014-07-29,2014-02-15,2014-07-29,BitQuark,1,340,1,164
CAT,2013-12-27,2013-05-30,2013-12-27,solracx,1,435,34,240
XWC,2014-04-18,2014-09-30,2014-04-18,WhitecoinFoundation,1,0,0,-165
