coin,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
GLC,2013-08-04,2013-06-28,2013-08-04,erundook,1,703,31,87
GLD,2013-06-14,2013-05-17,2013-06-14,vipah,1,43,4,63
XSEED,2015-04-21,2015-04-17,2015-04-21,BitSeedsFoundation,1,18,2,4
CTM,2014-02-27,2014-02-26,2014-02-27,coinpool_de,1,98,9,65
CTO,2015-05-18,2011-10-29,2015-05-18,cryptoxchange,1,50,6,1342
SMC,2014-02-06,2014-01-04,2014-02-06,miramare,1,188,1,36
RED,2014-01-24,2013-06-30,2014-01-24,ahmed_bodi,1,1485,90,274
CLAM,2014-08-25,2014-05-24,2014-08-25,SuperClam,1,196,1,93
LTBC,2014-08-20,2015-04-05,2014-08-20,BOUNTYSHARES,1,0,0,-83
FCX,2015-11-23,2015-10-24,2015-11-23,DuckYeah!,1,183,6,30
XFC,2015-06-24,2014-06-22,2015-06-24,finerpay,1,78,1,367
DROP,2015-11-02,2014-01-26,2015-11-02,aaron_m,1,360,4,691
ZOOM,2015-07-16,2015-07-13,2015-07-16,coinmaster222,1,282,15,620
TAM,2015-06-26,2015-06-21,2015-06-26,bitspender,1,678,6,486
XCR,2014-08-07,2014-06-02,2014-08-07,crypti,1,101,4,66
FCN,2014-06-08,2014-04-26,2014-06-08,amphibian,1,118,6,43
BSC,2015-07-13,2014-02-08,2015-07-13,bsc,1,1,1,520
LTS,2015-10-23,2014-02-09,2015-10-23,qcbear,1,3,1,621
FC2,2014-06-12,2013-05-14,2014-06-12,Wolf Rainer,1,534,32,432
DFT,2015-11-23,2015-11-19,2015-11-23,simonsez,1,48,2,393
LTC,2013-04-28,2011-10-09,2013-04-28,coblee,1,756,25,671
LTB,2014-03-12,2014-02-12,2014-03-12,Scooby903,1,707,37,319
UNITY,2014-09-30,2014-02-26,2014-09-30,Elisha,1,5,1,216
AUR,2014-02-27,2014-01-19,2014-02-27,naplam,1,42,4,42
XTC,2014-10-25,2014-08-29,2014-10-25,ASIC-8Tile,1,102,1,367
VEC,2015-09-04,2015-08-29,2015-09-04,VectorDev,1,39,1,6
FETISH,2014-10-20,2014-09-19,2014-10-20,altcoin.center,1,51,3,42
BTQ,2014-07-29,2014-02-15,2014-07-29,BitQuark,1,340,1,164
BAY,2014-11-16,2013-06-04,2014-11-16,digitalindustry,1,3518,220,580
ALN,2014-03-15,2014-01-09,2014-03-15,Aliencoin,1,84,6,65
ALF,2013-07-07,2013-06-11,2013-07-07,ahmed_bodi,1,291,41,73
NTR,2014-06-12,2015-04-06,2014-06-12,lemial,1,0,0,-297
SBC,2013-07-07,2013-06-07,2013-07-07,artos,1,59,4,30
