coin_name,coin_symbol,first_date_price
InstantDEX,DEX,2014-09-14
DigiByte,DGB,2014-02-06
Digitalcoin,DGC,2013-06-09
Dibbits,DIBS,2015-06-24
NeoDICE,DICE,2014-11-08
CarpeDiemCoin,DIEM,2014-04-28
Digit,DIG,2014-06-28
Diggits,DIGS,2015-07-16
Dimecoin,DIME,2014-01-06
Diamond,DMD,2013-12-19
Dogecoin,DOGE,2013-12-15
DogeCoinDark,DOGED,2014-10-25
Donationcoin,DON,2014-06-15
DopeCoin,DOPE,2014-02-22
Dotcoin,DOT,2015-02-15
DigitalPrice,DP,2014-10-04
DarkCash,DRKC,2014-07-29
DarkTron,DRKT,2015-06-10
Denarius,DRS,2014-06-15
Droidz,DRZ,2015-04-27
DarkShibe,DSB,2014-10-25
Dashcoin,DSH,2014-10-07
DarkToken,DT,2014-09-17
Datacoin,DTC,2013-12-07
Dubstep,DUB,2015-06-30
DuckDuckCoin,DUCK,2014-02-22
Devcoin,DVC,2013-04-28
EarthCoin,EAC,2013-12-28
EBOLAShares,EBS,2015-07-21
ECCoin,ECC,2014-03-20
Electronic Gulden,EFL,2014-03-26
EggCoin,EGG,2015-04-30
Elektron,EKN,2015-04-11
Elacoin,ELC,2013-06-09
ElephantCoin,ELP,2014-08-26
Electron,ELT,2014-06-12
EmerCoin,EMC,2014-08-23
Einsteinium,EMC2,2014-04-09
Emerald Crypto,EMD,2013-08-04
Energycoin,ENRG,2014-05-15
Empyrean,EPY,2015-05-13
Equilibrium,EQM,2015-05-27
EuropeCoin,ERC,2015-06-18
Ermis,ERM,2014-12-25
Ethereum,ETH,2015-08-07
Eurocoin,EUC,2015-08-23
Extremecoin,EXC,2014-01-16
ExclusiveCoin,EXCL,2014-09-30
Execoin,EXE,2014-03-10
Expanse,EXP,2015-09-15
EZCoin,EZC,2013-07-04
FairCoin,FAIR,2014-03-22
FuelCoin,FC2,2014-06-12
Fantomcoin,FCN,2014-06-08
Factom,FCT,2015-10-05
Fetish,FETISH,2014-10-20
FireFlyCoin,FFC,2014-10-26
Fibre,FIBRE,2014-08-30
Full Integrity Coin,FIC,2015-07-09
FIMKrypto,FIMK,2014-07-12
FistBump,FIST,2015-06-08
FujiCoin,FJC,2015-06-14
FlappyCoin,FLAP,2014-02-22
Flaxscript,FLAX,2015-07-25
FoldingCoin,FLDC,2014-09-16
FlorinCoin,FLO,2013-11-27
FlutterCoin,FLT,2014-03-20
Flycoin,FLY,2015-09-14
Fonziecoin,FONZ,2015-09-15
Fractalcoin,FRAC,2014-06-15
Freicoin,FRC,2013-05-03
FreedomCoin,FRDC,2015-09-21
Franko,FRK,2013-06-09
FreshCoin,FRSH,2014-08-22
FriendshipCoin 2,FSC2,2015-01-25
Fastcoin,FST,2013-07-04
Feathercoin,FTC,2013-05-03
Cryptofund,FUND,2015-09-21
The Cypherfunks,FUNK,2015-06-18
FutCoin,FUTC,2015-07-21
GAIA,GAIA,2014-10-11
Gambit,GAM,2015-05-22
Gapcoin,GAP,2014-11-01
GreenBacks,GB,2014-08-23
GuccioneCoin,GCC,2015-08-20
GCoin,GCN,2014-11-16
Global Currency Reserve,GCR,2015-08-26
GrandCoin,GDC,2013-12-17
GetGems,GEMZ,2015-01-12
Genstake,GEN,2015-06-10
Geniuscoin,GENI,2015-06-26
GeoCoin,GEO,2015-02-21
GamerholicCoin,GHC,2014-10-10
GiveCoin,GIVE,2015-02-20
GlobalCoin,GLC,2013-08-04
GoldCoin,GLD,2013-06-14
Global,GLOBE,2015-06-18
Glyph,GLYPH,2014-06-17
GameCredits,GMC,2014-09-01
GameCoin,GME,2013-08-25
GoodCoin,GOOD,2014-06-08
GoldPieces,GP,2015-01-16
Graviton,GRAV,2015-05-04
GridCoin,GRC,2015-02-28
Greencoin,GRE,2014-06-23
Grexit,GREXIT,2015-07-23
Graffiti,GRF,2015-08-17
Gridmaster,GRM,2015-06-26
GraniteCoin,GRN,2014-06-12
GroestlCoin,GRS,2014-04-11
Grantcoin,GRT,2015-07-27
GSMcoin,GSM,2015-02-28
GenesysCoin,GSY,2015-09-15
Guarany,GUA,2014-11-23
Guerillacoin,GUE,2014-06-23
Guncoin,GUN,2014-05-11
Halcyon,HAL,2014-08-19
HamRadioCoin,HAM,2014-10-26
HoboNickels,HBN,2013-12-20
HedgeCoin,HEDG,2015-07-05
Heisenberg,HEX,2014-03-15
Hirocoin,HIRO,2014-03-26
