coin_name,coin_symbol,first_date_price
jay,JAY,2015-04-17
mmnxt,MMNXT,2014-10-22
uro,URO,2014-06-12
marscoin,MRS,2014-02-24
o2olondoncoin,020,2015-09-15
qibuck,QBK,2014-08-17
diggits,DIGS,2015-07-16
microcoin,MRC,2014-03-03
utilitycoin,UTIL,2014-09-30
viacoin,VIA,2014-07-18
doubloons,DBL,2013-07-04
mmbtcd,MMBTCD,2015-07-07
saffroncoin,SFR,2014-06-15
8bit,8BIT,2015-04-18
applecoin,APC,2014-02-09
coinshield,NIRO,2015-01-25
paycoin,PYC,2014-12-06
grexit,GREXIT,2015-07-23
korecoin,KORE,2014-06-21
freedomcoin,FRDC,2015-09-21
libertycoin,XLB,2014-05-13
caix,CAIx,2014-04-15
infinitecoin,IFC,2013-07-10
silkcoin,SILK,2014-05-11
sling,SLING,2015-04-21
plncoin,PLNC,2014-04-15
parkbyte,PKB,2015-05-18
pseudocoin,PSEUD,2014-07-21
coinaid,CAID,2015-09-15
guldencoin,NLG,2014-04-08
tennet,TENNET,2015-08-10
guccionecoin,GCC,2015-08-20
resumeoshares,RMS,2015-10-08
dogecoindark,DOGED,2014-10-25
worldpay,WOP,2015-10-12
casinocoin,CSC,2013-07-25
gcoin,GCN,2014-11-16
shacoin,SHA,2014-06-25
global-currency-reserve,GCR,2015-08-26
motocoin,MOTO,2014-06-03
shift,SHF,2015-09-05
phreak,PHR,2015-09-17
cagecoin,CAGE,2014-04-15
leafcoin,LEAF,2014-02-02
genesyscoin,GSY,2015-09-15
cerium,XCE,2015-06-10
clearinghouse,XCH,2014-10-04
dogecoin,DOGE,2013-12-15
cryptonite,XCN,2014-08-02
bitcointx,BTX,2015-04-26
mooncoin,MOON,2014-01-06
crypti,XCR,2014-08-07
counterparty,XCP,2014-02-15
mgw,MGW,2014-08-22
bitcoin,BTC,2013-04-28
bitbar,BTB,2013-05-09
bitmark,BTM,2014-08-19
sonicscrewdriver,SSD,2014-08-12
hedgecoin,HEDG,2015-07-05
coinmarketscoin,JBS,2014-09-07
emerald,EMD,2013-08-04
isracoin,ISR,2014-04-08
kryptkoin,KTK,2014-06-08
swing,SWING,2015-09-28
23-skidoo,CHAO,2015-07-25
sphere,SPHR,2015-05-02
monetaryunit,MUE,2014-11-01
octo,OCTO,2015-03-22
curecoin,CURE,2014-05-26
2bacco,2BACCO,2015-07-25
islacoin,ISL,2015-09-28
digibyte,DGB,2014-02-06
digitalcoin,DGC,2013-06-09
eccoin,ECC,2014-03-20
crtcoin,CRT,2014-05-11
liquid,LIQUID,2015-02-06
ebolashares,EBS,2015-07-21
bitbean,BITB,2015-02-18
asiccoin,ASC,2013-12-31
bitz,BITZ,2015-03-08
kumacoin,KUMA,2014-08-02
quatloo,QTL,2014-07-12
bitstar,BITS,2014-04-23
ascension,ASN,2015-03-15
junkcoin,JKC,2013-06-14
virtacoin,VTA,2014-08-09
vertcoin,VTC,2014-01-20
franko,FRK,2013-06-09
xcurrency,XC,2014-05-23
dubstep,DUB,2015-06-30
nibble,NBL,2013-06-14
eurocoin,EUC,2015-08-23
unbreakablecoin,UNB,2014-05-23
uncoin,UNC,2015-03-22
carboncoin,CARB,2014-08-02
clevercoin,CLV,2015-05-13
boolberry,BBR,2014-06-24
yacoin,YAC,2013-06-09
unobtanium,UNO,2013-12-21
omnicoin,OMC,2014-05-11
zedcoin,ZED,2014-03-06
craftcoin,CRC,2013-07-07
heavycoin,HVC,2014-03-12
virtualminingcoin,VMC,2014-05-06
crave,CRAVE,2015-03-26
zetacoin,ZET,2013-09-10
influxcoin,INFX,2015-09-15
bitcny,BITCNY,2014-09-23
freicoin,FRC,2013-05-03
selfiecoin,SLFI,2015-03-22
rotocoin,RT2,2014-03-29
shadowcoin,SDC,2014-07-31
wildbeastbitcoin,WBB,2015-02-28
duckduckcoin,DUCK,2014-02-22
darktoken,DT,2014-09-17
digitalprice,DP,2014-10-04
cthulhu-offerings,OFF,2015-07-25
cryptoescudo,CESC,2014-04-03
cypher,CYP,2015-04-11
cryptokenz,CYT,2015-09-21
potcoin,POT,2014-02-10
freemarket,MRKT,2014-09-23
umbrella-ltc,ULTC,2014-08-31
popularcoin,POP,2014-04-23
conspiracycoin,CYC,2014-07-05
tigercoin,TGC,2013-12-21
ronpaulcoin,RPC,2014-01-06
fedoracoin,TIPS,2013-12-31
node,NODE,2014-09-13
bitgold,BITGOLD,2015-01-04
rubycoin,RBY,2014-03-20
bitbtc,BITBTC,2014-09-23
dopecoin,DOPE,2014-02-22
rimbit,RBT,2014-10-26
ribbitrewards,RBR,2015-01-23
solarcoin,SLR,2014-03-29
sterlingcoin,SLG,2014-09-23
ucoin,U,2014-11-16
monetaverde,MCN,2014-08-25
neodice,DICE,2014-11-08
noirbits,NRB,2013-07-04
wankcoin,WKC,2014-06-25
legendarycoin,LGD,2014-04-28
quarkbar,QB,2014-05-26
mangocoinz,MCZ,2015-03-22
bdsm,BDSM,2014-10-20
noirshares,NRS,2014-04-20
goldreserve,XGR,2014-06-28
axron,AXR,2014-08-27
execoin,EXE,2014-03-10
extremecoin,EXC,2014-01-16
checkcoin,CKC,2014-09-19
swarm,SWARM,2014-09-16
hobonickels,HBN,2013-12-20
woodshares,WS,2015-07-02
expanse,EXP,2015-09-15
pakcoin,PAK,2015-09-15
globalboost-y,BSTY,2014-10-03
elephantcoin,ELP,2014-08-26
ibits,IBITS,2015-07-27
tacocoin,TCO,2014-07-21
global,GLOBE,2015-06-18
vanillacoin,VNL,2015-03-06
ringo,RIN,2014-08-02
ltbcoin,LTBC,2014-08-20
copperlark,CLR,2013-11-03
bitusd,BITUSD,2014-09-23
deltacredits,DCR,2015-08-30
riecoin,RIC,2014-02-27
coven,COV,2015-04-21
fractalcoin,FRAC,2014-06-15
hamradiocoin,HAM,2014-10-26
songcoin,SONG,2015-03-22
boostcoin,BOST,2014-05-30
nanotoken,NAN,2013-07-17
khancoin,KNC,2015-09-28
dash,DASH,2014-02-14
trmb,TRMB,2015-05-25
equilibrium,EQM,2015-05-27
bnb-coin,BNB,2015-06-08
hempcoin,THC,2014-06-28
cetuscoin,CETI,2015-01-31
cinni,CINNI,2014-04-23
photon,PHO,2014-05-23
burst,BURST,2014-08-30
zeitcoin,ZEIT,2014-03-20
bitswift,SWIFT,2014-10-05
syscoin,SYS,2014-08-20
memecoin,MEM,2013-06-09
librexcoin,LXC,2014-08-05
mazacoin,MZC,2014-02-27
philosopher-stones,PHS,2013-12-17
steps,STEPS,2015-09-19
analcoin,ANAL,2015-03-29
