symbol,name,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
EMC2,Einsteinium,2014-04-09,2014-03-01,einsteinium,https://bitcointalk.org/index.php?topic=494708.0,2014-03-01
DON,Donationcoin,2014-06-15,2014-04-21,Donationcoin,https://bitcointalk.org/index.php?topic=578695.0,2014-04-21
FJC,FujiCoin,2015-06-14,2014-06-08,motty,https://bitcointalk.org/index.php?topic=644601.0,2014-06-08
BLITZ,Blitz,2014-11-16,2014-04-26,slavo,https://bitcointalk.org/index.php?topic=585741.0,2014-04-26
GLC,GlobalCoin,2013-08-04,2013-06-28,erundook,https://bitcointalk.org/index.php?topic=245813.0,2013-06-28
GLD,GoldCoin,2013-06-14,2013-05-20,JohnyBigs,https://bitcointalk.org/index.php?topic=211416.0,2013-05-20
XSEED,BitSeeds,2015-04-21,2015-09-28,worth,https://bitcointalk.org/index.php?topic=1195172.0,2015-09-28
SMC,SmartCoin,2014-02-06,2014-01-06,smartcoin,https://bitcointalk.org/index.php?topic=400893.0,2014-01-06
RED,RedCoin,2014-01-24,2014-01-01,cozie,https://bitcointalk.org/index.php?topic=394405.0,2014-01-01
CLAM,Clams,2014-08-25,2014-05-24,SuperClam,https://bitcointalk.org/index.php?topic=623147.0,2014-05-24
ZOOM,Zoom,2015-07-16,2015-07-13,coinmaster222,https://bitcointalk.org/index.php?topic=1120639.0,2015-07-13
FCN,Fantomcoin,2014-06-08,2014-04-26,amphibian,https://bitcointalk.org/index.php?topic=585611.0,2014-04-26
BSC,BowsCoin,2015-07-13,2015-04-27,Bowscoin_dev,https://bitcointalk.org/index.php?topic=1039949.0,2015-04-27
FC2,FuelCoin,2014-06-12,2014-04-30,FuelCoinTeam,https://bitcointalk.org/index.php?topic=589879.0,2014-04-30
LTC,Litecoin,2013-04-28,2013-03-26,Ltcfaucet,https://bitcointalk.org/index.php?topic=158847.0,2013-03-26
UNITY,SuperNET,2014-09-30,2014-08-30,jl777,https://bitcointalk.org/index.php?topic=762346.0,2014-08-30
AUR,Auroracoin,2014-02-27,2014-02-02,balduro,https://bitcointalk.org/index.php?topic=446062.0,2014-02-02
XTC,TileCoin,2014-10-25,2014-08-29,ASIC-8Tile,https://bitcointalk.org/index.php?topic=761852.0,2014-08-29
FETISH,Fetish,2014-10-20,2014-09-19,altcoin.center,https://bitcointalk.org/index.php?topic=789338.0,2014-09-19
BTQ,BitQuark,2014-07-29,2014-02-15,BitQuark,https://bitcointalk.org/index.php?topic=468018.0,2014-02-15
CAT,Catcoin,2013-12-27,2013-12-24,nod,https://bitcointalk.org/index.php?topic=382685.0,2013-12-24
ALN,Aliencoin,2014-03-15,2014-01-09,Aliencoin,https://bitcointalk.org/index.php?topic=407460.0,2014-01-09
ALF,AlphaCoin,2013-07-07,2013-07-16,d2.cc,https://bitcointalk.org/index.php?topic=257460.0,2013-07-16
SBC,StableCoin,2013-07-07,2013-06-07,artos,https://bitcointalk.org/index.php?topic=227766.0,2013-06-07
ORB,Orbitcoin,2013-12-21,2014-03-06,mill0601,https://bitcointalk.org/index.php?topic=504131.0,2014-03-06
MMC,Memorycoin,2013-12-24,2013-12-14,FreeTrade,https://bitcointalk.org/index.php?topic=370806.0,2013-12-14
GLYPH,Glyph,2014-06-17,2014-06-08,GLYPH,https://bitcointalk.org/index.php?topic=644141.0,2014-06-08
I0C,I0Coin,2013-11-27,2013-08-17,rsnel,https://bitcointalk.org/index.php?topic=276483.0,2013-08-17
BAT,BatCoin,2014-03-03,2014-01-10,cozie,https://bitcointalk.org/index.php?topic=408656.0,2014-01-10
SSV,SSVCoin,2014-09-07,2014-06-22,SSVCoin,https://bitcointalk.org/index.php?topic=661043.0,2014-06-22
FUTC,FutCoin,2015-07-21,2015-02-19,FUTCOIN,https://bitcointalk.org/index.php?topic=960951.0,2015-02-19
TOR,TorCoin,2014-07-12,2014-07-04,torcoin,https://bitcointalk.org/index.php?topic=677434.0,2014-07-04
TOP,TopCoin,2014-02-17,2014-02-02,topdude,https://bitcointalk.org/index.php?topic=445007.0,2014-02-02
CAP,Bottlecaps,2013-07-04,2013-12-28,binaryclock,https://bitcointalk.org/index.php?topic=388976.0,2013-12-28
MOTO,Motocoin,2014-06-03,2014-05-01,WilliamLie2,https://bitcointalk.org/index.php?topic=591724.0,2014-05-01
ERC,EuropeCoin,2015-06-18,2014-05-03,EuropeCoin,https://bitcointalk.org/index.php?topic=594797.0,2014-05-03
XCP,Counterparty,2014-02-15,2014-01-02,PhantomPhreak,https://bitcointalk.org/index.php?topic=395761.0,2014-01-02
CELL,SolarFarm,2015-01-25,2015-01-08,koko2530,https://bitcointalk.org/index.php?topic=917737.0,2015-01-08
VPN,VPNCoin,2014-11-23,2014-07-22,vpncoin,https://bitcointalk.org/index.php?topic=705446.0,2014-07-22
DCYP,DarkCypher,2015-10-24,2015-10-06,Atomictie,https://bitcointalk.org/index.php?topic=1202219.0,2015-10-06
NEOS,NeosCoin,2014-08-25,2014-08-26,twoturtles,https://bitcointalk.org/index.php?topic=757999.0,2014-08-26
STV,Sativacoin,2014-10-20,2014-09-21,sativacoin,https://bitcointalk.org/index.php?topic=791266.0,2014-09-21
ZRC,ZiftrCOIN,2015-03-03,2015-03-18,gnargnar,https://bitcointalk.org/index.php?topic=995250.0,2015-03-18
RZR,Razor,2014-06-21,2014-06-08,RazorTech,https://bitcointalk.org/index.php?topic=644498.0,2014-06-08
CACH,CacheCoin,2014-02-15,2014-01-05,kalgecin,https://bitcointalk.org/index.php?topic=400389.0,2014-01-05
