symbol,name,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
GRN,GraniteCoin,2014-06-12,2014-05-22,2014-06-12,GraniteCoin,1,47,1,22
GRM,Gridmaster,2015-06-26,2015-06-14,2015-06-26,gmcdev,1,10,1,12
DSB,DarkShibe,2014-10-25,2014-10-23,2014-10-25,DarkShibe,1,6,1,2
BLC,Blakecoin,2014-02-12,2013-10-07,2014-02-12,BlueDragon747,1,331,3,176
COOL,CoolCoin,2014-06-28,2010-09-21,2014-06-28,The Madhatter,1,163,8,1629
HYPER,Hyper,2014-05-31,2010-11-12,2014-05-31,kiba,1,2090,79,1414
URC,Unrealcoin,2015-03-31,2015-03-23,2015-03-31,USER211,1,19,1,8
MI,Xiaomicoin,2015-09-04,2015-05-25,2015-09-04,she9888,1,178,2,515
NOC,Nocturna,2015-07-27,2014-01-28,2015-07-27,extortion,1,65,3,773
EMC2,Einsteinium,2014-04-09,2014-01-19,2014-04-09,naplam,1,53,4,83
CBX,Crypto Bullion,2013-08-04,2011-09-03,2013-08-04,tylerR,1,6,1,723
OPAL,Opal,2014-09-13,2014-09-01,2014-09-13,OpalTeam,1,15,3,12
EKN,Elektron,2015-04-11,2015-04-10,2015-04-11,ElektronFoundation,1,18,1,1
DON,Donationcoin,2014-06-15,2010-07-19,2014-06-15,satoshi,1,142,20,1666
SHADE,ShadeCoin,2014-09-06,2014-08-29,2014-09-06,prix,1,179,1,111
FJC,FujiCoin,2015-06-14,2014-06-08,2015-06-14,motty,1,233,1,371
BLITZ,Blitz,2014-11-16,2012-06-13,2014-11-16,Eli,1,31,6,1214
REP,Augur,2015-10-27,2010-11-24,2015-10-27,Anonymous,1,2239,220,2114
GLC,GlobalCoin,2013-08-04,2013-05-29,2013-08-04,hoolign,1,40,3,87
GLD,GoldCoin,2013-06-14,2011-07-22,2013-06-14,dacoinminster,1,208,14,862
XSEED,BitSeeds,2015-04-21,2015-04-17,2015-04-21,shimlbit,1,1303,4,399
CTM,ContinuumCoin,2014-02-27,2014-01-30,2014-02-27,bitsta,1,75,1,75
CTO,Crypto,2015-05-18,2011-03-17,2015-05-18,grondilu,1,940,72,1695
SMC,SmartCoin,2014-02-06,2013-04-24,2014-02-06,alex_fun,1,415,52,376
DOT,Dotcoin,2015-02-15,2011-05-06,2015-02-15,khal,1,211,14,1453
CLAM,Clams,2014-08-25,2014-05-24,2014-08-25,SuperClam,1,196,1,93
FCT,Factom,2015-10-05,2014-11-17,2015-10-05,AlanX,1,42,8,859
LTBC,LTBcoin,2014-08-20,2014-03-14,2014-08-20,kirivas_s,1,13,2,169
FCX,Fantom,2015-11-23,2015-10-24,2015-11-23,DuckYeah!,1,183,6,30
XFC,Forevercoin,2015-06-24,2013-12-30,2015-06-24,sebasimp,1,10,2,817
DROP,Faucetcoin,2015-11-02,2011-02-18,2015-11-02,breandan81,1,28,5,1801
ZOOM,Zoom,2015-07-16,2015-07-13,2015-07-16,coinmaster222,1,282,15,620
TAM,Tamagucci,2015-06-26,2015-06-21,2015-06-26,bitspender,1,678,6,486
XCR,Crypti,2014-08-07,2014-06-02,2014-08-07,crypti,1,101,4,66
FCN,Fantomcoin,2014-06-08,2014-04-25,2014-06-08,thankful_for_today,1,135,7,85
BSC,BowsCoin,2015-07-13,2014-02-08,2015-07-13,bsc,1,1,1,520
LTS,LiteStarCoin,2015-10-23,2012-10-22,2015-10-23,rebel,1,10,2,1151
FC2,FuelCoin,2014-06-12,2013-05-14,2014-06-12,Wolf Rainer,1,534,32,432
DFT,DraftCoin,2015-11-23,2015-11-19,2015-11-23,simonsez,1,48,2,393
AUM,Alexium,2015-08-20,2015-01-23,2015-08-20,mprep,1,572,372,1284
LTC,Litecoin,2013-04-28,2011-10-09,2013-04-28,coblee,1,756,25,671
LTB,LiteBar,2014-03-12,2013-05-22,2014-03-12,internationalaw,1,27,4,308
UNITY,SuperNET,2014-09-30,2011-10-18,2014-09-30,the joint,1,511,19,1183
AUR,Auroracoin,2014-02-27,2014-01-19,2014-02-27,naplam,1,42,4,42
XTC,TileCoin,2014-10-25,2014-08-07,2014-10-25,cryptoxtc,1,8,1,79
VEC,Vector,2015-09-04,2010-11-12,2015-09-04,bitboy,1,31,4,1768
LTD,LimitedCoin,2015-09-15,2012-07-13,2015-09-15,BadBitcoin (James Sutton),1,86,6,1298
BTQ,BitQuark,2014-07-29,2014-02-15,2014-07-29,BitQuark,1,340,1,164
