name, symbol, first_price_date
Qibuck, QBK, 1408285460
Joulecoin, XJO, 1386311199
microCoin, MRC, 1393824833
MonetaryUnit, MUE, 1414875565
Viacoin, VIA, 1405686259
Doubloons, DBL, 1372914935
MMBTCD, MMBTCD, 1436286567
SaffronCoin, SFR, 1402844312
8Bit, 8BIT, 1429386267
Applecoin, APC, 1391962731
Nexus, NIRO, 1422212063
Paycoin, PYC, 1417915467
Grexit, GREXIT, 1437658769
Stellar, XLM, 1407217459
Argentum, ARG, 1372914941
KoreCoin, KORE, 1403356662
FreedomCoin, FRDC, 1442871878
Libertycoin, XLB, 1399951699
CAIx, CAIx, 1397536618
Infinitecoin, IFC, 1373462822
Silkcoin, SILK, 1399828085
Sling, SLING, 1429618468
PLNcoin, PLNC, 1397536618
ParkByte, PKB, 1431995666
PseudoCash, PSEUD, 1405922061
Coinaid, CAID, 1442347467
Gulden, NLG, 1396930260
TenneT, TENNET, 1439234671
GuccioneCoin, GCC, 1440122970
Resumeo Shares, RMS, 1444318173
DogeCoinDark, DOGED, 1414275266
WorldPay, WOP, 1444667437
CasinoCoin, CSC, 1374721588
Diggits, DIGS, 1437076783
SHACoin, SHA, 1403671384
Global Currency Reserve, GCR, 1440613168
Shift, SHF, 1441460968
RotoCoin, RT2, 1396107313
Moneta, MONETA, 1445706603
vTorrent, VTR, 1419481166
CageCoin, CAGE, 1397536425
BitQuark, BTQ, 1406636654
BitShares, BTS, 1405914258
Cerium, XCE, 1433936367
ClearingHouse, XCH, 1412456071
SSVCoin, SSV, 1410125962
Cryptonite, XCN, 1407014360
BitcoinTX, BTX, 1430057069
Mooncoin, MOON, 1388990851
Bytecoin, BTE, 1368162022
Bitgem, BTG, 1372914947
MGW, MGW, 1408708460
Bitcoin, BTC, 1367174841
BitBar, BTB, 1368115818
Bitmark, BTM, 1408449563
Sonic, SSD, 1407845362
Jumbucks, JBS, 1410125962
CoinoIndex, INDEX, 1434643167
Isracoin, ISR, 1396930253
Jay, JAY, 1429253669
XCash, XCASH, 1410434061
23 Skidoo, CHAO, 1437860368
Sphere, SPHR, 1430581765
UtilityCoin, UTIL, 1412063662
Octo, OCTO, 1427077767
CureCoin, CURE, 1401127931
IslaCoin, ISL, 1443455071
DigiByte, DGB, 1391692418
Digitalcoin, DGC, 1370800521
ECCoin, ECC, 1395292195
EmerCoin, EMC, 1408829062
EBOLAShares, EBS, 1437496769
Spots, SPT, 1374795085
BitBean, BITB, 1424265565
AsicCoin, ASC, 1388506642
Bitz, BITZ, 1425859766
Kumacoin, KUMA, 1407014360
Quatloo, QTL, 1405141458
Bitstar, BITS, 1398254473
Junkcoin, JKC, 1371192329
Virtacoin, VTA, 1407606859
Vertcoin, VTC, 1390195677
ParallelCoin, DUO, 1445703868
Franko, FRK, 1370800522
XCurrency, XC, 1400844132
Dubstep, DUB, 1435667672
BlockShares, BKS, 1441826066
Eurocoin, EUC, 1440384568
UnbreakableCoin, UNB, 1400844132
UNCoin, UNC, 1427075967
Carboncoin, CARB, 1407014360
CleverCoin, CLV, 1431519867
Boolberry, BBR, 1403614723
Yacoin, YAC, 1370800520
Unobtanium, UNO, 1387649855
Omnicoin, OMC, 1399828088
SecretCoin, SCRT, 1447710870
Zedcoin, ZED, 1394083165
Heavycoin, HVC, 1394602096
Crave, CRAVE, 1427373568
Zetacoin, ZET, 1378864041
Influxcoin, INFX, 1442347467
MazeCoin, MAZE, 1445277870
bitCNY, BITCNY, 1411446262
Freicoin, FRC, 1367551515
bitGBP, BITGBP, NaN
Selfiecoin, SLFI, 1427075967
AmsterdamCoin, AMS, 1440122970
Agoras Tokens, AGRS, 1440384568
WildBeastBitcoin, WBB, 1425143665
DuckDuckCoin, DUCK, 1393091561
DarkToken, DT, 1410928462
DigitalPrice, DP, 1412456073
CryptoEscudo, CESC, 1396500929
Cypher, CYP, 1428758669
Cryptokenz, CYT, 1442871878
PotCoin, POT, 1392006213
FreeMarket, MRKT, 1411446862
PopularCoin, POP, 1398254473
Conspiracycoin, CYC, 1404533879
Tigercoin, TGC, 1387649854
RonPaulCoin, RPC, 1388990850
FedoraCoin, TIPS, 1388506646
Node, NODE, 1410628466
bitGold, BITGOLD, 1420403364
Rubycoin, RBY, 1395292196
bitBTC, BITBTC, 1411446261
DopeCoin, DOPE, 1393091554
Rimbit, RBT, 1414365868
RibbitRewards, RBR, 1422020363
SolarCoin, SLR, 1396107311
Sterlingcoin, SLG, 1411449266
MonetaVerde, MCN, 1409020492
NeoDICE, DICE, 1415487265
Noirbits, NRB, 1372914939
LegendaryCoin, LGD, 1398655281
Quarkbar, QB, 1401121893
MangoCoinz, MCZ, 1427075967
BDSM, BDSM, 1413781165
NoirShares, NRS, 1398005474
GoldReserve, XGR, 1403973207
Money, $$$, 1447353310
Axron, AXR, 1409141061
Execoin, EXE, 1394454240
Extremecoin, EXC, 1389879163
Checkcoin, CKC, 1411100663
MUSE, MUSE, 1430968166
Swarm, SWARM, 1410845678
Paccoin, PAC, 1446501567
Woodshares, WS, 1435830268
Expanse, EXP, 1442347467
LIQUID, LQD, 1423228467
Pakcoin, PAK, 1442347467
GlobalBoost-Y, BSTY, 1412339964
iBits, IBITS, 1438012468
CryptoBuck, BUK, 1412456071
Vanillacoin, VNL, 1425616468
Ringo, RIN, 1407014360
LTBcoin, LTBC, 1408536861
Copperlark, CLR, 1383526610
bitUSD, BITUSD, 1411446262
DeltaCredits, DCR, 1440905369
Riecoin, RIC, 1393479212
Halcyon, HAL, 1408449563
HamRadioCoin, HAM, 1414365867
SongCoin, SONG, 1427075967
BoostCoin, BOST, 1401422850
Botcoin, BOT, 1441747765
KhanCoin, KNC, 1443455071
Dash, DASH, 1392385449
TRMB, TRMB, 1432526666
BnB Coin, BNB, 1433738668
HempCoin, THC, 1403973213
Cetuscoin, CETI, 1422741863
Photon, PHO, 1400844040
Burst, BURST, 1409437462
Zeitcoin, ZEIT, 1395292159
GeoCoin, GEO, 1424571265
SysCoin, SYS, 1408532661
Hirocoin, HIRO, 1395837889
Cannacoin, CCN, 1398425823
Librexcoin, LXC, 1407216259
MazaCoin, MZC, 1393479215
Philosopher Stones, PHS, 1387332417
Navajo, NAV, 1402573416
BitSeeds, XSEED, 1429618468
Emerald Crypto, EMD, 1375642291
Diamond, DMD, 1387456319
CrownCoin, CRW, 1415487265
CRTCoin, CRT, 1399828086
BellaCoin, BELA, 1395292207
Sync, SYNC, 1400642243
Droidz, DRZ, 1430133869
CraftCoin, CRC, 1373211126
Skeincoin, SKC, 1394924635
SkullBuzz, SKB, 1444868069
FlappyCoin, FLAP, 1393091560
Prototanium, PR, 1444667437
Acoin, ACOIN, 1410637462
DigitalNote, XDN, 1403614723
TacoCoin, TCO, 1405922061
BunnyCoin, BUN, 1410434061
Dirac, XDQ, 1401122518
Dogeparty, XDP, 1409228065
Bubble, BUB, 1430967866
BitSwift, SWIFT, 1412531064
Fibre, FIBRE, 1409437462
LimeCoinX, LIMX, 1402237212
KeyCoin, KEY, 1405686259
TAGRcoin, TAGR, 1437076783
UniCoin, UNIC, 1434300867
Ratecoin, XRA, 1435322067
VegasCoin, VGC, 1399378684
Cryptofund, FUND, 1442871878
ShellPay, SHELL, 1434643168
Electronic Gulden, EFL, 1395837890
Ripple, XRP, 1375642265
Universal Currency, UNIT, 1430967866
Umbrella-LTC, ULTC, 1409511861
MaryJane, MARYJ, 1412456071
Anoncoin, ANC, 1373851895
CryptBit, CBIT, 1443711268
EmpoCredits, XEMP, 1442251766
Storjcoin X, SJCX, 1408536861
Novacoin, NVC, 1367174843
FreshCoin, FRSH, 1408711160
jl777hodl, JLH, 1406117658
Helleniccoin, HNC, 1437496768
Myriadcoin, MYR, 1394294188
Dashcoin, DSH, 1412657663
Coven, COV, 1429618468
ChipCoin, CHIP, 1438661371
Devcoin, DVC, 1367174854
BattleCoin, BCX, 1391143629
iCash, ICASH, 1427458770
FistBump, FIST, 1433738668
Ethereum, ETH, 1438958970
Colossuscoin, COL, 1385872594
Bitcredits, BCR, 1427657368
PayCon, CON, 1424021966
BitCent, BCENT, 1423228466
Gridmaster, GRM, 1435322067
Cashcoin, CASH, 1393479212
KlondikeCoin, KDC, 1391324248
VeriCoin, VRC, 1400242414
The Cypherfunks, FUNK, 1434643167
Qora, QORA, 1401121894
Coin2.1, C2, 1402237212
ZimStake, ZS, 1399053200
Save and Gain, SANDG, 1444667437
FairCoin, FAIR, 1395500352
Dimecoin, DIME, 1388994149
CyberCoin, CC, 1428064468
CryptoByte, CB, 1445706604
Magi, XMG, 1411527863
Heisenberg, HEX, 1394924638
Californium, CF, 1429618468
CommunityCoin, COMM, 1397536625
CryptoSpots, CS, 1438711769
IvugeoCoin, IEC, 1430282069
LiteDoge, LDOGE, 1426743267
PLAY, PLS, 1444667437
Synergy, SNRG, 1433738668
UFO Coin, UFO, 1393479215
CannabisCoin, CANN, 1407017060
Canada eCoin, CDN, 1399828080
Nimbus, NMB, 1409888961
Namecoin, NMC, 1367174842
Saturn2Coin, SAT2, 1404533877
Woodcoin, LOG, 1427076267
Moneta, MNTA, 1409437462
RubleBit, RUBIT, 1448308768
Digit, DIG, 1403973208
Animecoin, ANI, 1393564418
HyperStake, HYP, 1407606859
bitSilver, BITSILVER, 1424870066
LottoCoin, LOT, 1388205718
Trinity, TTY, 1421633666
Axiom, AXIOM, 1438225470
AIB, AIB, 1430367866
Peercoin, PPC, 1367174843
XxXcoin, XXX, 1404391614
Solcoin, SOL, 1410125962
Gapcoin, GAP, 1414876766
Dibbits, DIBS, 1435149566
Digital Credits, DGCS, 1447710870
Gambit, GAM, 1432268367
NuShares, NSR, 1414278866
Genstake, G3N, 1433937570
UltraCoin, UTC, 1391993900
GoodCoin, GOOD, 1402237214
MasterTraderCoin, MTR, 1425304468
GCoin, GCN, 1416182066
Vibranium, XVI, 1435829671
007Coin, 007, 1429769068
HTMLCOIN, HTML5, 1411100662
Coinomat, CNMT, 1409888961
PinkCoin, PINK, 1399828090
MapCoin, MAPC, 1441747765
SydPak, SDP, 1440384568
Nxttycoin, NXTTY, 1407845362
Colossuscoin V2, CV2, 1426824567
ARbit, ARB, 1432181665
PurePOS, PURE, 1440384568
ShadowCash, SDC, 1406810660
Aricoin, ARI, 1392903657
TrustPlus, TRUST, 1404994612
Nyancoin, NYAN, 1391993899
HoboNickels, HBN, 1387546359
Tickets, TIX, 1383517004
ParanoiaCoin, PARA, 1443209669
Titcoin, TIT, 1409020495
Denarius, DRS, 1402844313
NanoToken, NAN, 1374111996
SoonCoin, SOON, 1422419963
DarkCoin, DARK, 1417915466
Nas, NAS, 1397536626
TurboStake, TRBO, 1446228568
Steps, STEPS, 1442692466
Donationcoin, DON, 1402844307
Dobbscoin, BOB, 1409140761
Bloodcoin, BOD, 1434643168
ShieldCoin, SHLD, 1405141457
Sexcoin, SXC, 1386551832
ApexCoin, APEX, 1405686259
GiveCoin, GIVE, 1424440767
Pennies, CENT, 1409020477
Unitus, UIS, 1421069963
Lyrabar, LYB, 1447710870
Lycancoin, LYC, 1397249154
Truckcoin, TRK, 1405512608
I/O Coin, IOC, 1407004462
BitcoinFast, BCF, 1417915467
Nxt, NXT, 1386136000
BBQCoin, BQC, 1367987719
Bolivarcoin, BOLI, 1441747765
Xaurum, XAU, 1429618768
NXE, NXE, 1427075967
Sapience AIFX, XAI, 1419480565
P7Coin, P7C, 1429253669
OKCash, OK, 1418527765
CraigsCoin, CRAIG, 1412063663
Bytecoin, BCN, 1403010113
OrangeCoin, OC, 1399951699
GenesysCoin, GSY, 1442347467
BeaverCoin, BVC, 1412456365
MaidSafeCoin, MAID, 1398655286
Neutron, NTRN, 1429618468
Fetish, FETISH, 1413781164
Quedos, QDOS, 1447886371
Judgecoin, JUDGE, 1404791994
Fastcoin, FST, 1372914943
BitCrystal, BTCRY, 1427075967
Bitcrystals, BCY, 1442251766
Flycoin, FLY, 1442251766
Stealthcoin, XST, 1404994592
Sembro Token, SMBR, 1413781164
CloakCoin, CLOAK, 1402099681
MultiWalletCoin, MWC, 1407606859
Deutsche eMark, DEM, 1387072335
FlorinCoin, FLO, 1385532106
Luckycoin, LKY, 1371192324
Pangea Poker, PANGEA, 1418523864
StabilityShares, XSI, 1398254474
Viorcoin, VIOR, 1416773965
Blocknet, BLOCK, 1414876766
Positron, TRON, 1429053167
QuazarCoin, QCN, 1401121887
AmericanCoin, AMC, 1370801127
Pesetacoin, PTC, 1393091560
ROXcoin, ROX, 1404219185
Dotcoin, DOT, 1424013265
OpenSourcecoin, OSC, 1394924633
Mincoin, MNC, 1367551515
BitShares PTS, PTS, 1385041311
Munne, MNE, 1414275266
Triangles, TRI, 1405919059
LimitedCoin, LTD, 1442347467
Trollcoin, TRL, 1412063662
DarkEther, DETH, 1439234671
CAPTcoin, CAPT, 1408537462
MetalCoin, METAL, 1422420264
Terracoin, TRC, 1367174842
Tether, USDT, 1424871266
Kobocoin, KOBO, 1424013265
Vcoin, VCN, 1433936367
Sharkcoin, SAK, 1425859766
USDe, USDe, 1391692420
VootCoin, VOOT, 1402573416
MysteryCoin, MYST, 1423228466
Energycoin, ENRG, 1400157745
NobleNXT, NOXT, 1417915467
X-Coin, XCO, 1425616468
LitecoinDark, LTCD, 1410434061
Local Family Owned, LFO, 1436284167
InvisibleCoin, IVZ, 1444667437
PlanetCoin, PLANET, 1427075967
Scotcoin, XCPSCO, 1401121894
Horizon, HZ, 1405339457
NXTInspect, NXTI, 1412828063
Neocoin, NEC, 1395837890
SPEC, SPEC, 1438012467
XenCoin, XNC, 1374721589
AnarchistsPrime, ACP, 1436819971
NXTventure, NXTV, 1411446863
NetCoin, NET, 1387253236
NeuCoin, NEU, 1443209669
FoldingCoin, FLDC, 1410845677
TEKcoin, TEK, 1400591324
PreminePlus, PMP, 1413781165
KolschCoin, CGN, 1429618468
Cryptographic Anomaly, CGA, 1392991006
GetGems, GEMZ, 1421041162
Graviton, GRAV, 1430709565
NuBits, NBT, 1411522463
FriendshipCoin 2, FSC2, 1422212063
Nibble, NBL, 1371192325
TeslaCoin, TES, 1391693013
DeBuNe, DEBUNE, 1423228467
CORE, CORE, 1434604767
CorgiCoin, CORG, 1392991006
GameCredits, GMC, 1409590461
Elacoin, ELC, 1370800523
RabbitCoin, RBBT, 1409437462
Joincoin, J, 1409020496
IrishCoin, IRL, 1436284167
SJWCoin, SJW, 1438967672
GameCoin, GME, 1377453990
FlutterCoin, FLT, 1395292208
ReddCoin, RDD, 1391993897
AdderalCoin, ADD, 1425143666
AudioCoin, ADC, 1433509167
CarpeDiemCoin, DIEM, 1398655280
Aiden, ADN, 1397536616
ElephantCoin, ELP, 1409086143
