coin,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
FTC,2013-05-02,2013-04-19,blastbob,https://bitcointalk.org/index.php?topic=180983.0,2013-04-19
GRE,2014-06-23,2014-04-22,GreenCoinDev,https://bitcointalk.org/index.php?topic=579815.0,2014-04-22
GRC,2015-02-28,2013-05-05,noyvpom,https://bitcointalk.org/index.php?topic=195400.0,2013-05-05
BLK,2014-02-28,2014-02-16,rat4,https://bitcointalk.org/index.php?topic=469640.0,2014-02-16
CRACK,2014-09-19,2013-05-29,r3wt,https://bitcointalk.org/index.php?topic=219220.0,2013-05-29
GRN,2014-06-12,2014-05-22,GraniteCoin,https://bitcointalk.org/index.php?topic=621544.0,2014-05-22
GRM,2015-06-26,2015-06-14,gmcdev,https://bitcointalk.org/index.php?topic=1089741.0,2015-06-14
DSB,2014-10-25,2014-10-23,DarkShibe,https://bitcointalk.org/index.php?topic=833133.0,2014-10-23
BLC,2014-02-12,2013-10-07,BlueDragon747,https://bitcointalk.org/index.php?topic=306894.0,2013-10-07
COOL,2014-06-28,2013-12-30,IainKay,https://bitcointalk.org/index.php?topic=391240.0,2013-12-30
HYPER,2014-05-31,2013-05-30,shakezula,https://bitcointalk.org/index.php?topic=219665.0,2013-05-30
MI,2015-09-04,2015-05-25,she9888,https://bitcointalk.org/index.php?topic=1068526.0,2015-05-25
NOC,2015-07-27,2014-01-28,extortion,https://bitcointalk.org/index.php?topic=435832.0,2014-01-28
EMC2,2014-04-09,2014-01-19,naplam,https://bitcointalk.org/index.php?topic=423488.0,2014-01-19
CBX,2013-08-04,2011-09-03,tylerR,https://bitcointalk.org/index.php?topic=41220.0,2011-09-03
OPAL,2014-09-13,2014-09-11,OpalTeam,https://bitcointalk.org/index.php?topic=778677.0,2014-09-11
DON,2014-06-15,2014-01-01,skyisthelimit,https://bitcointalk.org/index.php?topic=394964.0,2014-01-01
SHADE,2014-09-06,2014-08-29,mitzie,https://bitcointalk.org/index.php?topic=761354.0,2014-08-29
FJC,2015-06-14,2014-06-08,motty,https://bitcointalk.org/index.php?topic=644601.0,2014-06-08
BLITZ,2014-11-16,2014-04-26,slavo,https://bitcointalk.org/index.php?topic=585741.0,2014-04-26
REP,2015-10-27,2015-06-23,tinybike,https://bitcointalk.org/index.php?topic=1097470.0,2015-06-23
GLC,2013-08-04,2013-06-28,erundook,https://bitcointalk.org/index.php?topic=245813.0,2013-06-28
GLD,2013-06-14,2013-05-17,vipah,https://bitcointalk.org/index.php?topic=207872.0,2013-05-17
XSEED,2015-04-21,2015-04-17,BitSeedsFoundation,https://bitcointalk.org/index.php?topic=1028446.0,2015-04-17
CTM,2014-02-27,2014-02-26,coinpool_de,https://bitcointalk.org/index.php?topic=489291.0,2014-02-26
CTO,2015-05-18,2011-10-29,cryptoxchange,https://bitcointalk.org/index.php?topic=50211.0,2011-10-29
SMC,2014-02-06,2014-01-04,miramare,https://bitcointalk.org/index.php?topic=398977.0,2014-01-04
RED,2014-01-24,2013-06-30,ahmed_bodi,https://bitcointalk.org/index.php?topic=246820.0,2013-06-30
CLAM,2014-08-25,2014-05-24,SuperClam,https://bitcointalk.org/index.php?topic=623147.0,2014-05-24
LTBC,2014-08-20,2015-04-05,BOUNTYSHARES,https://bitcointalk.org/index.php?topic=1013350.0,2015-04-05
FCX,2015-11-23,2015-10-24,DuckYeah!,https://bitcointalk.org/index.php?topic=1219043.0,2015-10-24
XFC,2015-06-24,2014-06-22,finerpay,https://bitcointalk.org/index.php?topic=661788.0,2014-06-22
DROP,2015-11-02,2014-01-26,aaron_m,https://bitcointalk.org/index.php?topic=433775.0,2014-01-26
ZOOM,2015-07-16,2015-07-13,coinmaster222,https://bitcointalk.org/index.php?topic=1120639.0,2015-07-13
TAM,2015-06-26,2015-06-21,bitspender,https://bitcointalk.org/index.php?topic=1096042.0,2015-06-21
XCR,2014-08-07,2014-06-02,crypti,https://bitcointalk.org/index.php?topic=636676.0,2014-06-02
FCN,2014-06-08,2014-04-26,amphibian,https://bitcointalk.org/index.php?topic=585611.0,2014-04-26
BSC,2015-07-13,2014-02-08,bsc,https://bitcointalk.org/index.php?topic=455254.0,2014-02-08
LTS,2015-10-23,2014-02-09,qcbear,https://bitcointalk.org/index.php?topic=456191.0,2014-02-09
FC2,2014-06-12,2013-05-14,Wolf Rainer,https://bitcointalk.org/index.php?topic=204583.0,2013-05-14
DFT,2015-11-23,2015-11-19,simonsez,https://bitcointalk.org/index.php?topic=1255366.0,2015-11-19
LTC,2013-04-28,2011-10-09,coblee,https://bitcointalk.org/index.php?topic=47417.0,2011-10-09
LTB,2014-03-12,2014-02-12,Scooby903,https://bitcointalk.org/index.php?topic=461108.0,2014-02-12
UNITY,2014-09-30,2014-02-26,Elisha,https://bitcointalk.org/index.php?topic=489255.0,2014-02-26
AUR,2014-02-27,2014-01-19,naplam,https://bitcointalk.org/index.php?topic=423488.0,2014-01-19
XTC,2014-10-25,2014-08-29,ASIC-8Tile,https://bitcointalk.org/index.php?topic=761852.0,2014-08-29
VEC,2015-09-04,2015-08-29,VectorDev,https://bitcointalk.org/index.php?topic=1165060.0,2015-08-29
FETISH,2014-10-20,2014-09-19,altcoin.center,https://bitcointalk.org/index.php?topic=789338.0,2014-09-19
